LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1713787995.590965,121947,18022,1,BI,1,100,1600
1713787996.350974,122707,18138,1,BI,1,100,760
1713787996.870981,123227,18224,1,BI,1,100,520
1713787998.884007,125240,18563,1,BI,1,100,2000
1713788000.044022,126400,18744,1,BI,1,100,1160
1713788000.764031,127120,18862,1,BI,1,100,720
1713788001.804044,128160,19028,1,BI,1,100,1040
1713788006.097100,132453,19743,1,BI,1,100,4280
1713788007.257114,133613,19924,1,BI,1,100,1160
1713788008.777134,135133,20175,1,BI,1,100,1520
1713788009.657145,136013,20327,1,BI,1,100,880
1713788010.537156,136893,20477,1,BI,1,100,880
1713788011.496169,137852,20627,1,BI,1,100,960
1713788012.096176,138452,20726,1,BI,1,100,600
1713788013.630196,139986,20978,1,BI,1,100,1520
1713788014.589208,140945,21142,1,BI,1,100,960
1713788015.389219,141745,21263,1,BI,1,100,800
1713788017.189242,143545,21560,1,BI,1,100,1800
1713788017.909251,144265,21681,1,BI,1,100,720
1713788018.789262,145145,21833,1,BI,1,100,880
1713788019.629273,145985,21965,1,BI,1,100,840
1713788023.002316,149358,22512,1,BI,1,100,3360
1713788023.642325,149998,22629,1,BI,1,100,640
1713788025.802352,152158,22979,1,BI,1,100,2160
1713788026.362360,152718,23064,1,BI,1,100,560
1713788027.082369,153438,23180,1,BI,1,100,720
1713788027.975380,154331,23328,1,BI,1,100,880
1713788029.055394,155411,23516,1,BI,1,100,1080
1713788029.975406,156331,23666,1,BI,1,100,920
1713788030.495413,156851,23749,1,BI,1,100,520
1713788032.774442,159130,24112,1,BI,1,100,2280
1713788034.694466,161050,24430,1,BI,1,100,1920
1713788035.947482,162303,24629,1,BI,1,100,1240
1713788037.747505,164103,24928,1,BI,1,100,1800
1713788038.427514,164783,25049,1,BI,1,100,680
1713788041.427553,167783,25526,1,BI,1,100,3000
1713788042.267564,168623,25676,1,BI,1,100,840
1713788042.960572,169316,25776,1,BI,1,100,680
1713788043.720582,170076,25914,1,BI,1,100,760
1713788044.640594,170996,26063,1,BI,1,100,920
1713788046.560619,172916,26378,1,BI,1,100,1920
1713788047.360629,173716,26511,1,BI,1,100,800
1713788049.039650,175395,26779,1,BI,1,100,1680
1713788049.853661,176209,26912,1,BI,1,100,800
1713788050.893674,177249,27085,1,BI,1,100,1040
1713788052.052689,178408,27285,1,BI,1,100,1160
1713788052.772698,179128,27402,1,BI,1,100,720
1713788053.932713,180288,27588,1,BI,1,100,1160
1713788056.292743,182648,27986,1,BI,1,100,2360
1713788057.025753,183381,28103,1,BI,1,100,720
1713788058.105767,184461,28284,1,BI,1,100,1080
1713788059.025779,185381,28440,1,BI,1,100,920
1713788060.985804,187341,28754,1,BI,1,100,1960
1713788063.545836,189901,29163,1,BI,1,100,2560
1713788065.558862,191914,29500,1,BI,1,100,2000
1713788068.597901,194953,29977,1,BI,1,100,3040
1713788069.477913,195833,30132,1,BI,1,100,880
1713788070.077920,196433,30235,1,BI,1,100,600
1713788071.770942,198126,30516,1,BI,1,100,1680
1713788074.850981,201206,31015,1,BI,1,100,3080
1713788075.890995,202246,31185,1,BI,1,100,1040
1713788077.131011,203486,31400,1,BI,1,100,1240
1713788078.904034,205259,31678,1,BI,1,100,1760
1713788080.824058,207179,32002,1,BI,1,100,1920
1713788081.544067,207899,32117,1,BI,1,100,720
1713788082.344078,208699,32250,1,BI,1,100,800
1713788082.944085,209299,32350,1,BI,1,100,600
1713788085.383117,211738,32759,1,BI,1,100,2440
1713788086.077126,212432,32878,1,BI,1,100,680
1713788086.877136,213232,33013,1,BI,1,100,800
1713788088.196153,214551,33229,1,BI,1,100,1320
1713788090.476182,216831,33584,1,BI,1,100,2280
1713788093.929226,220284,34145,1,BI,1,100,3440
1713788095.929252,222284,34485,1,BI,1,100,2000
1713788096.769263,223124,34622,1,BI,1,100,840
1713788098.169281,224524,34851,1,BI,1,100,1400
1713788098.969291,225324,34984,1,BI,1,100,800
1713788099.729301,226084,35101,1,BI,1,100,760
1713788100.622312,226977,35239,1,BI,1,100,880
1713788101.342321,227697,35358,1,BI,1,100,720
1713788102.062331,228417,35473,1,BI,1,100,720
1713788102.582337,228937,35557,1,BI,1,100,520
1713788104.022356,230377,35803,1,BI,1,100,1440
1713788104.981368,231336,35941,1,BI,1,100,960
1713788108.354411,234709,36488,1,BI,1,100,3360
1713788108.994420,235349,36606,1,BI,1,100,640
1713788109.754429,236109,36725,1,BI,1,100,760
1713788110.514439,236869,36848,1,BI,1,100,760
1713788111.274449,237629,36987,1,BI,1,100,760
1713788112.234461,238589,37137,1,BI,1,100,960
1713788112.754468,239109,37224,1,BI,1,100,520
1713788114.047484,240402,37440,1,BI,1,100,1280
1713788114.807494,241162,37572,1,BI,1,100,760
1713788115.647505,242002,37696,1,BI,1,100,840
1713788117.607530,243962,38027,1,BI,1,100,1960
1713788118.407540,244762,38159,1,BI,1,100,800
1713788119.287552,245642,38291,1,BI,1,100,880
1713788119.967560,246322,38411,1,BI,1,100,680
1713788120.447567,246802,38485,1,BI,1,100,480
1713788120.900572,247255,38569,1,BI,1,100,440
1713788121.300577,247655,38637,1,BI,1,100,400
1713788122.220589,248575,38785,1,BI,1,100,920
1713788123.420605,249775,38983,1,BI,1,100,1200
1713788125.220628,251575,39263,1,BI,1,100,1800
1713788126.659646,253014,39504,1,BI,1,100,1440
1713788127.139652,253494,39587,1,BI,1,100,480
1713788127.779661,254134,39686,1,BI,1,100,640
1713788129.192679,255547,39919,1,BI,1,100,1400
1713788129.592684,255947,39986,1,BI,1,100,400
1713788129.912688,256267,40037,1,BI,1,100,320
1713788130.832700,257187,40193,1,BI,1,100,920
1713788131.832713,258187,40359,1,BI,1,100,1000
1713788132.312719,258667,40428,1,BI,1,100,480
1713788133.312732,259667,40593,1,BI,1,100,1000
1713788133.792738,260147,40677,1,BI,1,100,480
1713788134.592748,260947,40809,1,BI,1,100,800
1713788135.365758,261720,40929,1,BI,1,100,760
1713788136.045767,262400,41034,1,BI,1,100,680
1713788136.565773,262920,41118,1,BI,1,100,520
1713788137.165781,263520,41219,1,BI,1,100,600
1713788137.845790,264200,41336,1,BI,1,100,680
1713788138.605799,264960,41452,1,BI,1,100,760
1713788139.005805,265360,41520,1,BI,1,100,400
1713788142.218846,268573,42035,1,BI,1,100,3200
1713788143.698865,270053,42284,1,BI,1,100,1480
