LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1713787995.522964,121879.000,18008,2,EA,1,100,0.158651
1713787995.522964,121879.000,18008,2,EA,1,100,0.158623
1713787995.589965,121946.000,18028,1,EA,1,100,0.158637
1713787995.656466,122012.500,18043,2,EA,1,100,0.158735
1713787995.722966,122079.000,18043,2,EA,1,100,0.158858
1713787995.789967,122146.000,18059,2,EA,1,100,0.159075
1713787995.856968,122213.000,18059,2,EA,1,100,0.159308
1713787995.922969,122279.000,18076,1,EA,1,100,0.159685
1713787995.989970,122346.000,18093,2,EA,1,100,0.160236
1713787996.056971,122413.000,18093,2,EA,1,100,0.160594
1713787996.123471,122479.500,18109,2,EA,1,100,0.160732
1713787996.189972,122546.000,18109,2,EA,1,100,0.160936
1713787996.256973,122613.000,18127,1,EA,1,100,0.161290
1713787996.323474,122679.500,18145,2,EA,1,100,0.161413
1713787996.389975,122746.000,18145,2,EA,1,100,0.161436
1713787996.456976,122813.000,18162,1,EA,1,100,0.161473
1713787996.523477,122879.500,18179,2,EA,1,100,0.161425
1713787996.589978,122946.000,18179,2,EA,1,100,0.161440
1713787996.656978,123013.000,18196,1,EA,1,100,0.161533
1713787996.723479,123079.500,18211,2,EA,1,100,0.161515
1713787996.789980,123146.000,18211,2,EA,1,100,0.161526
1713787996.856481,123212.500,18230,2,EA,1,100,0.161500
1713787996.922982,123279.000,18230,2,EA,1,100,0.161320
1713787996.989983,123346.000,18246,1,EA,1,100,0.161290
1713787997.056484,123412.500,18263,2,EA,1,100,0.161249
1713787997.122984,123479.000,18263,2,EA,1,100,0.161331
1713787997.189985,123546.000,18279,1,EA,1,100,0.161410
1713787997.256486,123612.500,18295,2,EA,1,100,0.161455
1713787997.322987,123679.000,18295,2,EA,1,100,0.161518
1713787997.389988,123746.000,18316,1,EA,1,100,0.161634
1713787997.456489,123812.500,18335,2,EA,1,100,0.161713
1713787997.522990,123879.000,18335,2,EA,1,100,0.161743
1713787997.589990,123946.000,18352,1,EA,1,100,0.161803
1713787997.656491,124012.500,18368,2,EA,1,100,0.161758
1713787997.722992,124079.000,18368,2,EA,1,100,0.161766
1713787997.789993,124146.000,18383,1,EA,1,100,0.161815
1713787997.856494,124212.500,18401,2,EA,1,100,0.161860
1713787997.922995,124279.000,18401,2,EA,1,100,0.161950
1713787997.989995,124346.000,18417,1,EA,1,100,0.162018
1713787998.056496,124412.500,18435,2,EA,1,100,0.162078
1713787998.122997,124479.000,18435,2,EA,1,100,0.162060
1713787998.189498,124545.500,18451,2,EA,1,100,0.162086
1713787998.255999,124612.000,18451,2,EA,1,100,0.162173
1713787998.323000,124679.000,18468,1,EA,1,100,0.162188
1713787998.389501,124745.500,18484,2,EA,1,100,0.162177
1713787998.456002,124812.000,18484,2,EA,1,100,0.162229
1713787998.523002,124879.000,18501,1,EA,1,100,0.162245
1713787998.589503,124945.500,18516,2,EA,1,100,0.162275
1713787998.656004,125012.000,18516,2,EA,1,100,0.162256
1713787998.723005,125079.000,18533,1,EA,1,100,0.162298
1713787998.789506,125145.500,18549,2,EA,1,100,0.162328
1713787998.856007,125212.000,18549,2,EA,1,100,0.162332
1713787998.923007,125279.000,18569,1,EA,1,100,0.162347
1713787998.989508,125345.500,18583,2,EA,1,100,0.162328
1713787999.056009,125412.000,18583,2,EA,1,100,0.162332
1713787999.123010,125479.000,18600,1,EA,1,100,0.162445
1713787999.189511,125545.500,18617,2,EA,1,100,0.162407
1713787999.256012,125612.000,18617,2,EA,1,100,0.162457
1713787999.323013,125679.000,18634,1,EA,1,100,0.162472
1713787999.389513,125745.500,18648,2,EA,1,100,0.162419
1713787999.456014,125812.000,18648,2,EA,1,100,0.162351
1713787999.523015,125879.000,18665,1,EA,1,100,0.162324
