LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1713787995.449963,121806.000,17995,4,EM,1,100,RS
1713787995.449963,121806.000,17995,4,EM,1,100,RB
1713787995.449963,121806.000,17995,4,EM,1,100,2024-04-22_15-13-15-160161.csv
1713787995.449963,121806.000,17995,4,EM,1,100,PS
1713787995.500214,121856.250,18021,4,EM,1,100,RS
1713787995.550464,121906.500,18021,4,EM,1,100,RB
1713787995.600715,121956.750,18021,4,EM,1,100,2024-04-22_15-13-15-160161.csv
1713787995.650965,122007.000,18021,4,EM,1,100,PS
1713787995.701216,122057.250,18055,4,EM,1,100,RS
1713787995.751467,122107.500,18055,4,EM,1,100,RB
1713787995.801717,122157.750,18055,4,EM,1,100,2024-04-22_15-13-15-160161.csv
1713787995.851968,122208.000,18055,4,EM,1,100,PS
1713787995.902219,122258.250,18089,4,EM,1,100,RS
1713787995.952469,122308.500,18089,4,EM,1,100,RB
1713787996.002720,122358.750,18089,4,EM,1,100,2024-04-22_15-13-15-160161.csv
1713787996.052971,122409.000,18089,4,EM,1,100,PS
1713787996.103221,122459.250,18122,4,EM,1,100,RS
1713787996.153472,122509.500,18122,4,EM,1,100,RB
1713787996.203722,122559.750,18122,4,EM,1,100,2024-04-22_15-13-15-160161.csv
1713787996.253973,122610.000,18122,4,EM,1,100,PS
1713787996.304224,122660.250,18158,4,EM,1,100,RS
1713787996.354475,122710.500,18158,4,EM,1,100,RB
1713787996.404725,122760.750,18158,4,EM,1,100,2024-04-22_15-13-15-160161.csv
1713787996.454976,122811.000,18158,4,EM,1,100,PS
1713787996.506227,122862.250,18192,4,EM,1,100,RS
1713787996.557477,122913.500,18192,4,EM,1,100,RB
1713787996.608728,122964.750,18192,4,EM,1,100,2024-04-22_15-13-15-160161.csv
1713787996.659978,123016.000,18192,4,EM,1,100,PS
1713787996.709979,123066.000,18223,4,EM,1,100,RS
1713787996.759980,123116.000,18223,4,EM,1,100,RB
