LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1713787995.443963,121800.000,18000,1,GY,1,100,0.610
1713787995.483963,121840.000,18016,2,GY,1,100,1.190
1713787995.523964,121880.000,18016,2,GY,1,100,0.885
1713787995.563964,121920.000,18035,3,GY,1,100,0.122
1713787995.603965,121960.000,18035,3,GY,1,100,0.763
1713787995.643965,122000.000,18035,3,GY,1,100,0.732
1713787995.683966,122040.000,18050,2,GY,1,100,0.061
1713787995.723966,122080.000,18050,2,GY,1,100,-0.031
1713787995.763967,122120.000,18067,3,GY,1,100,-0.122
1713787995.803967,122160.000,18067,3,GY,1,100,-0.641
1713787995.843968,122200.000,18067,3,GY,1,100,-0.397
1713787995.883968,122240.000,18084,2,GY,1,100,-0.153
1713787995.923969,122280.000,18084,2,GY,1,100,0.244
1713787995.963969,122320.000,18101,3,GY,1,100,0.702
1713787996.003970,122360.000,18101,3,GY,1,100,-0.183
1713787996.043971,122400.000,18101,3,GY,1,100,-0.641
1713787996.083971,122440.000,18117,4,GY,1,100,0.214
1713787996.123971,122480.000,18117,4,GY,1,100,-0.183
1713787996.163972,122520.000,18117,4,GY,1,100,0.305
1713787996.203973,122560.000,18117,4,GY,1,100,1.312
1713787996.243973,122600.000,18133,2,GY,1,100,0.366
1713787996.283974,122640.000,18133,2,GY,1,100,-0.458
1713787996.323974,122680.000,18153,2,GY,1,100,0.244
1713787996.363975,122720.000,18153,2,GY,1,100,0.916
1713787996.408309,122764.333,18170,3,GY,1,100,0.031
1713787996.452642,122808.667,18170,3,GY,1,100,-0.122
1713787996.496976,122853.000,18170,3,GY,1,100,-1.251
1713787996.536977,122893.000,18187,3,GY,1,100,2.228
1713787996.576977,122933.000,18187,3,GY,1,100,1.678
1713787996.616978,122973.000,18187,3,GY,1,100,-2.838
1713787996.656978,123013.000,18203,2,GY,1,100,1.617
1713787996.696979,123053.000,18203,2,GY,1,100,2.075
1713787996.736979,123093.000,18218,3,GY,1,100,-2.563
1713787996.776980,123133.000,18218,3,GY,1,100,0.061
1713787996.816980,123173.000,18218,3,GY,1,100,2.136
1713787996.856981,123213.000,18238,2,GY,1,100,-0.061
1713787996.896981,123253.000,18238,2,GY,1,100,0.946
1713787996.936982,123293.000,18254,3,GY,1,100,1.282
1713787996.976982,123333.000,18254,3,GY,1,100,-0.671
1713787997.016983,123373.000,18254,3,GY,1,100,0.916
1713787997.056983,123413.000,18271,2,GY,1,100,0.458
1713787997.096984,123453.000,18271,2,GY,1,100,-3.143
1713787997.136985,123493.000,18285,3,GY,1,100,-1.251
1713787997.176985,123533.000,18285,3,GY,1,100,1.221
1713787997.216985,123573.000,18285,3,GY,1,100,0.458
1713787997.256986,123613.000,18303,2,GY,1,100,0.336
1713787997.296987,123653.000,18303,2,GY,1,100,0.519
1713787997.336987,123693.000,18324,3,GY,1,100,0.977
1713787997.376988,123733.000,18324,3,GY,1,100,1.770
1713787997.416988,123773.000,18324,3,GY,1,100,1.221
1713787997.456989,123813.000,18343,3,GY,1,100,-0.092
1713787997.496989,123853.000,18343,3,GY,1,100,0.702
1713787997.536990,123893.000,18343,3,GY,1,100,0.824
1713787997.576990,123933.000,18359,2,GY,1,100,0.153
1713787997.616991,123973.000,18359,2,GY,1,100,0.122
1713787997.656991,124013.000,18375,3,GY,1,100,0.183
1713787997.696992,124053.000,18375,3,GY,1,100,0.580
1713787997.736992,124093.000,18375,3,GY,1,100,0.610
1713787997.776993,124133.000,18391,2,GY,1,100,-0.336
1713787997.816993,124173.000,18391,2,GY,1,100,-0.305
1713787997.856994,124213.000,18409,3,GY,1,100,0.366
1713787997.896994,124253.000,18409,3,GY,1,100,0.610
1713787997.936995,124293.000,18409,3,GY,1,100,0.580
1713787997.976995,124333.000,18424,2,GY,1,100,0.397
1713787998.016996,124373.000,18424,2,GY,1,100,0.061
1713787998.056996,124413.000,18442,3,GY,1,100,0.336
1713787998.096997,124453.000,18442,3,GY,1,100,0.214
1713787998.136997,124493.000,18442,3,GY,1,100,0.092
1713787998.176998,124533.000,18459,3,GY,1,100,0.366
1713787998.216998,124573.000,18459,3,GY,1,100,0.305
1713787998.256999,124613.000,18459,3,GY,1,100,0.336
1713787998.296999,124653.000,18476,2,GY,1,100,0.244
1713787998.337000,124693.000,18476,2,GY,1,100,0.305
1713787998.377000,124733.000,18492,3,GY,1,100,0.427
1713787998.417001,124773.000,18492,3,GY,1,100,-0.153
1713787998.457001,124813.000,18492,3,GY,1,100,-0.519
1713787998.503502,124859.500,18507,2,GY,1,100,0.122
1713787998.550003,124906.000,18507,2,GY,1,100,0.549
1713787998.590503,124946.500,18524,2,GY,1,100,0.122
1713787998.631004,124987.000,18524,2,GY,1,100,-0.061
1713787998.670671,125026.667,18541,3,GY,1,100,0.061
1713787998.710338,125066.333,18541,3,GY,1,100,0.275
1713787998.750005,125106.000,18541,3,GY,1,100,0.214
1713787998.790006,125146.000,18557,2,GY,1,100,0.061
1713787998.830006,125186.000,18557,2,GY,1,100,0.397
1713787998.870007,125226.000,18575,3,GY,1,100,-0.122
1713787998.910007,125266.000,18575,3,GY,1,100,-0.214
1713787998.950008,125306.000,18575,3,GY,1,100,1.984
1713787998.990008,125346.000,18591,3,GY,1,100,1.495
1713787999.030009,125386.000,18591,3,GY,1,100,-0.641
1713787999.070009,125426.000,18591,3,GY,1,100,-0.275
1713787999.110510,125466.500,18608,2,GY,1,100,0.854
1713787999.151010,125507.000,18608,2,GY,1,100,0.641
1713787999.190678,125546.667,18625,3,GY,1,100,0.122
1713787999.230345,125586.333,18625,3,GY,1,100,0.427
1713787999.270012,125626.000,18625,3,GY,1,100,0.885
1713787999.310012,125666.000,18640,2,GY,1,100,0.397
1713787999.350013,125706.000,18640,2,GY,1,100,-0.214
1713787999.390013,125746.000,18656,3,GY,1,100,0.092
1713787999.430014,125786.000,18656,3,GY,1,100,0.641
1713787999.470015,125826.000,18656,3,GY,1,100,0.214
1713787999.510015,125866.000,18673,2,GY,1,100,0.275
1713787999.550015,125906.000,18673,2,GY,1,100,0.824
1713787999.590016,125946.000,18690,3,GY,1,100,0.732
1713787999.630017,125986.000,18690,3,GY,1,100,0.519
1713787999.670017,126026.000,18690,3,GY,1,100,0.275
1713787999.710017,126066.000,18705,2,GY,1,100,0.488
1713787999.750018,126106.000,18705,2,GY,1,100,0.153
