LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1713787995.516964,121873.000,18010,1,T1,1,100,29.377
1713787995.649966,122006.000,18030,1,T1,1,100,29.376
1713787995.782967,122139.000,18061,1,T1,1,100,29.305
1713787995.916969,122273.000,18078,1,T1,1,100,29.309
1713787996.049971,122406.000,18095,1,T1,1,100,29.346
1713787996.182972,122539.000,18111,1,T1,1,100,29.363
1713787996.316974,122673.000,18147,1,T1,1,100,29.405
1713787996.449976,122806.000,18164,1,T1,1,100,29.388
1713787996.582978,122939.000,18181,1,T1,1,100,29.310
1713787996.715979,123072.000,18198,1,T1,1,100,29.347
1713787996.849981,123206.000,18232,1,T1,1,100,29.363
1713787996.982983,123339.000,18248,1,T1,1,100,29.299
1713787997.115984,123472.000,18265,1,T1,1,100,29.307
1713787997.249986,123606.000,18297,1,T1,1,100,29.310
1713787997.382988,123739.000,18318,1,T1,1,100,29.311
1713787997.515989,123872.000,18337,1,T1,1,100,29.241
1713787997.649991,124006.000,18354,1,T1,1,100,29.246
1713787997.782993,124139.000,18385,1,T1,1,100,29.284
1713787997.915994,124272.000,18403,1,T1,1,100,29.265
1713787998.049996,124406.000,18419,1,T1,1,100,29.256
1713787998.182998,124539.000,18453,1,T1,1,100,29.288
1713787998.316000,124672.000,18470,1,T1,1,100,29.267
1713787998.450001,124806.000,18486,1,T1,1,100,29.328
1713787998.583003,124939.000,18518,1,T1,1,100,29.355
1713787998.716005,125072.000,18535,1,T1,1,100,29.224
1713787998.850007,125206.000,18551,1,T1,1,100,29.345
1713787998.983008,125339.000,18585,1,T1,1,100,29.433
1713787999.116010,125472.000,18602,1,T1,1,100,29.365
1713787999.250012,125606.000,18619,1,T1,1,100,29.441
1713787999.383013,125739.000,18650,1,T1,1,100,29.439
1713787999.516015,125872.000,18667,1,T1,1,100,29.367
1713787999.650017,126006.000,18684,1,T1,1,100,29.443
1713787999.783019,126139.000,18715,1,T1,1,100,29.440
1713787999.916020,126272.000,18733,1,T1,1,100,29.332
1713788000.049022,126405.000,18751,1,T1,1,100,29.427
1713788000.183024,126539.000,18768,1,T1,1,100,29.398
1713788000.316025,126672.000,18802,1,T1,1,100,29.385
1713788000.449027,126805.000,18818,1,T1,1,100,29.344
1713788000.583029,126939.000,18836,1,T1,1,100,29.397
1713788000.716030,127072.000,18869,1,T1,1,100,29.349
1713788000.849032,127205.000,18885,1,T1,1,100,29.328
1713788000.983034,127339.000,18903,1,T1,1,100,29.319
1713788001.116035,127472.000,18934,1,T1,1,100,29.280
1713788001.249037,127605.000,18951,1,T1,1,100,29.334
1713788001.383039,127739.000,18968,1,T1,1,100,29.393
1713788001.516041,127872.000,19000,1,T1,1,100,29.312
1713788001.649042,128005.000,19016,1,T1,1,100,29.277
1713788001.783044,128139.000,19035,1,T1,1,100,29.403
1713788001.916046,128272.000,19067,1,T1,1,100,29.316
1713788002.049047,128405.000,19083,1,T1,1,100,29.279
1713788002.183049,128539.000,19100,1,T1,1,100,29.333
1713788002.316051,128672.000,19132,1,T1,1,100,29.428
1713788002.449053,128805.000,19148,1,T1,1,100,29.362
1713788002.583054,128939.000,19171,1,T1,1,100,29.334
1713788002.716056,129072.000,19187,1,T1,1,100,29.286
1713788002.849058,129205.000,19218,1,T1,1,100,29.337
1713788002.982059,129338.000,19236,1,T1,1,100,29.429
1713788003.116061,129472.000,19252,1,T1,1,100,29.399
1713788003.249063,129605.000,19284,1,T1,1,100,29.350
1713788003.382065,129738.000,19301,1,T1,1,100,29.364
1713788003.516066,129872.000,19319,1,T1,1,100,29.335
1713788003.649068,130005.000,19351,1,T1,1,100,29.393
1713788003.782070,130138.000,19368,1,T1,1,100,29.418
1713788003.916071,130272.000,19385,1,T1,1,100,29.429
1713788004.049073,130405.000,19416,1,T1,1,100,29.363
1713788004.182075,130538.000,19433,1,T1,1,100,29.405
1713788004.316077,130672.000,19450,1,T1,1,100,29.317
1713788004.449078,130805.000,19481,1,T1,1,100,29.279
1713788004.582080,130938.000,19499,1,T1,1,100,29.440
1713788004.716082,131072.000,19517,1,T1,1,100,29.368
1713788004.849083,131205.000,19549,1,T1,1,100,29.372
1713788004.982085,131338.000,19566,1,T1,1,100,29.374
1713788005.116087,131472.000,19582,1,T1,1,100,29.516
1713788005.249089,131605.000,19599,1,T1,1,100,29.330
1713788005.382090,131738.000,19633,1,T1,1,100,29.355
1713788005.516092,131872.000,19649,1,T1,1,100,29.402
1713788005.649094,132005.000,19667,1,T1,1,100,29.458
1713788005.782095,132138.000,19698,1,T1,1,100,29.482
1713788005.916097,132272.000,19715,1,T1,1,100,29.457
1713788006.049099,132405.000,19732,1,T1,1,100,29.375
1713788006.182101,132538.000,19766,1,T1,1,100,29.446
1713788006.315102,132671.000,19782,1,T1,1,100,29.512
1713788006.449104,132805.000,19799,1,T1,1,100,29.505
1713788006.582106,132938.000,19831,1,T1,1,100,29.431
1713788006.716107,133072.000,19847,1,T1,1,100,29.470
1713788006.849109,133205.000,19864,1,T1,1,100,29.487
1713788006.982111,133338.000,19896,1,T1,1,100,29.424
1713788007.115113,133471.000,19912,1,T1,1,100,29.396
1713788007.249114,133605.000,19932,1,T1,1,100,29.384
1713788007.382116,133738.000,19948,1,T1,1,100,29.450
1713788007.515118,133871.000,19979,1,T1,1,100,29.478
1713788007.649119,134005.000,20002,1,T1,1,100,29.491
1713788007.782121,134138.000,20018,1,T1,1,100,29.390
1713788007.915123,134271.000,20050,1,T1,1,100,29.452
1713788008.049124,134405.000,20067,1,T1,1,100,29.444
1713788008.182126,134538.000,20083,1,T1,1,100,29.440
1713788008.315128,134671.000,20115,1,T1,1,100,29.439
1713788008.449130,134805.000,20132,1,T1,1,100,29.403
1713788008.582131,134938.000,20149,1,T1,1,100,29.422
1713788008.715133,135071.000,20184,1,T1,1,100,29.396
1713788008.849135,135205.000,20201,1,T1,1,100,29.348
1713788008.982136,135338.000,20218,1,T1,1,100,29.434
1713788009.115138,135471.000,20249,1,T1,1,100,29.436
1713788009.249140,135605.000,20267,1,T1,1,100,29.401
1713788009.382142,135738.000,20283,1,T1,1,100,29.493
1713788009.515143,135871.000,20315,1,T1,1,100,29.532
1713788009.649145,136005.000,20334,1,T1,1,100,29.443
1713788009.782147,136138.000,20350,1,T1,1,100,29.440
1713788009.915148,136271.000,20367,1,T1,1,100,29.580
1713788010.048150,136404.000,20399,1,T1,1,100,29.428
1713788010.182152,136538.000,20415,1,T1,1,100,29.434
1713788010.315154,136671.000,20435,1,T1,1,100,29.507
1713788010.448155,136804.000,20466,1,T1,1,100,29.432
1713788010.582157,136938.000,20485,1,T1,1,100,29.506
1713788010.715159,137071.000,20502,1,T1,1,100,29.538
1713788010.848161,137204.000,20534,1,T1,1,100,29.446
1713788010.982162,137338.000,20550,1,T1,1,100,29.441
1713788011.115164,137471.000,20567,1,T1,1,100,29.510
1713788011.248166,137604.000,20599,1,T1,1,100,29.504
1713788011.382167,137738.000,20615,1,T1,1,100,29.466
1713788011.515169,137871.000,20634,1,T1,1,100,29.485
1713788011.648171,138004.000,20666,1,T1,1,100,29.352
1713788011.782172,138138.000,20682,1,T1,1,100,29.507
1713788011.915174,138271.000,20700,1,T1,1,100,29.574
1713788012.048176,138404.000,20733,1,T1,1,100,29.390
1713788012.182178,138538.000,20749,1,T1,1,100,29.275
1713788012.315179,138671.000,20767,1,T1,1,100,29.438
1713788012.448181,138804.000,20783,1,T1,1,100,29.438
1713788012.582183,138938.000,20815,1,T1,1,100,29.438
1713788012.715184,139071.000,20832,1,T1,1,100,29.473
1713788012.848186,139204.000,20853,1,T1,1,100,29.559
1713788012.982188,139338.000,20885,1,T1,1,100,29.455
1713788013.115190,139471.000,20902,1,T1,1,100,29.516
1713788013.248191,139604.000,20919,1,T1,1,100,29.542
1713788013.381193,139737.000,20950,1,T1,1,100,29.447
1713788013.515195,139871.000,20967,1,T1,1,100,29.477
1713788013.648196,140004.000,20986,1,T1,1,100,29.490
1713788013.781198,140137.000,21017,1,T1,1,100,29.460
1713788013.915200,140271.000,21035,1,T1,1,100,29.447
1713788014.048202,140404.000,21051,1,T1,1,100,29.513
1713788014.181203,140537.000,21083,1,T1,1,100,29.435
1713788014.315205,140671.000,21100,1,T1,1,100,29.401
1713788014.448207,140804.000,21116,1,T1,1,100,29.457
1713788014.581208,140937.000,21150,1,T1,1,100,29.552
1713788014.715210,141071.000,21167,1,T1,1,100,29.523
1713788014.848212,141204.000,21183,1,T1,1,100,29.510
1713788014.981214,141337.000,21201,1,T1,1,100,29.469
1713788015.115215,141471.000,21232,1,T1,1,100,29.557
1713788015.248217,141604.000,21249,1,T1,1,100,29.525
1713788015.381219,141737.000,21270,1,T1,1,100,29.511
1713788015.515220,141871.000,21304,1,T1,1,100,29.505
1713788015.648222,142004.000,21320,1,T1,1,100,29.608
1713788015.781224,142137.000,21337,1,T1,1,100,29.511
1713788015.915226,142271.000,21369,1,T1,1,100,29.434
1713788016.048227,142404.000,21385,1,T1,1,100,29.542
1713788016.181229,142537.000,21402,1,T1,1,100,29.554
1713788016.314230,142670.000,21434,1,T1,1,100,29.559
1713788016.448232,142804.000,21450,1,T1,1,100,29.596
1713788016.581234,142937.000,21468,1,T1,1,100,29.506
1713788016.714236,143070.000,21499,1,T1,1,100,29.645
1713788016.848238,143204.000,21515,1,T1,1,100,29.633
1713788016.981239,143337.000,21533,1,T1,1,100,29.629
1713788017.114241,143470.000,21549,1,T1,1,100,29.556
1713788017.248243,143604.000,21583,1,T1,1,100,29.595
1713788017.381244,143737.000,21600,1,T1,1,100,29.612
1713788017.514246,143870.000,21616,1,T1,1,100,29.548
1713788017.648248,144004.000,21648,1,T1,1,100,29.556
1713788017.781249,144137.000,21665,1,T1,1,100,29.524
1713788017.914251,144270.000,21689,1,T1,1,100,29.511
1713788018.048253,144404.000,21720,1,T1,1,100,29.646
1713788018.181255,144537.000,21737,1,T1,1,100,29.457
1713788018.314256,144670.000,21756,1,T1,1,100,29.552
1713788018.448258,144804.000,21787,1,T1,1,100,29.558
1713788018.581260,144937.000,21805,1,T1,1,100,29.561
1713788018.714261,145070.000,21821,1,T1,1,100,29.562
1713788018.848263,145204.000,21855,1,T1,1,100,29.669
1713788018.981265,145337.000,21872,1,T1,1,100,29.644
1713788019.114266,145470.000,21888,1,T1,1,100,29.740
1713788019.248268,145604.000,21920,1,T1,1,100,29.604
1713788019.381270,145737.000,21937,1,T1,1,100,29.545
1713788019.514271,145870.000,21953,1,T1,1,100,29.590
1713788019.647273,146003.000,21973,1,T1,1,100,29.610
1713788019.781275,146137.000,22004,1,T1,1,100,29.689
1713788019.914277,146270.000,22021,1,T1,1,100,29.653
1713788020.047278,146403.000,22038,1,T1,1,100,29.673
1713788020.181280,146537.000,22070,1,T1,1,100,29.752
1713788020.314282,146670.000,22088,1,T1,1,100,29.680
1713788020.447284,146803.000,22105,1,T1,1,100,29.684
1713788020.581285,146937.000,22137,1,T1,1,100,29.722
1713788020.714287,147070.000,22153,1,T1,1,100,29.631
1713788020.847289,147203.000,22170,1,T1,1,100,29.592
1713788020.981290,147337.000,22202,1,T1,1,100,29.646
1713788021.114292,147470.000,22218,1,T1,1,100,29.599
1713788021.247294,147603.000,22236,1,T1,1,100,29.649
1713788021.381296,147737.000,22267,1,T1,1,100,29.706
1713788021.514297,147870.000,22283,1,T1,1,100,29.589
1713788021.647299,148003.000,22301,1,T1,1,100,29.610
1713788021.781301,148137.000,22317,1,T1,1,100,29.689
1713788021.914302,148270.000,22349,1,T1,1,100,29.653
1713788022.047304,148403.000,22366,1,T1,1,100,29.637
1713788022.181306,148537.000,22382,1,T1,1,100,29.559
1713788022.314307,148670.000,22414,1,T1,1,100,29.703
1713788022.447309,148803.000,22431,1,T1,1,100,29.694
1713788022.581311,148937.000,22448,1,T1,1,100,29.690
1713788022.714313,149070.000,22479,1,T1,1,100,29.582
1713788022.847314,149203.000,22496,1,T1,1,100,29.713
1713788022.980316,149336.000,22520,1,T1,1,100,29.663
1713788023.114318,149470.000,22537,1,T1,1,100,29.641
1713788023.247319,149603.000,22569,1,T1,1,100,29.632
1713788023.380321,149736.000,22585,1,T1,1,100,29.699
1713788023.514323,149870.000,22602,1,T1,1,100,29.657
1713788023.647325,150003.000,22638,1,T1,1,100,29.745
1713788023.780326,150136.000,22654,1,T1,1,100,29.642
1713788023.914328,150270.000,22674,1,T1,1,100,29.632
1713788024.047330,150403.000,22705,1,T1,1,100,29.628
1713788024.180331,150536.000,22721,1,T1,1,100,29.697
1713788024.314333,150670.000,22739,1,T1,1,100,29.585
1713788024.447335,150803.000,22770,1,T1,1,100,29.537
1713788024.580337,150936.000,22787,1,T1,1,100,29.587
1713788024.714338,151070.000,22804,1,T1,1,100,29.573
1713788024.847340,151203.000,22820,1,T1,1,100,29.532
1713788024.980342,151336.000,22852,1,T1,1,100,29.656
1713788025.114343,151470.000,22869,1,T1,1,100,29.709
1713788025.247345,151603.000,22886,1,T1,1,100,29.626
1713788025.380347,151736.000,22919,1,T1,1,100,29.696
1713788025.514349,151870.000,22936,1,T1,1,100,29.620
1713788025.647350,152003.000,22953,1,T1,1,100,29.658
1713788025.780352,152136.000,22986,1,T1,1,100,29.675
1713788025.914354,152270.000,23004,1,T1,1,100,29.647
1713788026.047355,152403.000,23020,1,T1,1,100,29.599
1713788026.180357,152536.000,23052,1,T1,1,100,29.649
1713788026.313359,152669.000,23071,1,T1,1,100,29.706
1713788026.447361,152803.000,23087,1,T1,1,100,29.589
1713788026.580362,152936.000,23119,1,T1,1,100,29.645
1713788026.714364,153070.000,23136,1,T1,1,100,29.669
1713788026.847366,153203.000,23152,1,T1,1,100,29.644
1713788026.980367,153336.000,23170,1,T1,1,100,29.740
1713788027.113369,153469.000,23203,1,T1,1,100,29.675
1713788027.247371,153603.000,23220,1,T1,1,100,29.717
1713788027.380373,153736.000,23237,1,T1,1,100,29.736
1713788027.513374,153869.000,23269,1,T1,1,100,29.638
1713788027.647376,154003.000,23285,1,T1,1,100,29.560
1713788027.780378,154136.000,23302,1,T1,1,100,29.597
1713788027.913379,154269.000,23336,1,T1,1,100,29.719
1713788028.047381,154403.000,23352,1,T1,1,100,29.666
1713788028.180383,154536.000,23374,1,T1,1,100,29.749
1713788028.313385,154669.000,23406,1,T1,1,100,29.679
1713788028.447386,154803.000,23422,1,T1,1,100,29.613
1713788028.580388,154936.000,23440,1,T1,1,100,29.726
1713788028.713390,155069.000,23471,1,T1,1,100,29.669
1713788028.847391,155203.000,23487,1,T1,1,100,29.679
1713788028.980393,155336.000,23505,1,T1,1,100,29.719
1713788029.113395,155469.000,23538,1,T1,1,100,29.772
1713788029.247396,155603.000,23555,1,T1,1,100,29.689
1713788029.380398,155736.000,23572,1,T1,1,100,29.582
1713788029.513400,155869.000,23588,1,T1,1,100,29.606
1713788029.647402,156003.000,23620,1,T1,1,100,29.652
1713788029.780403,156136.000,23637,1,T1,1,100,29.743
1713788029.913405,156269.000,23654,1,T1,1,100,29.783
1713788030.047407,156403.000,23687,1,T1,1,100,29.693
1713788030.180408,156536.000,23704,1,T1,1,100,29.690
1713788030.313410,156669.000,23723,1,T1,1,100,29.759
1713788030.446412,156802.000,23756,1,T1,1,100,29.754
1713788030.580414,156936.000,23774,1,T1,1,100,29.716
1713788030.713415,157069.000,23790,1,T1,1,100,29.771
1713788030.846417,157202.000,23822,1,T1,1,100,29.759
1713788030.980419,157336.000,23839,1,T1,1,100,29.577
1713788031.113420,157469.000,23856,1,T1,1,100,29.640
1713788031.246422,157602.000,23873,1,T1,1,100,29.738
1713788031.380424,157736.000,23890,1,T1,1,100,29.674
1713788031.513426,157869.000,23922,1,T1,1,100,29.717
1713788031.646427,158002.000,23938,1,T1,1,100,29.665
1713788031.780429,158136.000,23955,1,T1,1,100,29.749
1713788031.913431,158269.000,23987,1,T1,1,100,29.785
1713788032.046432,158402.000,24003,1,T1,1,100,29.730
1713788032.180434,158536.000,24020,1,T1,1,100,29.706
1713788032.313436,158669.000,24052,1,T1,1,100,29.695
1713788032.446438,158802.000,24068,1,T1,1,100,29.655
1713788032.580439,158936.000,24086,1,T1,1,100,29.780
1713788032.713441,159069.000,24119,1,T1,1,100,29.869
1713788032.846443,159202.000,24135,1,T1,1,100,29.802
1713788032.979444,159335.000,24153,1,T1,1,100,29.808
1713788033.113446,159469.000,24169,1,T1,1,100,29.846
1713788033.246448,159602.000,24206,1,T1,1,100,29.756
1713788033.379450,159735.000,24223,1,T1,1,100,29.682
1713788033.513451,159869.000,24239,1,T1,1,100,29.720
1713788033.646453,160002.000,24271,1,T1,1,100,29.702
1713788033.779455,160135.000,24288,1,T1,1,100,29.694
1713788033.913456,160269.000,24305,1,T1,1,100,29.690
1713788034.046458,160402.000,24336,1,T1,1,100,29.795
1713788034.179460,160535.000,24353,1,T1,1,100,29.805
1713788034.313462,160669.000,24370,1,T1,1,100,29.774
1713788034.446463,160802.000,24401,1,T1,1,100,29.689
1713788034.579465,160935.000,24419,1,T1,1,100,29.688
1713788034.713467,161069.000,24437,1,T1,1,100,29.688
1713788034.846468,161202.000,24469,1,T1,1,100,29.759
1713788034.979470,161335.000,24486,1,T1,1,100,29.789
1713788035.113472,161469.000,24502,1,T1,1,100,29.767
1713788035.246474,161602.000,24519,1,T1,1,100,29.757
1713788035.379475,161735.000,24553,1,T1,1,100,29.718
1713788035.513477,161869.000,24569,1,T1,1,100,29.736
1713788035.646479,162002.000,24587,1,T1,1,100,29.779
1713788035.779480,162135.000,24618,1,T1,1,100,29.763
1713788035.913482,162269.000,24637,1,T1,1,100,29.791
1713788036.046484,162402.000,24654,1,T1,1,100,29.803
1713788036.179485,162535.000,24686,1,T1,1,100,29.738
1713788036.313487,162669.000,24702,1,T1,1,100,29.780
1713788036.446489,162802.000,24721,1,T1,1,100,29.869
1713788036.579491,162935.000,24753,1,T1,1,100,29.731
1713788036.712492,163068.000,24769,1,T1,1,100,29.777
1713788036.846494,163202.000,24786,1,T1,1,100,29.797
1713788036.979496,163335.000,24818,1,T1,1,100,29.735
1713788037.112497,163468.000,24834,1,T1,1,100,29.814
1713788037.246499,163602.000,24852,1,T1,1,100,29.742
1713788037.379501,163735.000,24883,1,T1,1,100,29.676
1713788037.512502,163868.000,24899,1,T1,1,100,29.753
1713788037.646504,164002.000,24917,1,T1,1,100,29.858
1713788037.779506,164135.000,24935,1,T1,1,100,29.726
1713788037.912508,164268.000,24967,1,T1,1,100,29.704
1713788038.046509,164402.000,24984,1,T1,1,100,29.801
1713788038.179511,164535.000,25000,1,T1,1,100,29.737
1713788038.312513,164668.000,25037,1,T1,1,100,29.780
1713788038.446515,164802.000,25056,1,T1,1,100,29.869
1713788038.579516,164935.000,25073,1,T1,1,100,29.802
1713788038.712518,165068.000,25104,1,T1,1,100,29.808
1713788038.846520,165202.000,25121,1,T1,1,100,29.881
1713788038.979521,165335.000,25138,1,T1,1,100,29.807
1713788039.112523,165468.000,25169,1,T1,1,100,29.881
1713788039.246525,165602.000,25187,1,T1,1,100,29.807
1713788039.379526,165735.000,25203,1,T1,1,100,29.775
1713788039.512528,165868.000,25220,1,T1,1,100,29.867
1713788039.645530,166001.000,25252,1,T1,1,100,29.836
1713788039.779532,166135.000,25268,1,T1,1,100,29.823
1713788039.912533,166268.000,25286,1,T1,1,100,29.923
1713788040.045535,166401.000,25317,1,T1,1,100,29.896
1713788040.179537,166535.000,25333,1,T1,1,100,29.849
1713788040.312538,166668.000,25353,1,T1,1,100,29.899
1713788040.445540,166801.000,25384,1,T1,1,100,29.814
1713788040.579542,166935.000,25401,1,T1,1,100,29.707
1713788040.712543,167068.000,25418,1,T1,1,100,29.731
1713788040.845545,167201.000,25450,1,T1,1,100,29.884
1713788040.979547,167335.000,25466,1,T1,1,100,29.843
1713788041.112549,167468.000,25483,1,T1,1,100,29.790
1713788041.245550,167601.000,25515,1,T1,1,100,29.803
1713788041.379552,167735.000,25533,1,T1,1,100,29.808
1713788041.512554,167868.000,25550,1,T1,1,100,29.775
1713788041.645555,168001.000,25582,1,T1,1,100,29.867
1713788041.779557,168135.000,25598,1,T1,1,100,29.836
1713788041.912559,168268.000,25616,1,T1,1,100,29.823
1713788042.045561,168401.000,25632,1,T1,1,100,29.923
1713788042.179562,168535.000,25664,1,T1,1,100,29.931
1713788042.312564,168668.000,25683,1,T1,1,100,29.935
1713788042.445566,168801.000,25699,1,T1,1,100,29.901
1713788042.579567,168935.000,25731,1,T1,1,100,29.851
1713788042.712569,169068.000,25748,1,T1,1,100,29.829
1713788042.845571,169201.000,25764,1,T1,1,100,29.855
1713788042.978573,169334.000,25798,1,T1,1,100,29.831
1713788043.112574,169468.000,25815,1,T1,1,100,29.785
1713788043.245576,169601.000,25832,1,T1,1,100,29.907
1713788043.378578,169734.000,25868,1,T1,1,100,29.924
1713788043.512579,169868.000,25886,1,T1,1,100,29.861
1713788043.645581,170001.000,25902,1,T1,1,100,29.798
1713788043.778583,170134.000,25921,1,T1,1,100,29.948
1713788043.912585,170268.000,25953,1,T1,1,100,29.836
1713788044.045586,170401.000,25969,1,T1,1,100,29.929
1713788044.178588,170534.000,25986,1,T1,1,100,29.898
1713788044.312590,170668.000,26018,1,T1,1,100,29.850
1713788044.445591,170801.000,26034,1,T1,1,100,29.899
1713788044.578593,170934.000,26052,1,T1,1,100,29.957
1713788044.712595,171068.000,26085,1,T1,1,100,29.768
1713788044.845597,171201.000,26101,1,T1,1,100,29.900
1713788044.978598,171334.000,26119,1,T1,1,100,29.886
1713788045.112600,171468.000,26150,1,T1,1,100,29.773
1713788045.245602,171601.000,26167,1,T1,1,100,29.866
1713788045.378603,171734.000,26186,1,T1,1,100,29.942
1713788045.512605,171868.000,26202,1,T1,1,100,29.869
1713788045.645607,172001.000,26236,1,T1,1,100,29.872
1713788045.778609,172134.000,26253,1,T1,1,100,29.945
1713788045.912610,172268.000,26270,1,T1,1,100,29.976
1713788046.045612,172401.000,26301,1,T1,1,100,29.883
1713788046.178614,172534.000,26318,1,T1,1,100,29.843
1713788046.312615,172668.000,26335,1,T1,1,100,29.755
1713788046.445617,172801.000,26366,1,T1,1,100,29.894
1713788046.578619,172934.000,26386,1,T1,1,100,29.883
1713788046.711621,173067.000,26402,1,T1,1,100,29.879
1713788046.845622,173201.000,26434,1,T1,1,100,29.877
1713788046.978624,173334.000,26451,1,T1,1,100,29.876
1713788047.111626,173467.000,26467,1,T1,1,100,29.911
1713788047.245627,173601.000,26499,1,T1,1,100,29.890
1713788047.378629,173734.000,26518,1,T1,1,100,29.846
1713788047.511631,173867.000,26534,1,T1,1,100,29.756
1713788047.645633,174001.000,26552,1,T1,1,100,29.895
1713788047.778634,174134.000,26583,1,T1,1,100,29.919
1713788047.911636,174267.000,26600,1,T1,1,100,29.859
1713788048.045638,174401.000,26617,1,T1,1,100,29.832
1713788048.178639,174534.000,26649,1,T1,1,100,29.927
1713788048.312641,174668.000,26665,1,T1,1,100,29.862
1713788048.445643,174801.000,26682,1,T1,1,100,29.940
1713788048.578645,174934.000,26719,1,T1,1,100,29.939
1713788048.711646,175067.000,26735,1,T1,1,100,29.938
1713788048.845648,175201.000,26752,1,T1,1,100,29.867
1713788048.978650,175334.000,26786,1,T1,1,100,29.942
1713788049.111651,175467.000,26802,1,T1,1,100,29.833
1713788049.245653,175601.000,26820,1,T1,1,100,29.892
1713788049.378655,175734.000,26851,1,T1,1,100,29.953
1713788049.511657,175867.000,26867,1,T1,1,100,29.873
1713788049.645658,176001.000,26885,1,T1,1,100,29.874
1713788049.778660,176134.000,26901,1,T1,1,100,30.017
1713788049.911662,176267.000,26935,1,T1,1,100,30.007
1713788050.044663,176400.000,26954,1,T1,1,100,29.897
1713788050.178665,176534.000,26970,1,T1,1,100,29.920
1713788050.311667,176667.000,27006,1,T1,1,100,29.965
1713788050.444669,176800.000,27023,1,T1,1,100,29.985
1713788050.578670,176934.000,27042,1,T1,1,100,30.064
1713788050.711672,177067.000,27073,1,T1,1,100,29.992
1713788050.844674,177200.000,27092,1,T1,1,100,29.961
1713788050.978675,177334.000,27109,1,T1,1,100,30.019
1713788051.111677,177467.000,27140,1,T1,1,100,29.973
1713788051.244679,177600.000,27158,1,T1,1,100,29.882
1713788051.378680,177734.000,27174,1,T1,1,100,29.878
1713788051.511682,177867.000,27206,1,T1,1,100,29.983
1713788051.644684,178000.000,27223,1,T1,1,100,29.922
1713788051.778686,178134.000,27239,1,T1,1,100,30.002
1713788051.911687,178267.000,27273,1,T1,1,100,30.001
1713788052.044689,178400.000,27292,1,T1,1,100,29.894
1713788052.178691,178534.000,27308,1,T1,1,100,29.919
1713788052.311692,178667.000,27326,1,T1,1,100,29.965
1713788052.444694,178800.000,27357,1,T1,1,100,29.914
1713788052.578696,178934.000,27374,1,T1,1,100,29.963
1713788052.711698,179067.000,27391,1,T1,1,100,30.055
1713788052.844699,179200.000,27425,1,T1,1,100,30.024
1713788052.978701,179334.000,27441,1,T1,1,100,29.975
1713788053.111703,179467.000,27458,1,T1,1,100,30.025
1713788053.244704,179600.000,27490,1,T1,1,100,29.904
1713788053.377706,179733.000,27506,1,T1,1,100,29.994
1713788053.511708,179867.000,27523,1,T1,1,100,29.962
1713788053.644710,180000.000,27560,1,T1,1,100,29.877
1713788053.777711,180133.000,27576,1,T1,1,100,29.947
1713788053.911713,180267.000,27596,1,T1,1,100,30.048
1713788054.044715,180400.000,27627,1,T1,1,100,29.914
1713788054.177716,180533.000,27643,1,T1,1,100,29.963
1713788054.311718,180667.000,27661,1,T1,1,100,30.055
1713788054.444720,180800.000,27677,1,T1,1,100,30.024
1713788054.577721,180933.000,27709,1,T1,1,100,29.939
1713788054.711723,181067.000,27726,1,T1,1,100,30.009
1713788054.844725,181200.000,27742,1,T1,1,100,29.933
1713788054.977727,181333.000,27776,1,T1,1,100,29.971
1713788055.111728,181467.000,27793,1,T1,1,100,30.058
1713788055.244730,181600.000,27810,1,T1,1,100,29.883
1713788055.377732,181733.000,27843,1,T1,1,100,29.950
1713788055.511734,181867.000,27860,1,T1,1,100,30.014
1713788055.644735,182000.000,27877,1,T1,1,100,29.935
1713788055.777737,182133.000,27908,1,T1,1,100,29.936
1713788055.911739,182267.000,27926,1,T1,1,100,29.902
1713788056.044740,182400.000,27942,1,T1,1,100,29.922
1713788056.177742,182533.000,27974,1,T1,1,100,30.002
1713788056.310744,182666.000,27993,1,T1,1,100,30.001
1713788056.444745,182800.000,28009,1,T1,1,100,29.894
1713788056.577747,182933.000,28026,1,T1,1,100,29.990
1713788056.710749,183066.000,28058,1,T1,1,100,30.031
1713788056.844751,183200.000,28074,1,T1,1,100,29.978
1713788056.977752,183333.000,28092,1,T1,1,100,30.026
