LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1713787995.530964,121887.000,18011,1,TH,1,100,31.232
1713787995.664966,122021.000,18045,1,TH,1,100,31.232
1713787995.797967,122154.000,18062,1,TH,1,100,31.227
1713787995.930969,122287.000,18079,1,TH,1,100,31.227
1713787996.064971,122421.000,18096,1,TH,1,100,31.296
1713787996.197973,122554.000,18112,1,TH,1,100,31.296
1713787996.330974,122687.000,18148,1,TH,1,100,31.325
1713787996.464976,122821.000,18165,1,TH,1,100,31.325
1713787996.597978,122954.000,18182,1,TH,1,100,31.212
1713787996.730979,123087.000,18213,1,TH,1,100,31.220
1713787996.864981,123221.000,18233,1,TH,1,100,31.281
1713787996.997983,123354.000,18249,1,TH,1,100,31.281
1713787997.130985,123487.000,18266,1,TH,1,100,31.286
1713787997.264986,123621.000,18298,1,TH,1,100,31.286
1713787997.397988,123754.000,18319,1,TH,1,100,31.320
1713787997.530990,123887.000,18338,1,TH,1,100,31.319
1713787997.664991,124021.000,18370,1,TH,1,100,31.307
1713787997.797993,124154.000,18386,1,TH,1,100,31.307
1713787997.930995,124287.000,18404,1,TH,1,100,31.219
1713787998.063996,124420.000,18437,1,TH,1,100,31.226
1713787998.197998,124554.000,18454,1,TH,1,100,31.336
1713787998.331000,124687.000,18471,1,TH,1,100,31.336
1713787998.464002,124820.000,18487,1,TH,1,100,31.253
1713787998.598003,124954.000,18519,1,TH,1,100,31.253
1713787998.731005,125087.000,18536,1,TH,1,100,31.261
1713787998.864007,125220.000,18552,1,TH,1,100,31.261
1713787998.998008,125354.000,18586,1,TH,1,100,31.290
1713787999.131010,125487.000,18603,1,TH,1,100,31.297
1713787999.264012,125620.000,18620,1,TH,1,100,31.334
1713787999.398014,125754.000,18651,1,TH,1,100,31.334
1713787999.531015,125887.000,18668,1,TH,1,100,31.346
1713787999.664017,126020.000,18685,1,TH,1,100,31.346
1713787999.798019,126154.000,18716,1,TH,1,100,31.312
1713787999.931020,126287.000,18734,1,TH,1,100,31.312
1713788000.064022,126420.000,18752,1,TH,1,100,31.414
1713788000.198024,126554.000,18784,1,TH,1,100,31.421
1713788000.331026,126687.000,18803,1,TH,1,100,31.314
1713788000.464027,126820.000,18819,1,TH,1,100,31.314
1713788000.598029,126954.000,18837,1,TH,1,100,31.365
1713788000.731031,127087.000,18870,1,TH,1,100,31.365
1713788000.864032,127220.000,18886,1,TH,1,100,31.321
1713788000.998034,127354.000,18904,1,TH,1,100,31.321
1713788001.131036,127487.000,18935,1,TH,1,100,31.341
1713788001.264037,127620.000,18952,1,TH,1,100,31.341
1713788001.397039,127753.000,18969,1,TH,1,100,31.333
1713788001.531041,127887.000,19001,1,TH,1,100,31.340
1713788001.664043,128020.000,19017,1,TH,1,100,31.308
1713788001.798044,128154.000,19036,1,TH,1,100,31.308
1713788001.931046,128287.000,19068,1,TH,1,100,31.340
1713788002.064048,128420.000,19084,1,TH,1,100,31.340
1713788002.197049,128553.000,19101,1,TH,1,100,31.318
1713788002.331051,128687.000,19133,1,TH,1,100,31.318
1713788002.464053,128820.000,19149,1,TH,1,100,31.318
1713788002.597054,128953.000,19172,1,TH,1,100,31.325
1713788002.731056,129087.000,19203,1,TH,1,100,31.379
1713788002.864058,129220.000,19219,1,TH,1,100,31.379
