RD,TS_received,TS_sent,AK,RoundTrip,
123788,123798,2024-04-22_15-13-17-437573,123802,10,
128903,128910,2024-04-22_15-13-22-550554,128912,7,
134013,134022,2024-04-22_15-13-27-662253,134023,9,
139143,139154,2024-04-22_15-13-32-794238,139155,11,
144253,144261,2024-04-22_15-13-37-901297,144262,8,
149362,149373,2024-04-22_15-13-43-012437,149374,11,
154494,154505,2024-04-22_15-13-48-142873,154506,11,
159614,159626,2024-04-22_15-13-53-266823,159627,12,
164721,164731,2024-04-22_15-13-58-371089,164732,10,
169829,169840,2024-04-22_15-14-03-480031,169841,11,
174961,174970,2024-04-22_15-14-08-609682,174971,9,
180069,180078,2024-04-22_15-14-13-718463,180079,9,
185216,185224,2024-04-22_15-14-18-864862,185225,8,
190321,190329,2024-04-22_15-14-23-969540,190330,8,
195428,195436,2024-04-22_15-14-29-075633,195437,8,
200571,200581,2024-04-22_15-14-34-219363,200582,10,
205678,205687,2024-04-22_15-14-39-328188,205688,9,
210821,210829,2024-04-22_15-14-44-469892,210833,8,
215928,215938,2024-04-22_15-14-49-576824,215939,10,
221034,221044,2024-04-22_15-14-54-682865,221047,10,
226155,226165,2024-04-22_15-14-59-804653,226167,10,
231262,231272,2024-04-22_15-15-04-912890,231273,10,
236379,236385,2024-04-22_15-15-10-027128,236387,6,
241503,241511,2024-04-22_15-15-15-152795,241512,8,
246616,246625,2024-04-22_15-15-20-266390,246629,9,
251738,251751,2024-04-22_15-15-25-393016,251752,13,
256851,256861,2024-04-22_15-15-30-502883,256863,10,
261962,261969,2024-04-22_15-15-35-610935,261970,7,
267070,267081,2024-04-22_15-15-40-722601,267082,11,
272180,272189,2024-04-22_15-15-45-829226,272190,9,
277294,277308,2024-04-22_15-15-50-948579,277310,14,
282408,282414,2024-04-22_15-15-56-056084,282416,6,
287524,287533,2024-04-22_15-16-01-175280,287534,9,
292640,292647,2024-04-22_15-16-06-289268,292652,7,
297747,297758,2024-04-22_15-16-11-398125,297759,11,
302863,302871,2024-04-22_15-16-16-513611,302873,8,
307985,307991,2024-04-22_15-16-21-633940,307992,6,
313105,313116,2024-04-22_15-16-26-755246,313117,11,
318217,318225,2024-04-22_15-16-31-867194,318227,8,
323348,323356,2024-04-22_15-16-36-997245,323357,8,
328463,328469,2024-04-22_15-16-42-112379,328471,6,
333570,333581,2024-04-22_15-16-47-222700,333582,11,
338700,338708,2024-04-22_15-16-52-351151,338709,8,
343808,343819,2024-04-22_15-16-57-459400,343820,11,
348928,348938,2024-04-22_15-17-02-578615,348940,10,
354044,354052,2024-04-22_15-17-07-695214,354054,8,
359166,359173,2024-04-22_15-17-12-816287,359178,7,
364293,364312,2024-04-22_15-17-17-950842,364313,19,
369405,369413,2024-04-22_15-17-23-056131,369417,8,
374524,374532,2024-04-22_15-17-28-175221,374536,8,
379644,379651,2024-04-22_15-17-33-294771,379655,7,
384751,384763,2024-04-22_15-17-38-403041,384764,12,
389873,389882,2024-04-22_15-17-43-524038,389883,9,
394995,395003,2024-04-22_15-17-48-646780,395004,8,
400140,400149,2024-04-22_15-17-53-792543,400150,9,
405268,405275,2024-04-22_15-17-58-918516,405276,7,
410381,410388,2024-04-22_15-18-04-031933,410394,7,
415500,415507,2024-04-22_15-18-09-151081,415509,7,
420608,420625,2024-04-22_15-18-14-267009,420626,17,
425741,425752,2024-04-22_15-18-19-395241,425753,11,
430851,430860,2024-04-22_15-18-24-504357,430865,9,
435960,435970,2024-04-22_15-18-29-613551,435972,10,
441068,441077,2024-04-22_15-18-34-719940,441078,9,
446191,446200,2024-04-22_15-18-39-843564,446201,9,
451302,451310,2024-04-22_15-18-44-954683,451311,8,
