LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1713793799.111428,301549.000,47040,2,AK,1,100,46246
1713793799.111428,301549.000,47040,2,AK,1,100,RD
1713793799.115428,301553.000,47043,2,AK,1,100,47041
1713793799.119428,301557.000,47043,2,AK,1,100,RD
1713793801.670966,304108.500,47876,2,AK,1,100,47041
1713793804.222504,306660.000,47876,2,AK,1,100,RD
1713793804.227504,306665.000,47879,2,AK,1,100,47877
1713793804.232504,306670.000,47879,2,AK,1,100,RD
1713793806.790542,309228.000,48708,2,AK,1,100,47877
1713793809.348580,311786.000,48708,2,AK,1,100,RD
1713793809.355580,311793.000,48711,2,AK,1,100,48709
1713793809.362580,311800.000,48711,2,AK,1,100,RD
1713793811.908617,314346.000,49502,2,AK,1,100,48709
1713793814.454655,316892.000,49502,2,AK,1,100,RD
1713793814.459655,316897.000,49505,2,AK,1,100,49503
1713793814.464655,316902.000,49505,2,AK,1,100,RD
1713793817.013693,319451.000,50317,2,AK,1,100,49503
1713793819.562731,322000.000,50317,2,AK,1,100,RD
1713793819.567231,322004.500,50320,2,AK,1,100,50318
1713793819.571731,322009.000,50320,2,AK,1,100,RD
1713793822.127269,324564.500,51129,2,AK,1,100,50318
1713793824.682807,327120.000,51129,2,AK,1,100,RD
1713793824.689807,327127.000,51132,2,AK,1,100,51130
1713793824.696807,327134.000,51132,2,AK,1,100,RD
1713793827.244845,329682.000,51907,2,AK,1,100,51130
1713793829.792882,332230.000,51907,2,AK,1,100,RD
1713793829.797382,332234.500,51910,2,AK,1,100,51908
1713793829.801883,332239.000,51910,2,AK,1,100,RD
1713793832.354420,334791.500,52732,2,AK,1,100,51908
1713793834.906958,337344.000,52732,2,AK,1,100,RD
1713793834.911458,337348.500,52735,2,AK,1,100,52733
1713793834.915958,337353.000,52735,2,AK,1,100,RD
1713793837.476996,339914.000,53556,2,AK,1,100,52733
1713793840.038034,342475.000,53556,2,AK,1,100,RD
1713793840.043034,342480.000,53559,2,AK,1,100,53557
1713793840.048034,342485.000,53559,2,AK,1,100,RD
1713793842.598072,345035.000,54380,2,AK,1,100,53557
1713793845.148110,347585.000,54380,2,AK,1,100,RD
1713793845.155110,347592.000,54383,2,AK,1,100,54381
1713793845.162110,347599.000,54383,2,AK,1,100,RD
1713793847.710648,350147.500,55174,2,AK,1,100,54381
1713793850.259186,352696.000,55174,2,AK,1,100,RD
1713793850.266186,352703.000,55177,2,AK,1,100,55175
1713793850.273186,352710.000,55177,2,AK,1,100,RD
1713793852.820224,355257.000,55986,2,AK,1,100,55175
1713793855.367261,357804.000,55986,2,AK,1,100,RD
1713793855.373761,357810.500,55989,2,AK,1,100,55987
1713793855.380261,357817.000,55989,2,AK,1,100,RD
1713793857.927299,360364.000,56795,2,AK,1,100,55987
1713793860.474337,362911.000,56795,2,AK,1,100,RD
1713793860.480337,362917.000,56798,2,AK,1,100,56796
1713793860.486337,362923.000,56798,2,AK,1,100,RD
1713793863.035375,365472.000,57561,2,AK,1,100,56796
1713793865.584413,368021.000,57561,2,AK,1,100,RD
1713793865.590413,368027.000,57564,2,AK,1,100,57562
1713793865.596413,368033.000,57564,2,AK,1,100,RD
1713793868.146950,370583.500,58385,2,AK,1,100,57562
1713793870.697488,373134.000,58385,2,AK,1,100,RD
1713793870.724989,373161.500,58388,2,AK,1,100,58386
1713793870.752489,373189.000,58388,2,AK,1,100,RD
1713793873.285027,375721.500,59214,2,AK,1,100,58386
1713793875.817564,378254.000,59214,2,AK,1,100,RD
1713793875.823564,378260.000,59217,2,AK,1,100,59215
1713793875.829564,378266.000,59217,2,AK,1,100,RD
1713793878.383602,380820.000,60037,2,AK,1,100,59215
1713793880.937640,383374.000,60037,2,AK,1,100,RD
1713793880.944140,383380.500,60040,2,AK,1,100,60038
1713793880.950640,383387.000,60040,2,AK,1,100,RD
1713793883.497678,385934.000,60846,2,AK,1,100,60038
1713793886.044716,388481.000,60846,2,AK,1,100,RD
1713793886.050716,388487.000,60849,2,AK,1,100,60847
1713793886.056716,388493.000,60849,2,AK,1,100,RD
1713793888.610254,391046.500,61669,2,AK,1,100,60847
1713793891.163792,393600.000,61669,2,AK,1,100,RD
1713793891.170292,393606.500,61672,2,AK,1,100,61670
1713793891.176792,393613.000,61672,2,AK,1,100,RD
1713793893.730829,396167.000,62492,2,AK,1,100,61670
