LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1713793798.920425,301358.000,47023,1,B%,1,100,50
1713793803.919499,306357.000,47841,1,B%,1,100,49
1713793808.919573,311357.000,48658,1,B%,1,100,49
1713793813.918647,316356.000,49435,1,B%,1,100,49
1713793818.918721,321356.000,50233,1,B%,1,100,49
1713793823.917795,326355.000,51028,1,B%,1,100,49
1713793828.917869,331355.000,51773,1,B%,1,100,48
1713793833.916944,336354.000,52584,1,B%,1,100,48
1713793838.917017,341354.000,53392,1,B%,1,100,48
1713793843.916092,346353.000,54198,1,B%,1,100,48
1713793848.916166,351353.000,54991,1,B%,1,100,48
1713793853.915240,356352.000,55771,1,B%,1,100,48
1713793858.915314,361352.000,56565,1,B%,1,100,48
1713793863.914388,366351.000,57313,1,B%,1,100,48
1713793868.914462,371351.000,58104,1,B%,1,100,48
1713793873.913536,376350.000,58916,1,B%,1,100,48
1713793878.913610,381350.000,59727,1,B%,1,100,49
1713793883.912684,386349.000,60517,1,B%,1,100,48
1713793888.912758,391349.000,61325,1,B%,1,100,47
1713793893.911832,396348.000,62116,1,B%,1,100,48
1713793898.911906,401348.000,62922,1,B%,1,100,48
1713793903.910980,406347.000,63733,1,B%,1,100,48
1713793908.911054,411347.000,64544,1,B%,1,100,48
1713793913.910129,416346.000,65350,1,B%,1,100,48
1713793918.910203,421346.000,622,1,B%,1,100,48
1713793923.909277,426345.000,1434,1,B%,1,100,48
1713793928.909351,431345.000,2264,1,B%,1,100,48
1713793933.908425,436344.000,3082,1,B%,1,100,47
1713793938.908499,441344.000,3923,1,B%,1,100,48
1713793943.907573,446343.000,4748,1,B%,1,100,48
1713793948.907647,451343.000,5588,1,B%,1,100,48
1713793953.906721,456342.000,6417,1,B%,1,100,48
1713793958.906795,461342.000,7237,1,B%,1,100,48
1713793963.905869,466341.000,8064,1,B%,1,100,48
1713793968.905943,471341.000,8889,1,B%,1,100,48
1713793973.905017,476340.000,9722,1,B%,1,100,48
1713793978.905091,481340.000,10572,1,B%,1,100,48
1713793983.904165,486339.000,11396,1,B%,1,100,48
1713793988.904239,491339.000,12224,1,B%,1,100,48
1713793993.903313,496338.000,13054,1,B%,1,100,47
