LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1713793798.142414,300580.000,46875,3,PI,1,100,145501
1713793798.142414,300580.000,46875,3,PI,1,100,145487
1713793798.142414,300580.000,46875,3,PI,1,100,145503
1713793798.182414,300620.000,46892,2,PI,1,100,145500
1713793798.222415,300660.000,46892,2,PI,1,100,145486
1713793798.262415,300700.000,46907,3,PI,1,100,145498
1713793798.302416,300740.000,46907,3,PI,1,100,145515
1713793798.342417,300780.000,46907,3,PI,1,100,145512
1713793798.382417,300820.000,46924,3,PI,1,100,145509
1713793798.422418,300860.000,46924,3,PI,1,100,145514
1713793798.462418,300900.000,46924,3,PI,1,100,145524
1713793798.502419,300940.000,46940,2,PI,1,100,145520
1713793798.542419,300980.000,46940,2,PI,1,100,145511
1713793798.582420,301020.000,46958,3,PI,1,100,145515
1713793798.622421,301060.000,46958,3,PI,1,100,145505
1713793798.662421,301100.000,46958,3,PI,1,100,145525
1713793798.702422,301140.000,46972,2,PI,1,100,145537
1713793798.742422,301180.000,46972,2,PI,1,100,145535
1713793798.782423,301220.000,46989,3,PI,1,100,145552
1713793798.822424,301260.000,46989,3,PI,1,100,145552
1713793798.862424,301300.000,46989,3,PI,1,100,145575
1713793798.902425,301340.000,47006,2,PI,1,100,145555
1713793798.942425,301380.000,47006,2,PI,1,100,145557
1713793798.982426,301420.000,47025,3,PI,1,100,145566
1713793799.022427,301460.000,47025,3,PI,1,100,145550
1713793799.062427,301500.000,47025,3,PI,1,100,145567
1713793799.102428,301540.000,47044,3,PI,1,100,145562
1713793799.142428,301580.000,47044,3,PI,1,100,145564
1713793799.182429,301620.000,47044,3,PI,1,100,145542
1713793799.222430,301660.000,47062,3,PI,1,100,145550
1713793799.262430,301700.000,47062,3,PI,1,100,145563
1713793799.302431,301740.000,47062,3,PI,1,100,145551
1713793799.342431,301780.000,47077,2,PI,1,100,145571
1713793799.382432,301820.000,47077,2,PI,1,100,145567
1713793799.422432,301860.000,47094,3,PI,1,100,145553
1713793799.462433,301900.000,47094,3,PI,1,100,145577
1713793799.502434,301940.000,47094,3,PI,1,100,145545
1713793799.542434,301980.000,47111,3,PI,1,100,145559
1713793799.582435,302020.000,47111,3,PI,1,100,145568
1713793799.622436,302060.000,47111,3,PI,1,100,145571
1713793799.662436,302100.000,47128,2,PI,1,100,145565
1713793799.702437,302140.000,47128,2,PI,1,100,145568
1713793799.742437,302180.000,47142,3,PI,1,100,145583
1713793799.782438,302220.000,47142,3,PI,1,100,145598
1713793799.822438,302260.000,47142,3,PI,1,100,145589
1713793799.862439,302300.000,47159,2,PI,1,100,145577
1713793799.902440,302340.000,47159,2,PI,1,100,145580
1713793799.942440,302380.000,47176,3,PI,1,100,145561
1713793799.982441,302420.000,47176,3,PI,1,100,145558
