LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1713793933.742422,436178,3064,1,SA,1,100,0.000001
1713793934.009426,436445,3149,1,SA,1,100,0.000006
1713793934.475433,436911,3283,1,SA,1,100,0.000021
1713793935.275445,437711,3353,1,SA,1,100,0.000015
1713793935.675451,438111,3404,1,SA,1,100,0.000008
1713793936.143458,438579,3523,1,SA,1,100,0.000021
1713793936.875469,439311,3613,1,SA,1,100,0.000013
1713793937.342476,439778,3664,1,SA,1,100,0.000004
1713793937.675481,440111,3747,1,SA,1,100,0.000009
1713793938.008486,440444,3767,1,SA,1,100,0.000003
1713793938.208488,440644,3903,1,SA,1,100,0.000028
1713793939.076501,441512,3972,1,SA,1,100,0.000004
1713793939.876513,442312,4123,1,SA,1,100,0.000012
1713793940.275519,442711,4193,1,SA,1,100,0.000016
1713793941.009530,443445,4325,1,SA,1,100,0.000015
1713793941.475537,443911,4392,1,SA,1,100,0.000020
1713793941.941544,444377,4443,1,SA,1,100,0.000007
1713793943.008559,445444,4646,1,SA,1,100,0.000014
1713793943.408566,445844,4698,1,SA,1,100,0.000009
1713793944.275578,446711,4832,1,SA,1,100,0.000009
1713793944.675584,447111,4899,1,SA,1,100,0.000011
1713793945.275593,447711,4998,1,SA,1,100,0.000013
1713793945.741600,448177,5065,1,SA,1,100,0.000009
1713793946.408610,448844,5249,1,SA,1,100,0.000026
1713793947.741630,450177,5418,1,SA,1,100,0.000009
1713793948.074635,450510,5453,1,SA,1,100,0.000007
1713793948.341639,450777,5487,1,SA,1,100,0.000004
1713793949.341653,451777,5691,1,SA,1,100,0.000016
1713793950.274667,452710,5806,1,SA,1,100,0.000001
1713793950.607672,453043,5940,1,SA,1,100,0.000024
1713793951.207681,453643,5960,1,SA,1,100,0.000006
1713793951.407684,453843,5993,1,SA,1,100,0.000005
1713793952.007693,454443,6094,1,SA,1,100,0.000001
1713793952.340698,454776,6166,1,SA,1,100,0.000004
1713793953.074709,455510,6348,1,SA,1,100,0.000023
1713793954.073724,456509,6500,1,SA,1,100,0.000035
1713793955.007737,457443,6601,1,SA,1,100,0.000003
1713793955.741748,458177,6733,1,SA,1,100,0.000004
1713793956.274756,458710,6849,1,SA,1,100,0.000025
1713793957.274771,459710,7087,1,SA,1,100,0.000033
1713793958.940796,461376,7239,1,SA,1,100,0.000002
1713793959.140799,461576,7338,1,SA,1,100,0.000017
1713793959.873809,462309,7421,1,SA,1,100,0.000009
1713793960.207814,462643,7505,1,SA,1,100,0.000022
1713793961.206829,463642,7638,1,SA,1,100,0.000009
1713793961.806838,464242,7739,1,SA,1,100,0.000012
1713793962.140843,464576,7789,1,SA,1,100,0.000009
1713793962.606850,465042,7878,1,SA,1,100,0.000011
1713793963.206859,465642,7946,1,SA,1,100,0.000006
1713793963.406862,465842,8029,1,SA,1,100,0.000015
1713793964.539879,466975,8247,1,SA,1,100,0.000026
1713793965.139887,467575,8264,1,SA,1,100,0.000008
1713793965.739896,468175,8397,1,SA,1,100,0.000017
1713793966.139902,468575,8450,1,SA,1,100,0.000011
1713793966.672910,469108,8531,1,SA,1,100,0.000002
1713793966.872913,469308,8567,1,SA,1,100,0.000006
1713793967.072916,469508,8601,1,SA,1,100,0.000005
1713793967.672925,470108,8685,1,SA,1,100,0.000005
1713793967.872928,470308,8757,1,SA,1,100,0.000017
1713793968.672940,471108,8990,1,SA,1,100,0.000049
1713793969.605953,472041,9025,1,SA,1,100,0.000005
1713793969.939959,472375,9076,1,SA,1,100,0.000008
1713793970.472966,472908,9175,1,SA,1,100,0.000012
1713793971.205977,473641,9360,1,SA,1,100,0.000024
1713793972.138991,474574,9427,1,SA,1,100,0.000004
1713793972.338994,474774,9477,1,SA,1,100,0.000009
1713793972.606998,475042,9528,1,SA,1,100,0.000014
1713793972.939003,475374,9603,1,SA,1,100,0.000011
1713793973.339009,475774,9671,1,SA,1,100,0.000016
1713793973.872017,476307,9724,1,SA,1,100,0.000003
1713793974.072020,476507,9774,1,SA,1,100,0.000005
1713793974.472026,476907,9824,1,SA,1,100,0.000006
1713793974.806031,477241,9894,1,SA,1,100,0.000007
1713793975.206037,477641,9994,1,SA,1,100,0.000016
1713793975.740044,478175,10081,1,SA,1,100,0.000012
1713793976.206051,478641,10164,1,SA,1,100,0.000022
1713793977.205066,479640,10281,1,SA,1,100,0.000005
1713793977.673073,480108,10396,1,SA,1,100,0.000020
1713793978.206081,480641,10501,1,SA,1,100,0.000017
1713793978.672088,481107,10535,1,SA,1,100,0.000006
1713793979.606102,482041,10703,1,SA,1,100,0.000015
1713793980.205111,482640,10853,1,SA,1,100,0.000023
1713793980.939121,483374,10936,1,SA,1,100,0.000015
1713793981.472129,483907,10987,1,SA,1,100,0.000003
1713793981.939136,484374,11122,1,SA,1,100,0.000021
1713793983.205155,485640,11309,1,SA,1,100,0.000015
1713793983.605161,486040,11362,1,SA,1,100,0.000006
1713793984.005167,486440,11446,1,SA,1,100,0.000010
1713793984.405173,486840,11483,1,SA,1,100,0.000000
1713793985.538190,487973,11700,1,SA,1,100,0.000017
1713793986.071198,488506,11799,1,SA,1,100,0.000017
1713793986.605205,489040,11851,1,SA,1,100,0.000004
1713793987.205214,489640,12001,1,SA,1,100,0.000018
1713793987.671221,490106,12052,1,SA,1,100,0.000010
1713793988.404232,490839,12156,1,SA,1,100,0.000006
1713793988.804238,491239,12226,1,SA,1,100,0.000008
1713793989.204244,491639,12295,1,SA,1,100,0.000041
1713793989.938255,492373,12394,1,SA,1,100,0.000004
1713793990.405262,492840,12478,1,SA,1,100,0.000001
