LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1713793798.354417,300792.000,46906,1,SF,1,100,0.0000
1713793798.620421,301058.000,46957,1,SF,1,100,0.0000
1713793798.954426,301392.000,47005,1,SF,1,100,0.0000
1713793799.287431,301725.000,47061,1,SF,1,100,0.0000
1713793799.620435,302058.000,47110,1,SF,1,100,0.0000
1713793800.020441,302458.000,47175,1,SF,1,100,0.0000
1713793800.287445,302725.000,47224,1,SF,1,100,0.0000
1713793800.620450,303058.000,47272,1,SF,1,100,0.0000
1713793801.020456,303458.000,47337,1,SF,1,100,0.0000
1713793801.287460,303725.000,47390,1,SF,1,100,0.0000
1713793801.620465,304058.000,47438,1,SF,1,100,0.0000
1713793801.953470,304391.000,47489,1,SF,1,100,0.0000
1713793802.353476,304791.000,47556,1,SF,1,100,0.0000
1713793802.620480,305058.000,47606,1,SF,1,100,0.0000
1713793802.953485,305391.000,47657,1,SF,1,100,0.0000
1713793803.353491,305791.000,47724,1,SF,1,100,0.0000
1713793803.620495,306058.000,47774,1,SF,1,100,0.0000
1713793803.953500,306391.000,47824,1,SF,1,100,0.0000
1713793804.286505,306724.000,47881,1,SF,1,100,0.0000
1713793804.620509,307058.000,47929,1,SF,1,100,0.0000
1713793805.020515,307458.000,47998,1,SF,1,100,0.0000
1713793805.286519,307724.000,48049,1,SF,1,100,0.0000
1713793805.620524,308058.000,48097,1,SF,1,100,0.0000
1713793805.953529,308391.000,48148,1,SF,1,100,0.0000
1713793806.353535,308791.000,48215,1,SF,1,100,0.0000
1713793806.620539,309058.000,48265,1,SF,1,100,0.0000
1713793806.953544,309391.000,48314,1,SF,1,100,0.0000
1713793807.353550,309791.000,48379,1,SF,1,100,0.0000
1713793807.620554,310058.000,48427,1,SF,1,100,0.0000
1713793807.953559,310391.000,48478,1,SF,1,100,0.0000
1713793808.286564,310724.000,48526,1,SF,1,100,0.0000
1713793808.686570,311124.000,48591,1,SF,1,100,0.0000
1713793808.953574,311391.000,48640,1,SF,1,100,0.0000
1713793809.286579,311724.000,48690,1,SF,1,100,0.0000
1713793809.619584,312057.000,48746,1,SF,1,100,0.0000
1713793809.953588,312391.000,48794,1,SF,1,100,0.0000
1713793810.352594,312790.000,48859,1,SF,1,100,0.0000
1713793810.619598,313057.000,48910,1,SF,1,100,0.0000
1713793811.019604,313457.000,48959,1,SF,1,100,0.0000
1713793811.352609,313790.000,49008,1,SF,1,100,0.0000
1713793811.686614,314124.000,49057,1,SF,1,100,0.0000
1713793811.952618,314390.000,49107,1,SF,1,100,0.0000
1713793812.286623,314724.000,49156,1,SF,1,100,0.0000
1713793812.686629,315124.000,49221,1,SF,1,100,0.0000
1713793812.952633,315390.000,49269,1,SF,1,100,0.0000
1713793813.285638,315723.000,49319,1,SF,1,100,0.0000
1713793813.619643,316057.000,49368,1,SF,1,100,0.0000
1713793813.952648,316390.000,49417,1,SF,1,100,0.0000
1713793814.352654,316790.000,49484,1,SF,1,100,0.0000
1713793814.619658,317057.000,49523,1,SF,1,100,0.0000
1713793814.952662,317390.000,49574,1,SF,1,100,0.0000
1713793815.352669,317790.000,49639,1,SF,1,100,0.0000
1713793815.685673,318123.000,49687,1,SF,1,100,0.0000
1713793815.952677,318390.000,49738,1,SF,1,100,0.0000
1713793816.285682,318723.000,49786,1,SF,1,100,0.0000
1713793816.619687,319057.000,49837,1,SF,1,100,0.0000
1713793817.018693,319456.000,49902,1,SF,1,100,0.0000
1713793817.285697,319723.000,49952,1,SF,1,100,0.0000
1713793817.618702,320056.000,50001,1,SF,1,100,0.0000
1713793817.952707,320390.000,50049,1,SF,1,100,0.0000
1713793818.352713,320790.000,50116,1,SF,1,100,0.0000
1713793818.618717,321056.000,50167,1,SF,1,100,0.0000
1713793818.952722,321390.000,50215,1,SF,1,100,0.0000
1713793819.285727,321723.000,50266,1,SF,1,100,0.0000
1713793819.618732,322056.000,50322,1,SF,1,100,0.0000
1713793819.952737,322390.000,50370,1,SF,1,100,0.0000
1713793820.285742,322723.000,50421,1,SF,1,100,0.0000
1713793820.685747,323123.000,50486,1,SF,1,100,0.0000
1713793821.018752,323456.000,50534,1,SF,1,100,0.0000
1713793821.285756,323723.000,50585,1,SF,1,100,0.0000
1713793821.618761,324056.000,50633,1,SF,1,100,0.0000
1713793822.018767,324456.000,50698,1,SF,1,100,0.0000
1713793822.351772,324789.000,50747,1,SF,1,100,0.0000
1713793822.618776,325056.000,50797,1,SF,1,100,0.0000
1713793822.951781,325389.000,50848,1,SF,1,100,0.0000
1713793823.285786,325723.000,50896,1,SF,1,100,0.0000
1713793823.684792,326122.000,50961,1,SF,1,100,0.0000
