LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1713793933.742422,436178,3065,1,SR,1,100,0.133333
1713793934.009426,436445,3150,1,SR,1,100,0.333333
1713793934.475433,436911,3284,1,SR,1,100,0.666667
1713793935.275445,437711,3354,1,SR,1,100,0.266667
1713793935.675451,438111,3405,1,SR,1,100,0.200000
1713793936.143458,438579,3524,1,SR,1,100,0.466667
1713793936.875469,439311,3614,1,SR,1,100,0.200000
1713793937.342476,439778,3665,1,SR,1,100,0.066667
1713793937.675481,440111,3748,1,SR,1,100,0.200000
1713793938.008486,440444,3768,1,SR,1,100,0.066667
1713793938.208488,440644,3904,1,SR,1,100,0.600000
1713793939.076501,441512,3973,1,SR,1,100,0.133333
1713793939.876513,442312,4124,1,SR,1,100,0.266667
1713793940.275519,442711,4194,1,SR,1,100,0.333333
1713793941.009530,443445,4326,1,SR,1,100,0.333333
1713793941.475537,443911,4393,1,SR,1,100,0.333333
1713793941.941544,444377,4444,1,SR,1,100,0.133333
1713793943.008559,445444,4647,1,SR,1,100,0.266667
1713793943.408566,445844,4699,1,SR,1,100,0.200000
1713793944.275578,446711,4833,1,SR,1,100,0.133333
1713793944.675584,447111,4900,1,SR,1,100,0.200000
1713793945.275593,447711,4999,1,SR,1,100,0.200000
1713793945.741600,448177,5066,1,SR,1,100,0.133333
1713793946.408610,448844,5250,1,SR,1,100,0.533333
1713793947.741630,450177,5419,1,SR,1,100,0.200000
1713793948.074635,450510,5454,1,SR,1,100,0.133333
1713793948.341639,450777,5488,1,SR,1,100,0.066667
1713793949.341653,451777,5692,1,SR,1,100,0.266667
1713793950.274667,452710,5807,1,SR,1,100,0.066667
1713793950.607672,453043,5941,1,SR,1,100,0.466667
1713793951.207681,453643,5961,1,SR,1,100,0.066667
1713793951.407684,453843,5994,1,SR,1,100,0.066667
1713793952.007693,454443,6095,1,SR,1,100,0.066667
1713793952.340698,454776,6167,1,SR,1,100,0.066667
1713793953.074709,455510,6349,1,SR,1,100,0.466667
1713793954.073724,456509,6501,1,SR,1,100,0.400000
1713793955.007737,457443,6602,1,SR,1,100,0.066667
1713793955.741748,458177,6734,1,SR,1,100,0.133333
1713793956.274756,458710,6850,1,SR,1,100,0.333333
1713793957.274771,459710,7088,1,SR,1,100,0.733333
1713793958.940796,461376,7240,1,SR,1,100,0.066667
1713793959.140799,461576,7339,1,SR,1,100,0.466667
1713793959.873809,462309,7422,1,SR,1,100,0.200000
1713793960.207814,462643,7506,1,SR,1,100,0.333333
1713793961.206829,463642,7639,1,SR,1,100,0.200000
1713793961.806838,464242,7740,1,SR,1,100,0.200000
1713793962.140843,464576,7790,1,SR,1,100,0.200000
1713793962.606850,465042,7879,1,SR,1,100,0.200000
1713793963.206859,465642,7947,1,SR,1,100,0.066667
1713793963.406862,465842,8030,1,SR,1,100,0.333333
1713793964.539879,466975,8248,1,SR,1,100,0.466667
1713793965.139887,467575,8265,1,SR,1,100,0.066667
1713793965.739896,468175,8398,1,SR,1,100,0.266667
1713793966.139902,468575,8451,1,SR,1,100,0.133333
1713793966.672910,469108,8532,1,SR,1,100,0.066667
1713793966.872913,469308,8568,1,SR,1,100,0.066667
1713793967.072916,469508,8602,1,SR,1,100,0.066667
1713793967.672925,470108,8686,1,SR,1,100,0.066667
1713793967.872928,470308,8758,1,SR,1,100,0.266667
1713793968.672940,471108,8991,1,SR,1,100,0.800000
1713793969.605953,472041,9026,1,SR,1,100,0.066667
1713793969.939959,472375,9077,1,SR,1,100,0.133333
1713793970.472966,472908,9176,1,SR,1,100,0.200000
1713793971.205977,473641,9361,1,SR,1,100,0.533333
1713793972.138991,474574,9428,1,SR,1,100,0.066667
1713793972.338994,474774,9478,1,SR,1,100,0.133333
1713793972.606998,475042,9529,1,SR,1,100,0.200000
1713793972.939003,475374,9604,1,SR,1,100,0.266667
1713793973.339009,475774,9672,1,SR,1,100,0.266667
1713793973.872017,476307,9725,1,SR,1,100,0.066667
1713793974.072020,476507,9775,1,SR,1,100,0.133333
1713793974.472026,476907,9825,1,SR,1,100,0.066667
1713793974.806031,477241,9895,1,SR,1,100,0.133333
1713793975.206037,477641,9995,1,SR,1,100,0.266667
1713793975.740044,478175,10082,1,SR,1,100,0.333333
1713793976.206051,478641,10165,1,SR,1,100,0.333333
1713793977.205066,479640,10282,1,SR,1,100,0.066667
1713793977.673073,480108,10397,1,SR,1,100,0.266667
1713793978.206081,480641,10502,1,SR,1,100,0.333333
1713793978.672088,481107,10536,1,SR,1,100,0.133333
1713793979.606102,482041,10704,1,SR,1,100,0.200000
1713793980.205111,482640,10854,1,SR,1,100,0.466667
1713793980.939121,483374,10937,1,SR,1,100,0.266667
1713793981.472129,483907,10988,1,SR,1,100,0.066667
1713793981.939136,484374,11123,1,SR,1,100,0.333333
1713793983.205155,485640,11310,1,SR,1,100,0.266667
1713793983.605161,486040,11363,1,SR,1,100,0.133333
1713793984.005167,486440,11447,1,SR,1,100,0.266667
1713793984.405173,486840,11484,1,SR,1,100,0.066667
1713793985.538190,487973,11701,1,SR,1,100,0.266667
1713793986.071198,488506,11800,1,SR,1,100,0.266667
1713793986.605205,489040,11852,1,SR,1,100,0.066667
