LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1716209198.812079,211579.000,32935,1,BV,1,100,3.62
1716209203.812137,216579.000,33766,1,BV,1,100,3.63
1716209208.811195,221578.000,34582,1,BV,1,100,3.62
1716209213.811254,226578.000,35384,1,BV,1,100,3.62
1716209218.810312,231577.000,36200,1,BV,1,100,3.62
1716209223.810371,236577.000,37025,1,BV,1,100,3.62
1716209228.809429,241576.000,37860,1,BV,1,100,3.62
1716209233.809487,246576.000,38667,1,BV,1,100,3.61
1716209238.808546,251575.000,39498,1,BV,1,100,3.61
1716209243.808604,256575.000,40333,1,BV,1,100,3.62
1716209248.807663,261574.000,41153,1,BV,1,100,3.61
1716209253.807721,266574.000,41983,1,BV,1,100,3.61
1716209258.806779,271573.000,42801,1,BV,1,100,3.62
1716209263.806838,276573.000,43631,1,BV,1,100,3.62
1716209268.805896,281572.000,44466,1,BV,1,100,3.61
1716209273.805955,286572.000,45283,1,BV,1,100,3.61
1716209278.805013,291571.000,46108,1,BV,1,100,3.61
1716209283.805072,296571.000,46938,1,BV,1,100,3.61
1716209288.804130,301570.000,47755,1,BV,1,100,3.61
1716209293.804188,306570.000,48586,1,BV,1,100,3.61
1716209298.803247,311569.000,49423,1,BV,1,100,3.61
1716209303.803305,316569.000,50233,1,BV,1,100,3.61
1716209308.802364,321568.000,51053,1,BV,1,100,3.61
1716209313.802422,326568.000,51886,1,BV,1,100,3.62
1716209318.801480,331567.000,52723,1,BV,1,100,3.61
1716209323.801539,336567.000,53546,1,BV,1,100,3.61
1716209328.800597,341566.000,54386,1,BV,1,100,3.60
1716209333.800656,346566.000,55222,1,BV,1,100,3.61
1716209338.799714,351565.000,56042,1,BV,1,100,3.60
1716209343.799773,356565.000,56864,1,BV,1,100,3.60
1716209348.798831,361564.000,57699,1,BV,1,100,3.60
1716209353.798889,366564.000,58540,1,BV,1,100,3.60
1716209358.797948,371563.000,59375,1,BV,1,100,3.60
1716209363.798006,376563.000,60184,1,BV,1,100,3.61
1716209368.797064,381562.000,61012,1,BV,1,100,3.60
1716209373.797123,386562.000,61837,1,BV,1,100,3.60
1716209378.796181,391561.000,62634,1,BV,1,100,3.61
1716209383.796240,396561.000,63375,1,BV,1,100,3.60
1716209388.795298,401560.000,64193,1,BV,1,100,3.60
1716209393.795357,406560.000,65032,1,BV,1,100,3.60
1716209398.794415,411559.000,324,1,BV,1,100,3.61
1716209403.794473,416559.000,1127,1,BV,1,100,3.60
1716209408.794532,421559.000,1959,1,BV,1,100,3.60
1716209413.793590,426558.000,2758,1,BV,1,100,3.60
1716209418.792649,431557.000,3531,1,BV,1,100,3.60
1716209423.792707,436557.000,4356,1,BV,1,100,3.60
1716209428.791765,441556.000,5189,1,BV,1,100,3.60
1716209433.791824,446556.000,6023,1,BV,1,100,3.60
1716209438.790882,451555.000,6855,1,BV,1,100,3.60
1716209443.790941,456555.000,7684,1,BV,1,100,3.60
1716209448.789999,461554.000,8516,1,BV,1,100,3.60
1716209453.790057,466554.000,9339,1,BV,1,100,3.60
1716209458.789116,471553.000,10170,1,BV,1,100,3.60
1716209463.789174,476553.000,11001,1,BV,1,100,3.60
1716209468.788233,481552.000,11825,1,BV,1,100,3.59
1716209473.788291,486552.000,12644,1,BV,1,100,3.60
1716209478.787349,491551.000,13441,1,BV,1,100,3.60
1716209483.787408,496551.000,14277,1,BV,1,100,3.60
1716209488.786466,501550.000,15106,1,BV,1,100,3.60
1716209493.786525,506550.000,15928,1,BV,1,100,3.60
1716209498.785583,511549.000,16743,1,BV,1,100,3.60
1716209503.785641,516549.000,17589,1,BV,1,100,3.60
1716209508.784700,521548.000,18414,1,BV,1,100,3.59
1716209513.784758,526548.000,19244,1,BV,1,100,3.59
1716209518.783817,531547.000,20077,1,BV,1,100,3.60
1716209523.783875,536547.000,20904,1,BV,1,100,3.60
1716209528.782933,541546.000,21726,1,BV,1,100,3.59
1716209533.782992,546546.000,22551,1,BV,1,100,3.60
1716209538.782050,551545.000,23387,1,BV,1,100,3.60
1716209543.782109,556545.000,24223,1,BV,1,100,3.59
1716209548.781167,561544.000,25077,1,BV,1,100,3.60
1716209553.781225,566544.000,25897,1,BV,1,100,3.59
1716209558.781284,571544.000,26732,1,BV,1,100,3.59
