LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1716209194.955034,207722.000,32281,4,PG,1,100,12257
1716209194.955034,207722.000,32281,4,PG,1,100,12246
1716209194.955034,207722.000,32281,4,PG,1,100,12248
1716209194.955034,207722.000,32281,4,PG,1,100,12232
1716209194.965634,207732.600,32293,10,PG,1,100,12240
1716209194.976234,207743.200,32293,10,PG,1,100,12251
1716209194.986834,207753.800,32293,10,PG,1,100,12234
1716209194.997434,207764.400,32293,10,PG,1,100,12254
1716209195.008034,207775.000,32293,10,PG,1,100,12255
1716209195.018634,207785.600,32293,10,PG,1,100,12247
1716209195.029234,207796.200,32293,10,PG,1,100,12257
1716209195.039834,207806.800,32293,10,PG,1,100,12239
1716209195.050435,207817.400,32293,10,PG,1,100,12251
1716209195.061035,207828.000,32293,10,PG,1,100,12237
1716209195.070435,207837.400,32310,10,PG,1,100,12241
1716209195.079835,207846.800,32310,10,PG,1,100,12242
1716209195.089235,207856.200,32310,10,PG,1,100,12257
1716209195.098635,207865.600,32310,10,PG,1,100,12275
1716209195.108035,207875.000,32310,10,PG,1,100,12258
1716209195.117435,207884.400,32310,10,PG,1,100,12261
1716209195.126836,207893.800,32310,10,PG,1,100,12254
1716209195.136236,207903.200,32310,10,PG,1,100,12242
1716209195.145636,207912.600,32310,10,PG,1,100,12235
1716209195.155036,207922.000,32310,10,PG,1,100,12245
1716209195.165636,207932.600,32327,10,PG,1,100,12248
1716209195.176236,207943.200,32327,10,PG,1,100,12274
1716209195.186836,207953.800,32327,10,PG,1,100,12243
1716209195.197436,207964.400,32327,10,PG,1,100,12249
1716209195.208036,207975.000,32327,10,PG,1,100,12264
1716209195.218637,207985.600,32327,10,PG,1,100,12260
1716209195.229237,207996.200,32327,10,PG,1,100,12290
1716209195.239837,208006.800,32327,10,PG,1,100,12293
1716209195.250437,208017.400,32327,10,PG,1,100,12272
1716209195.261037,208028.000,32327,10,PG,1,100,12256
1716209195.270437,208037.400,32344,10,PG,1,100,12269
1716209195.279837,208046.800,32344,10,PG,1,100,12263
1716209195.289237,208056.200,32344,10,PG,1,100,12276
1716209195.298638,208065.600,32344,10,PG,1,100,12271
1716209195.308038,208075.000,32344,10,PG,1,100,12259
1716209195.317438,208084.400,32344,10,PG,1,100,12265
1716209195.326838,208093.800,32344,10,PG,1,100,12273
1716209195.336238,208103.200,32344,10,PG,1,100,12287
1716209195.345638,208112.600,32344,10,PG,1,100,12262
1716209195.355038,208122.000,32344,10,PG,1,100,12291
1716209195.365638,208132.600,32358,10,PG,1,100,12294
1716209195.376238,208143.200,32358,10,PG,1,100,12272
1716209195.386839,208153.800,32358,10,PG,1,100,12286
