LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1729244893.493764,268405.000,37620,2,AK,1,100,36829
1729244893.493764,268405.000,37620,2,AK,1,100,RD
1729244893.499264,268410.500,37623,2,AK,1,100,37621
1729244893.504764,268416.000,37623,2,AK,1,100,RD
1729244896.061752,270973.000,38454,2,AK,1,100,37621
1729244898.618739,273530.000,38454,2,AK,1,100,RD
1729244898.625239,273536.500,38457,2,AK,1,100,38455
1729244898.631739,273543.000,38457,2,AK,1,100,RD
1729244901.192727,276104.000,39287,2,AK,1,100,38455
1729244903.753715,278665.000,39287,2,AK,1,100,RD
1729244903.759715,278671.000,39290,2,AK,1,100,39288
1729244903.765714,278677.000,39290,2,AK,1,100,RD
1729244906.326202,281237.500,40120,2,AK,1,100,39288
1729244908.886690,283798.000,40120,2,AK,1,100,RD
1729244908.893190,283804.500,40123,2,AK,1,100,40121
1729244908.899690,283811.000,40123,2,AK,1,100,RD
1729244911.459677,286371.000,40957,2,AK,1,100,40121
1729244914.019665,288931.000,40957,2,AK,1,100,RD
1729244914.028665,288940.000,40960,2,AK,1,100,40958
1729244914.037665,288949.000,40960,2,AK,1,100,RD
1729244916.599153,291510.500,41792,2,AK,1,100,40958
1729244919.160640,294072.000,41792,2,AK,1,100,RD
1729244919.167640,294079.000,41795,2,AK,1,100,41793
1729244919.174640,294086.000,41795,2,AK,1,100,RD
1729244921.721128,296632.500,42611,2,AK,1,100,41793
1729244924.267615,299179.000,42611,2,AK,1,100,RD
1729244924.274115,299185.500,42614,2,AK,1,100,42612
1729244924.280615,299192.000,42614,2,AK,1,100,RD
1729244926.845603,301757.000,43447,2,AK,1,100,42612
1729244929.410590,304322.000,43447,2,AK,1,100,RD
1729244929.417590,304329.000,43450,2,AK,1,100,43448
1729244929.424590,304336.000,43450,2,AK,1,100,RD
1729244931.986078,306897.500,44280,2,AK,1,100,43448
1729244934.547566,309459.000,44280,2,AK,1,100,RD
1729244934.554066,309465.500,44283,2,AK,1,100,44281
1729244934.560566,309472.000,44283,2,AK,1,100,RD
1729244937.124553,312036.000,45116,2,AK,1,100,44281
1729244939.688541,314600.000,45116,2,AK,1,100,RD
1729244939.699541,314611.000,45119,2,AK,1,100,45117
1729244939.710541,314622.000,45119,2,AK,1,100,RD
1729244942.266028,317177.500,45950,2,AK,1,100,45117
1729244944.821516,319733.000,45950,2,AK,1,100,RD
1729244944.828016,319739.500,45953,2,AK,1,100,45951
1729244944.834516,319746.000,45953,2,AK,1,100,RD
1729244947.395004,322306.500,46786,2,AK,1,100,45951
1729244949.955491,324867.000,46786,2,AK,1,100,RD
1729244949.963491,324875.000,46789,2,AK,1,100,46787
1729244949.971491,324883.000,46789,2,AK,1,100,RD
1729244952.516979,327428.500,47605,2,AK,1,100,46787
1729244955.062467,329974.000,47605,2,AK,1,100,RD
1729244955.068466,329980.000,47608,2,AK,1,100,47606
