LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1729244893.149766,268061.000,37587,1,B%,1,100,25
1729244898.148742,273060.000,38386,1,B%,1,100,24
1729244903.148717,278060.000,39205,1,B%,1,100,24
1729244908.147693,283059.000,40020,1,B%,1,100,24
1729244913.147669,288059.000,40821,1,B%,1,100,24
1729244918.146645,293058.000,41642,1,B%,1,100,24
1729244923.146621,298058.000,42447,1,B%,1,100,24
1729244928.145597,303057.000,43262,1,B%,1,100,24
1729244933.145572,308057.000,44067,1,B%,1,100,23
1729244938.144548,313056.000,44881,1,B%,1,100,24
1729244943.144524,318056.000,45684,1,B%,1,100,23
1729244948.143500,323055.000,46503,1,B%,1,100,23
1729244953.143476,328055.000,47307,1,B%,1,100,24
1729244958.142452,333054.000,48125,1,B%,1,100,23
1729244963.142427,338054.000,48926,1,B%,1,100,23
1729244968.141403,343053.000,49747,1,B%,1,100,23
1729244973.141379,348053.000,50568,1,B%,1,100,23
1729244978.140355,353052.000,51388,1,B%,1,100,24
1729244983.140331,358052.000,52189,1,B%,1,100,24
1729244988.139307,363051.000,52994,1,B%,1,100,23
1729244993.139282,368051.000,53812,1,B%,1,100,24
1729244998.138258,373050.000,54630,1,B%,1,100,23
1729245003.138234,378050.000,55433,1,B%,1,100,24
1729245008.137210,383049.000,56253,1,B%,1,100,23
1729245013.137186,388049.000,57072,1,B%,1,100,23
1729245018.136162,393048.000,57861,1,B%,1,100,23
1729245023.136137,398048.000,58684,1,B%,1,100,23
1729245028.135113,403047.000,59505,1,B%,1,100,23
1729245033.135089,408047.000,60311,1,B%,1,100,24
1729245038.134065,413046.000,61133,1,B%,1,100,23
1729245043.134041,418046.000,61954,1,B%,1,100,23
1729245048.133017,423045.000,62741,1,B%,1,100,23
1729245053.132993,428045.000,63564,1,B%,1,100,23
