LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1729244893.149766,268061.000,37586,1,BV,1,100,3.57
1729244898.148742,273060.000,38385,1,BV,1,100,3.56
1729244903.148717,278060.000,39204,1,BV,1,100,3.56
1729244908.147693,283059.000,40019,1,BV,1,100,3.56
1729244913.147669,288059.000,40820,1,BV,1,100,3.56
1729244918.146645,293058.000,41641,1,BV,1,100,3.56
1729244923.146621,298058.000,42446,1,BV,1,100,3.56
1729244928.145597,303057.000,43261,1,BV,1,100,3.56
1729244933.145572,308057.000,44066,1,BV,1,100,3.56
1729244938.144548,313056.000,44880,1,BV,1,100,3.56
1729244943.144524,318056.000,45683,1,BV,1,100,3.56
1729244948.143500,323055.000,46502,1,BV,1,100,3.55
1729244953.143476,328055.000,47306,1,BV,1,100,3.56
1729244958.142452,333054.000,48124,1,BV,1,100,3.56
1729244963.142427,338054.000,48925,1,BV,1,100,3.55
1729244968.141403,343053.000,49746,1,BV,1,100,3.56
1729244973.141379,348053.000,50567,1,BV,1,100,3.56
1729244978.140355,353052.000,51387,1,BV,1,100,3.56
1729244983.140331,358052.000,52188,1,BV,1,100,3.56
1729244988.139307,363051.000,52993,1,BV,1,100,3.56
1729244993.139282,368051.000,53811,1,BV,1,100,3.56
1729244998.138258,373050.000,54629,1,BV,1,100,3.55
1729245003.138234,378050.000,55432,1,BV,1,100,3.56
1729245008.137210,383049.000,56252,1,BV,1,100,3.55
1729245013.137186,388049.000,57071,1,BV,1,100,3.56
1729245018.136162,393048.000,57860,1,BV,1,100,3.55
1729245023.136137,398048.000,58683,1,BV,1,100,3.56
1729245028.135113,403047.000,59504,1,BV,1,100,3.56
1729245033.135089,408047.000,60310,1,BV,1,100,3.56
1729245038.134065,413046.000,61132,1,BV,1,100,3.56
1729245043.134041,418046.000,61953,1,BV,1,100,3.55
1729245048.133017,423045.000,62740,1,BV,1,100,3.55
1729245053.132993,428045.000,63563,1,BV,1,100,3.55
