LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1729244888.983786,263895.000,36890,2,EA,1,100,1.903564
1729244888.983786,263895.000,36890,2,EA,1,100,1.903564
1729244889.050786,263962.000,36906,2,EA,1,100,1.902005
1729244889.117785,264029.000,36906,2,EA,1,100,1.902523
1729244889.183785,264095.000,36923,1,EA,1,100,1.902523
1729244889.250285,264161.500,36942,2,EA,1,100,1.902523
1729244889.316784,264228.000,36942,2,EA,1,100,1.903564
1729244889.383784,264295.000,36958,2,EA,1,100,1.902005
1729244889.450784,264362.000,36958,2,EA,1,100,1.902005
1729244889.517783,264429.000,36976,1,EA,1,100,1.902523
1729244889.584283,264495.500,36991,2,EA,1,100,1.902005
1729244889.650783,264562.000,36991,2,EA,1,100,1.901483
1729244889.717283,264628.500,37007,2,EA,1,100,1.902523
1729244889.783782,264695.000,37007,2,EA,1,100,1.900966
1729244889.850782,264762.000,37024,1,EA,1,100,1.901483
1729244889.917281,264828.500,37043,2,EA,1,100,1.902523
1729244889.983781,264895.000,37043,2,EA,1,100,1.900966
1729244890.050781,264962.000,37059,1,EA,1,100,1.900966
1729244890.117280,265028.500,37075,2,EA,1,100,1.902005
1729244890.183780,265095.000,37075,2,EA,1,100,1.901483
1729244890.250780,265162.000,37091,1,EA,1,100,1.901483
1729244890.317280,265228.500,37108,2,EA,1,100,1.901483
1729244890.383779,265295.000,37108,2,EA,1,100,1.900966
1729244890.450779,265362.000,37124,1,EA,1,100,1.901483
1729244890.517279,265428.500,37140,2,EA,1,100,1.900966
1729244890.583778,265495.000,37140,2,EA,1,100,1.899411
1729244890.650778,265562.000,37156,1,EA,1,100,1.898890
1729244890.717278,265628.500,37173,2,EA,1,100,1.898374
1729244890.783777,265695.000,37173,2,EA,1,100,1.898374
1729244890.850777,265762.000,37190,1,EA,1,100,1.898374
1729244890.917277,265828.500,37205,2,EA,1,100,1.898374
1729244890.983776,265895.000,37205,2,EA,1,100,1.898374
1729244891.050776,265962.000,37221,1,EA,1,100,1.898374
1729244891.117276,266028.500,37241,2,EA,1,100,1.898374
1729244891.183775,266095.000,37241,2,EA,1,100,1.898374
1729244891.250775,266162.000,37257,1,EA,1,100,1.897859
1729244891.317275,266228.500,37272,2,EA,1,100,1.898374
1729244891.383774,266295.000,37272,2,EA,1,100,1.898374
1729244891.450774,266362.000,37288,1,EA,1,100,1.899927
1729244891.517274,266428.500,37306,2,EA,1,100,1.899927
1729244891.583773,266495.000,37306,2,EA,1,100,1.900966
1729244891.650773,266562.000,37322,1,EA,1,100,1.900966
1729244891.717273,266628.500,37338,2,EA,1,100,1.901483
1729244891.783772,266695.000,37338,2,EA,1,100,1.900966
1729244891.850272,266761.500,37356,2,EA,1,100,1.902523
1729244891.916772,266828.000,37356,2,EA,1,100,1.903046
1729244891.983772,266895.000,37373,1,EA,1,100,1.903564
1729244892.050271,266961.500,37389,2,EA,1,100,1.904083
1729244892.116771,267028.000,37389,2,EA,1,100,1.904607
1729244892.183770,267095.000,37409,1,EA,1,100,1.905126
1729244892.250270,267161.500,37423,2,EA,1,100,1.905650
1729244892.316770,267228.000,37423,2,EA,1,100,1.906170
1729244892.383770,267295.000,37440,1,EA,1,100,1.907735
1729244892.450269,267361.500,37457,2,EA,1,100,1.908782
1729244892.516769,267428.000,37457,2,EA,1,100,1.909304
1729244892.583769,267495.000,37474,1,EA,1,100,1.910880
1729244892.650268,267561.500,37488,2,EA,1,100,1.911402
1729244892.716768,267628.000,37488,2,EA,1,100,1.914029
1729244892.783768,267695.000,37505,1,EA,1,100,1.914029
1729244892.850267,267761.500,37522,2,EA,1,100,1.914554
1729244892.916767,267828.000,37522,2,EA,1,100,1.915083
1729244892.983767,267895.000,37541,1,EA,1,100,1.916138
1729244893.050266,267961.500,37555,2,EA,1,100,1.916664
1729244893.116766,268028.000,37555,2,EA,1,100,1.916664
1729244893.183766,268095.000,37573,1,EA,1,100,1.917721
1729244893.250265,268161.500,37591,2,EA,1,100,1.918778
1729244893.316765,268228.000,37591,2,EA,1,100,1.918778
1729244893.383765,268295.000,37608,1,EA,1,100,1.918778
1729244893.450431,268361.667,37628,3,EA,1,100,1.918778
1729244893.517097,268428.333,37628,3,EA,1,100,1.918778
1729244893.583764,268495.000,37628,3,EA,1,100,1.918778
1729244893.649763,268561.000,37645,1,EA,1,100,1.918778
1729244893.716763,268628.000,37659,2,EA,1,100,1.917721
1729244893.783763,268695.000,37659,2,EA,1,100,1.918778
1729244893.850762,268762.000,37679,1,EA,1,100,1.918247
1729244893.917262,268828.500,37695,2,EA,1,100,1.919305
1729244893.983762,268895.000,37695,2,EA,1,100,1.917189
1729244894.049762,268961.000,37712,1,EA,1,100,1.917189
1729244894.116761,269028.000,37727,2,EA,1,100,1.916664
1729244894.183761,269095.000,37727,2,EA,1,100,1.915608
1729244894.249761,269161.000,37744,1,EA,1,100,1.915083
1729244894.316760,269228.000,37760,2,EA,1,100,1.914029
1729244894.383760,269295.000,37760,2,EA,1,100,1.914029
1729244894.449759,269361.000,37777,1,EA,1,100,1.914029
1729244894.516759,269428.000,37793,2,EA,1,100,1.913505
1729244894.583759,269495.000,37793,2,EA,1,100,1.912977
1729244894.649759,269561.000,37809,1,EA,1,100,1.911925
1729244894.716758,269628.000,37825,2,EA,1,100,1.911402
1729244894.783758,269695.000,37825,2,EA,1,100,1.909831
1729244894.850258,269761.500,37843,2,EA,1,100,1.909304
1729244894.916757,269828.000,37843,2,EA,1,100,1.908782
1729244894.983757,269895.000,37859,1,EA,1,100,1.908782
1729244895.050257,269961.500,37876,2,EA,1,100,1.908261
1729244895.116756,270028.000,37876,2,EA,1,100,1.908261
1729244895.183756,270095.000,37893,1,EA,1,100,1.907735
1729244895.250256,270161.500,37910,2,EA,1,100,1.907215
1729244895.316755,270228.000,37910,2,EA,1,100,1.908782
1729244895.383755,270295.000,37926,1,EA,1,100,1.908782
1729244895.450255,270361.500,37942,2,EA,1,100,1.906170
1729244895.516754,270428.000,37942,2,EA,1,100,1.906170
1729244895.583754,270495.000,37958,1,EA,1,100,1.905650
1729244895.650254,270561.500,37975,2,EA,1,100,1.904083
1729244895.716753,270628.000,37975,2,EA,1,100,1.904083
1729244895.783753,270695.000,37991,1,EA,1,100,1.903564
1729244895.850253,270761.500,38007,2,EA,1,100,1.903046
1729244895.916752,270828.000,38007,2,EA,1,100,1.903046
1729244895.983752,270895.000,38023,1,EA,1,100,1.901483
1729244896.050252,270961.500,38040,2,EA,1,100,1.900966
1729244896.116751,271028.000,38040,2,EA,1,100,1.900966
1729244896.183751,271095.000,38059,1,EA,1,100,1.900966
1729244896.250251,271161.500,38074,2,EA,1,100,1.900966
1729244896.316751,271228.000,38074,2,EA,1,100,1.899927
1729244896.382750,271294.000,38090,1,EA,1,100,1.899927
1729244896.449750,271361.000,38108,2,EA,1,100,1.899927
1729244896.516750,271428.000,38108,2,EA,1,100,1.898374
1729244896.583749,271495.000,38124,1,EA,1,100,1.898374
1729244896.650249,271561.500,38142,2,EA,1,100,1.898374
1729244896.716748,271628.000,38142,2,EA,1,100,1.898374
1729244896.783248,271694.500,38158,2,EA,1,100,1.900449
1729244896.849748,271761.000,38158,2,EA,1,100,1.900966
1729244896.916748,271828.000,38175,1,EA,1,100,1.900966
1729244896.983247,271894.500,38191,2,EA,1,100,1.899411
1729244897.049747,271961.000,38191,2,EA,1,100,1.898374
1729244897.116747,272028.000,38208,1,EA,1,100,1.898374
1729244897.183246,272094.500,38223,2,EA,1,100,1.896824
1729244897.249746,272161.000,38223,2,EA,1,100,1.895790
1729244897.316746,272228.000,38240,1,EA,1,100,1.895790
1729244897.383245,272294.500,38256,2,EA,1,100,1.893213
1729244897.449745,272361.000,38256,2,EA,1,100,1.893726
1729244897.516745,272428.000,38274,1,EA,1,100,1.893213
1729244897.583244,272494.500,38288,2,EA,1,100,1.892700
1729244897.649744,272561.000,38288,2,EA,1,100,1.892183
1729244897.716744,272628.000,38307,1,EA,1,100,1.891154
1729244897.783243,272694.500,38324,2,EA,1,100,1.890643
1729244897.849743,272761.000,38324,2,EA,1,100,1.890643
1729244897.916743,272828.000,38341,1,EA,1,100,1.889615
1729244897.983243,272894.500,38355,2,EA,1,100,1.888589
1729244898.049742,272961.000,38355,2,EA,1,100,1.888589
1729244898.116742,273028.000,38372,1,EA,1,100,1.888079
1729244898.183242,273094.500,38391,2,EA,1,100,1.887570
1729244898.249741,273161.000,38391,2,EA,1,100,1.886032
1729244898.316741,273228.000,38408,1,EA,1,100,1.885523
1729244898.383240,273294.500,38422,2,EA,1,100,1.885523
1729244898.449740,273361.000,38422,2,EA,1,100,1.885014
1729244898.516740,273428.000,38440,1,EA,1,100,1.885014
1729244898.583073,273494.333,38461,3,EA,1,100,1.882973
1729244898.649406,273560.667,38461,3,EA,1,100,1.882973
1729244898.715739,273627.000,38461,3,EA,1,100,1.882973
1729244898.782739,273694.000,38478,1,EA,1,100,1.882466
1729244898.849738,273761.000,38495,2,EA,1,100,1.881448
1729244898.916738,273828.000,38495,2,EA,1,100,1.880937
1729244898.982738,273894.000,38514,1,EA,1,100,1.880431
1729244899.049737,273961.000,38528,2,EA,1,100,1.880431
1729244899.116737,274028.000,38528,2,EA,1,100,1.880431
1729244899.182737,274094.000,38546,1,EA,1,100,1.880431
1729244899.249236,274160.500,38562,2,EA,1,100,1.879925
1729244899.315736,274227.000,38562,2,EA,1,100,1.878910
1729244899.382736,274294.000,38579,1,EA,1,100,1.877895
1729244899.449235,274360.500,38594,2,EA,1,100,1.877895
1729244899.515735,274427.000,38594,2,EA,1,100,1.877895
1729244899.582735,274494.000,38611,1,EA,1,100,1.877391
1729244899.649734,274561.000,38627,2,EA,1,100,1.877391
1729244899.716734,274628.000,38627,2,EA,1,100,1.877391
