LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1729244888.983786,263895.000,36891,2,EL,1,100,-18851.000000
1729244888.983786,263895.000,36891,2,EL,1,100,-18851.000000
1729244889.050786,263962.000,36907,2,EL,1,100,-18850.400391
1729244889.117785,264029.000,36907,2,EL,1,100,-18850.599609
1729244889.183785,264095.000,36924,1,EL,1,100,-18850.599609
1729244889.250285,264161.500,36943,2,EL,1,100,-18850.599609
1729244889.316784,264228.000,36943,2,EL,1,100,-18851.000000
1729244889.383784,264295.000,36959,2,EL,1,100,-18850.400391
1729244889.450784,264362.000,36959,2,EL,1,100,-18850.400391
1729244889.517783,264429.000,36977,1,EL,1,100,-18850.599609
1729244889.584283,264495.500,36992,2,EL,1,100,-18850.400391
1729244889.650783,264562.000,36992,2,EL,1,100,-18850.199219
1729244889.717283,264628.500,37008,2,EL,1,100,-18850.599609
1729244889.783782,264695.000,37008,2,EL,1,100,-18850.000000
1729244889.850782,264762.000,37025,1,EL,1,100,-18850.199219
1729244889.917281,264828.500,37044,2,EL,1,100,-18850.599609
1729244889.983781,264895.000,37044,2,EL,1,100,-18850.000000
1729244890.050781,264962.000,37060,1,EL,1,100,-18850.000000
1729244890.117280,265028.500,37076,2,EL,1,100,-18850.400391
1729244890.183780,265095.000,37076,2,EL,1,100,-18850.199219
1729244890.250780,265162.000,37092,1,EL,1,100,-18850.199219
1729244890.317280,265228.500,37109,2,EL,1,100,-18850.199219
1729244890.383779,265295.000,37109,2,EL,1,100,-18850.000000
1729244890.450779,265362.000,37125,1,EL,1,100,-18850.199219
1729244890.517279,265428.500,37141,2,EL,1,100,-18850.000000
1729244890.583778,265495.000,37141,2,EL,1,100,-18849.400391
1729244890.650778,265562.000,37157,1,EL,1,100,-18849.199219
1729244890.717278,265628.500,37174,2,EL,1,100,-18849.000000
1729244890.783777,265695.000,37174,2,EL,1,100,-18849.000000
1729244890.850777,265762.000,37191,1,EL,1,100,-18849.000000
1729244890.917277,265828.500,37206,2,EL,1,100,-18849.000000
1729244890.983776,265895.000,37206,2,EL,1,100,-18849.000000
1729244891.050776,265962.000,37222,1,EL,1,100,-18849.000000
1729244891.117276,266028.500,37242,2,EL,1,100,-18849.000000
1729244891.183775,266095.000,37242,2,EL,1,100,-18849.000000
1729244891.250775,266162.000,37258,1,EL,1,100,-18848.800781
1729244891.317275,266228.500,37273,2,EL,1,100,-18849.000000
1729244891.383774,266295.000,37273,2,EL,1,100,-18849.000000
1729244891.450774,266362.000,37289,1,EL,1,100,-18849.599609
1729244891.517274,266428.500,37307,2,EL,1,100,-18849.599609
1729244891.583773,266495.000,37307,2,EL,1,100,-18850.000000
1729244891.650773,266562.000,37323,1,EL,1,100,-18850.000000
1729244891.717273,266628.500,37339,2,EL,1,100,-18850.199219
