LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1729244888.998786,263910.000,36896,3,GX,1,100,-0.366
1729244888.998786,263910.000,36896,3,GX,1,100,-0.336
1729244888.998786,263910.000,36896,3,GX,1,100,-0.275
1729244889.038786,263950.000,36913,3,GX,1,100,-0.336
1729244889.078785,263990.000,36913,3,GX,1,100,-0.336
1729244889.118785,264030.000,36913,3,GX,1,100,-0.366
1729244889.158785,264070.000,36930,2,GX,1,100,-0.397
1729244889.198785,264110.000,36930,2,GX,1,100,-0.458
1729244889.238785,264150.000,36949,4,GX,1,100,-0.519
1729244889.278785,264190.000,36949,4,GX,1,100,-0.458
1729244889.318784,264230.000,36949,4,GX,1,100,-0.427
1729244889.358784,264270.000,36949,4,GX,1,100,-0.427
1729244889.398784,264310.000,36965,3,GX,1,100,-0.397
1729244889.438784,264350.000,36965,3,GX,1,100,-0.397
1729244889.478784,264390.000,36965,3,GX,1,100,-0.458
1729244889.518783,264430.000,36982,2,GX,1,100,-0.519
1729244889.558783,264470.000,36982,2,GX,1,100,-0.336
1729244889.598783,264510.000,36997,2,GX,1,100,-0.305
1729244889.638783,264550.000,36997,2,GX,1,100,-0.366
1729244889.683116,264594.333,37014,3,GX,1,100,-0.488
1729244889.727449,264638.667,37014,3,GX,1,100,-0.549
1729244889.771782,264683.000,37014,3,GX,1,100,-0.458
1729244889.811782,264723.000,37031,2,GX,1,100,-0.488
1729244889.851782,264763.000,37031,2,GX,1,100,-0.519
1729244889.891782,264803.000,37050,3,GX,1,100,-0.580
1729244889.931781,264843.000,37050,3,GX,1,100,-0.427
1729244889.971781,264883.000,37050,3,GX,1,100,-0.488
1729244890.011781,264923.000,37064,2,GX,1,100,-0.488
1729244890.051781,264963.000,37064,2,GX,1,100,-0.488
1729244890.091781,265003.000,37082,3,GX,1,100,-0.397
1729244890.131780,265043.000,37082,3,GX,1,100,-0.488
1729244890.171780,265083.000,37082,3,GX,1,100,-0.549
1729244890.211780,265123.000,37098,3,GX,1,100,-0.427
1729244890.251780,265163.000,37098,3,GX,1,100,-0.397
1729244890.291780,265203.000,37098,3,GX,1,100,-0.366
1729244890.331779,265243.000,37115,2,GX,1,100,-0.336
1729244890.371779,265283.000,37115,2,GX,1,100,-0.427
1729244890.411779,265323.000,37129,3,GX,1,100,-0.427
1729244890.451779,265363.000,37129,3,GX,1,100,-0.397
1729244890.491779,265403.000,37129,3,GX,1,100,-0.427
1729244890.531779,265443.000,37147,2,GX,1,100,-0.397
1729244890.571778,265483.000,37147,2,GX,1,100,-0.427
1729244890.611778,265523.000,37163,3,GX,1,100,-0.336
1729244890.651778,265563.000,37163,3,GX,1,100,-0.458
1729244890.691778,265603.000,37163,3,GX,1,100,-0.366
1729244890.731777,265643.000,37180,2,GX,1,100,-0.244
1729244890.771777,265683.000,37180,2,GX,1,100,-0.305
1729244890.811777,265723.000,37195,3,GX,1,100,-0.305
1729244890.851777,265763.000,37195,3,GX,1,100,-0.397
1729244890.891777,265803.000,37195,3,GX,1,100,-0.366
1729244890.931777,265843.000,37212,2,GX,1,100,-0.366
1729244890.971776,265883.000,37212,2,GX,1,100,-0.427
1729244891.011776,265923.000,37228,3,GX,1,100,-0.427
1729244891.051776,265963.000,37228,3,GX,1,100,-0.427
1729244891.091776,266003.000,37228,3,GX,1,100,-0.336
1729244891.131776,266043.000,37248,2,GX,1,100,-0.397
1729244891.171775,266083.000,37248,2,GX,1,100,-0.427
1729244891.211775,266123.000,37262,3,GX,1,100,-0.427
1729244891.251775,266163.000,37262,3,GX,1,100,-0.427
1729244891.291775,266203.000,37262,3,GX,1,100,-0.366
1729244891.331775,266243.000,37279,3,GX,1,100,-0.427
1729244891.371774,266283.000,37279,3,GX,1,100,-0.397
1729244891.411774,266323.000,37279,3,GX,1,100,-0.336
1729244891.451774,266363.000,37295,2,GX,1,100,-0.427
1729244891.491774,266403.000,37295,2,GX,1,100,-0.519
1729244891.531774,266443.000,37313,3,GX,1,100,-0.427
1729244891.571774,266483.000,37313,3,GX,1,100,-0.366
1729244891.611773,266523.000,37313,3,GX,1,100,-0.397
1729244891.651773,266563.000,37328,2,GX,1,100,-0.458
1729244891.691773,266603.000,37328,2,GX,1,100,-0.488
1729244891.738273,266649.500,37344,2,GX,1,100,-0.397
1729244891.784772,266696.000,37344,2,GX,1,100,-0.549
1729244891.824772,266736.000,37363,3,GX,1,100,-0.458
1729244891.864772,266776.000,37363,3,GX,1,100,-0.458
1729244891.904772,266816.000,37363,3,GX,1,100,-0.366
1729244891.944772,266856.000,37380,2,GX,1,100,-0.275
1729244891.984771,266896.000,37380,2,GX,1,100,-0.305
1729244892.024771,266936.000,37396,3,GX,1,100,-0.336
1729244892.064771,266976.000,37396,3,GX,1,100,-0.366
1729244892.104771,267016.000,37396,3,GX,1,100,-0.366
1729244892.144771,267056.000,37414,2,GX,1,100,-0.366
1729244892.184771,267096.000,37414,2,GX,1,100,-0.397
1729244892.224770,267136.000,37430,3,GX,1,100,-0.366
1729244892.264770,267176.000,37430,3,GX,1,100,-0.305
1729244892.304770,267216.000,37430,3,GX,1,100,-0.366
1729244892.344770,267256.000,37447,3,GX,1,100,-0.336
1729244892.384769,267296.000,37447,3,GX,1,100,-0.366
1729244892.424769,267336.000,37447,3,GX,1,100,-0.366
1729244892.464769,267376.000,37464,2,GX,1,100,-0.427
1729244892.504769,267416.000,37464,2,GX,1,100,-0.427
1729244892.544769,267456.000,37479,3,GX,1,100,-0.366
1729244892.584769,267496.000,37479,3,GX,1,100,-0.397
1729244892.624768,267536.000,37479,3,GX,1,100,-0.275
1729244892.664768,267576.000,37495,2,GX,1,100,-0.366
1729244892.704768,267616.000,37495,2,GX,1,100,-0.458
1729244892.745101,267656.333,37512,3,GX,1,100,-0.397
1729244892.785434,267696.667,37512,3,GX,1,100,-0.427
1729244892.825767,267737.000,37512,3,GX,1,100,-0.427
1729244892.865267,267776.500,37529,2,GX,1,100,-0.427
1729244892.904767,267816.000,37529,2,GX,1,100,-0.427
1729244892.944767,267856.000,37546,3,GX,1,100,-0.336
1729244892.984767,267896.000,37546,3,GX,1,100,-0.366
1729244893.024766,267936.000,37546,3,GX,1,100,-0.366
1729244893.064766,267976.000,37562,2,GX,1,100,-0.305
1729244893.104766,268016.000,37562,2,GX,1,100,-0.366
1729244893.144766,268056.000,37580,3,GX,1,100,-0.427
1729244893.184766,268096.000,37580,3,GX,1,100,-0.397
1729244893.224766,268136.000,37580,3,GX,1,100,-0.427
1729244893.264765,268176.000,37598,2,GX,1,100,-0.458
1729244893.304765,268216.000,37598,2,GX,1,100,-0.397
1729244893.344765,268256.000,37613,3,GX,1,100,-0.366
1729244893.384765,268296.000,37613,3,GX,1,100,-0.366
1729244893.424764,268336.000,37613,3,GX,1,100,-0.427
1729244893.464764,268376.000,37635,4,GX,1,100,-0.580
1729244893.504764,268416.000,37635,4,GX,1,100,-0.488
