LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1729244889.252785,264164,36938,1,HR,1,100,63.45
1729244889.915781,264827,37039,1,HR,1,100,69.55
1729244891.128776,266040,37236,1,HR,1,100,65.11
1729244891.888772,266800,37351,1,HR,1,100,68.42
1729244892.131771,267043,37404,1,HR,1,100,106.55
1729244892.944767,267856,37537,1,HR,1,100,99.33
1729244893.811763,268723,37674,1,HR,1,100,92.76
1729244895.077756,269989,37872,1,HR,1,100,82.73
1729244896.137751,271049,38054,1,HR,1,100,76.92
1729244896.744748,271656,38138,1,HR,1,100,81.69
1729244897.707744,272619,38303,1,HR,1,100,77.42
1729244898.993737,273905,38510,1,HR,1,100,70.64
1729244900.293731,275205,38724,1,HR,1,100,65.27
1729244901.043728,275955,38840,1,HR,1,100,68.55
1729244901.710724,276622,38955,1,HR,1,100,73.21
1729244903.000718,277912,39170,1,HR,1,100,67.36
1729244904.013713,278925,39325,1,HR,1,100,65.59
1729244904.996709,279908,39491,1,HR,1,100,64.62
1729244905.659705,280571,39592,1,HR,1,100,70.46
1729244906.909699,281821,39805,1,HR,1,100,65.47
1729244907.830695,282742,39953,1,HR,1,100,65.42
1729244908.916690,283828,40126,1,HR,1,100,63.22
1729244909.836685,284748,40275,1,HR,1,100,63.67
1729244910.532682,285444,40394,1,HR,1,100,68.84
1729244911.786676,286698,40591,1,HR,1,100,64.21
1729244912.916670,287828,40772,1,HR,1,100,61.74
1729244913.559667,288471,40874,1,HR,1,100,68.85
1729244914.449663,289361,41028,1,HR,1,100,68.71
1729244915.465658,290377,41194,1,HR,1,100,66.51
1729244915.599657,290511,41211,1,HR,1,100,154.30
1729244916.699652,291611,41394,1,HR,1,100,132.13
1729244917.638648,292550,41543,1,HR,1,100,117.10
1729244918.258644,293170,41644,1,HR,1,100,112.59
1729244919.231640,294143,41798,1,HR,1,100,101.31
1729244920.482634,295394,42012,1,HR,1,100,89.46
