LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1729244888.998786,263910.000,36900,3,MY,1,100,-3
1729244888.998786,263910.000,36900,3,MY,1,100,-4
1729244888.998786,263910.000,36900,3,MY,1,100,-3
1729244889.038786,263950.000,36917,3,MY,1,100,-3
1729244889.078785,263990.000,36917,3,MY,1,100,-2
1729244889.118785,264030.000,36917,3,MY,1,100,-2
1729244889.158785,264070.000,36934,2,MY,1,100,-3
1729244889.198785,264110.000,36934,2,MY,1,100,-2
1729244889.238785,264150.000,36953,4,MY,1,100,-2
1729244889.278785,264190.000,36953,4,MY,1,100,-3
1729244889.318784,264230.000,36953,4,MY,1,100,-2
1729244889.358784,264270.000,36953,4,MY,1,100,-2
1729244889.398784,264310.000,36969,3,MY,1,100,-2
1729244889.438784,264350.000,36969,3,MY,1,100,-2
1729244889.478784,264390.000,36969,3,MY,1,100,-3
1729244889.518783,264430.000,36986,2,MY,1,100,-2
1729244889.558783,264470.000,36986,2,MY,1,100,-3
1729244889.598783,264510.000,37001,2,MY,1,100,-2
1729244889.638783,264550.000,37001,2,MY,1,100,-2
1729244889.683116,264594.333,37018,3,MY,1,100,-3
1729244889.727449,264638.667,37018,3,MY,1,100,-4
1729244889.771782,264683.000,37018,3,MY,1,100,-2
1729244889.811782,264723.000,37035,2,MY,1,100,-2
1729244889.851782,264763.000,37035,2,MY,1,100,-3
1729244889.891782,264803.000,37054,3,MY,1,100,-4
1729244889.931781,264843.000,37054,3,MY,1,100,-3
1729244889.971781,264883.000,37054,3,MY,1,100,-3
1729244890.011781,264923.000,37068,2,MY,1,100,-4
1729244890.051781,264963.000,37068,2,MY,1,100,-2
1729244890.091781,265003.000,37086,3,MY,1,100,-3
1729244890.131780,265043.000,37086,3,MY,1,100,-3
1729244890.171780,265083.000,37086,3,MY,1,100,-3
1729244890.211780,265123.000,37102,3,MY,1,100,-3
1729244890.251780,265163.000,37102,3,MY,1,100,-2
1729244890.291780,265203.000,37102,3,MY,1,100,-3
1729244890.331779,265243.000,37119,2,MY,1,100,-3
1729244890.371779,265283.000,37119,2,MY,1,100,-3
1729244890.411779,265323.000,37133,3,MY,1,100,-2
1729244890.451779,265363.000,37133,3,MY,1,100,-3
1729244890.491779,265403.000,37133,3,MY,1,100,-3
1729244890.531779,265443.000,37151,2,MY,1,100,-3
1729244890.571778,265483.000,37151,2,MY,1,100,-2
1729244890.611778,265523.000,37167,3,MY,1,100,-2
1729244890.651778,265563.000,37167,3,MY,1,100,-2
1729244890.691778,265603.000,37167,3,MY,1,100,-2
1729244890.731777,265643.000,37184,2,MY,1,100,-2
1729244890.771777,265683.000,37184,2,MY,1,100,-3
1729244890.811777,265723.000,37199,3,MY,1,100,-3
1729244890.851777,265763.000,37199,3,MY,1,100,-2
1729244890.891777,265803.000,37199,3,MY,1,100,-3
1729244890.931777,265843.000,37216,2,MY,1,100,-1
1729244890.971776,265883.000,37216,2,MY,1,100,-2
1729244891.011776,265923.000,37232,3,MY,1,100,-3
