LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1729244889.183785,264095.000,36919,1,SF,1,100,3.9183
1729244889.517783,264429.000,36972,1,SF,1,100,3.8730
1729244889.850782,264762.000,37020,1,SF,1,100,3.8282
1729244890.183780,265095.000,37071,1,SF,1,100,3.7839
1729244890.583778,265495.000,37136,1,SF,1,100,3.7402
1729244890.850777,265762.000,37186,1,SF,1,100,3.6969
1729244891.183775,266095.000,37237,1,SF,1,100,3.6541
1729244891.583773,266495.000,37302,1,SF,1,100,3.6119
1729244891.916772,266828.000,37352,1,SF,1,100,3.5701
1729244892.183770,267095.000,37405,1,SF,1,100,3.5288
1729244892.516769,267428.000,37453,1,SF,1,100,3.4880
1729244892.916767,267828.000,37518,1,SF,1,100,3.4476
1729244893.183766,268095.000,37569,1,SF,1,100,3.4077
1729244893.583764,268495.000,37624,1,SF,1,100,3.3683
1729244893.850762,268762.000,37675,1,SF,1,100,3.3293
1729244894.183761,269095.000,37723,1,SF,1,100,3.2908
1729244894.583759,269495.000,37789,1,SF,1,100,3.2528
1729244894.916757,269828.000,37839,1,SF,1,100,3.2151
1729244895.183756,270095.000,37889,1,SF,1,100,3.1779
1729244895.516754,270428.000,37938,1,SF,1,100,3.1412
1729244895.916752,270828.000,38003,1,SF,1,100,3.1048
1729244896.183751,271095.000,38055,1,SF,1,100,3.0689
1729244896.516750,271428.000,38104,1,SF,1,100,3.0334
1729244896.849748,271761.000,38154,1,SF,1,100,2.9983
1729244897.249746,272161.000,38219,1,SF,1,100,2.9636
1729244897.516745,272428.000,38270,1,SF,1,100,2.9294
1729244897.849743,272761.000,38320,1,SF,1,100,2.8955
1729244898.249741,273161.000,38387,1,SF,1,100,2.8620
1729244898.516740,273428.000,38436,1,SF,1,100,2.8289
1729244898.916738,273828.000,38491,1,SF,1,100,2.7961
1729244899.182737,274094.000,38542,1,SF,1,100,2.7638
1729244899.515735,274427.000,38590,1,SF,1,100,2.7318
1729244899.915733,274827.000,38656,1,SF,1,100,2.7002
1729244900.249732,275161.000,38706,1,SF,1,100,2.6690
1729244900.515730,275427.000,38756,1,SF,1,100,2.6381
1729244900.849729,275761.000,38805,1,SF,1,100,2.6076
1729244901.249727,276161.000,38872,1,SF,1,100,2.5774
1729244901.515725,276427.000,38922,1,SF,1,100,2.5476
1729244901.849724,276761.000,38973,1,SF,1,100,2.5181
1729244902.182722,277094.000,39021,1,SF,1,100,2.4890
1729244902.582720,277494.000,39086,1,SF,1,100,2.4602
1729244902.849719,277761.000,39137,1,SF,1,100,2.4318
1729244903.182717,278094.000,39187,1,SF,1,100,2.4036
1729244903.582715,278494.000,39254,1,SF,1,100,2.3758
1729244903.848714,278760.000,39292,1,SF,1,100,2.3483
1729244904.248712,279160.000,39359,1,SF,1,100,2.3212
1729244904.515711,279427.000,39407,1,SF,1,100,2.2943
1729244904.848709,279760.000,39457,1,SF,1,100,2.2678
1729244905.182708,280094.000,39508,1,SF,1,100,2.2415
1729244905.582706,280494.000,39573,1,SF,1,100,2.2156
1729244905.848704,280760.000,39624,1,SF,1,100,2.1900
1729244906.181703,281093.000,39672,1,SF,1,100,2.1647
1729244906.581701,281493.000,39737,1,SF,1,100,2.1396
