LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1729244888.910786,263822.000,36886,1,T1,1,100,25.094
1729244889.043786,263955.000,36908,1,T1,1,100,25.076
1729244889.176785,264088.000,36925,1,T1,1,100,25.068
1729244889.310784,264222.000,36944,1,T1,1,100,25.065
1729244889.443784,264355.000,36960,1,T1,1,100,25.135
1729244889.576783,264488.000,36978,1,T1,1,100,25.094
1729244889.710783,264622.000,37009,1,T1,1,100,25.041
1729244889.843782,264755.000,37026,1,T1,1,100,25.124
1729244889.976781,264888.000,37045,1,T1,1,100,25.160
1729244890.110780,265022.000,37077,1,T1,1,100,25.034
1729244890.243780,265155.000,37093,1,T1,1,100,25.015
1729244890.376779,265288.000,37110,1,T1,1,100,25.042
1729244890.509778,265421.000,37142,1,T1,1,100,25.018
1729244890.643778,265555.000,37158,1,T1,1,100,25.150
1729244890.776777,265688.000,37175,1,T1,1,100,25.171
1729244890.909777,265821.000,37207,1,T1,1,100,25.145
1729244891.043776,265955.000,37223,1,T1,1,100,25.098
1729244891.176775,266088.000,37243,1,T1,1,100,25.149
1729244891.309775,266221.000,37274,1,T1,1,100,25.064
1729244891.443774,266355.000,37290,1,T1,1,100,25.063
1729244891.576773,266488.000,37308,1,T1,1,100,25.063
1729244891.709773,266621.000,37324,1,T1,1,100,25.134
1729244891.843772,266755.000,37358,1,T1,1,100,24.987
1729244891.976772,266888.000,37375,1,T1,1,100,24.994
1729244892.109771,267021.000,37391,1,T1,1,100,25.068
1729244892.243770,267155.000,37425,1,T1,1,100,25.065
1729244892.376770,267288.000,37442,1,T1,1,100,25.099
1729244892.509769,267421.000,37459,1,T1,1,100,25.078
1729244892.643768,267555.000,37490,1,T1,1,100,25.176
1729244892.776768,267688.000,37507,1,T1,1,100,25.041
1729244892.909767,267821.000,37524,1,T1,1,100,25.124
1729244893.043766,267955.000,37557,1,T1,1,100,25.125
1729244893.176766,268088.000,37575,1,T1,1,100,25.160
1729244893.309765,268221.000,37593,1,T1,1,100,25.069
1729244893.443264,268354.500,37630,2,T1,1,100,25.136
1729244893.576764,268488.000,37630,2,T1,1,100,25.201
1729244893.709763,268621.000,37661,1,T1,1,100,25.087
1729244893.842762,268754.000,37681,1,T1,1,100,25.073
1729244893.976762,268888.000,37697,1,T1,1,100,25.103
1729244894.109761,269021.000,37729,1,T1,1,100,25.080
1729244894.242761,269154.000,37746,1,T1,1,100,25.141
1729244894.376760,269288.000,37762,1,T1,1,100,25.167
1729244894.509759,269421.000,37779,1,T1,1,100,25.072
1729244894.642759,269554.000,37811,1,T1,1,100,25.067
1729244894.776758,269688.000,37827,1,T1,1,100,25.064
1729244894.909757,269821.000,37845,1,T1,1,100,25.063
1729244895.042757,269954.000,37878,1,T1,1,100,25.169
1729244895.176756,270088.000,37895,1,T1,1,100,25.144
1729244895.309755,270221.000,37912,1,T1,1,100,25.098
1729244895.442755,270354.000,37944,1,T1,1,100,25.113
1729244895.576754,270488.000,37960,1,T1,1,100,25.155
1729244895.709754,270621.000,37977,1,T1,1,100,25.245
1729244895.842753,270754.000,38009,1,T1,1,100,25.177
1729244895.976752,270888.000,38025,1,T1,1,100,25.147
1729244896.109751,271021.000,38042,1,T1,1,100,25.135
1729244896.242751,271154.000,38076,1,T1,1,100,25.129
1729244896.376750,271288.000,38092,1,T1,1,100,25.198
1729244896.509750,271421.000,38110,1,T1,1,100,25.121
1729244896.642749,271554.000,38126,1,T1,1,100,25.159
1729244896.776748,271688.000,38160,1,T1,1,100,25.069
1729244896.909748,271821.000,38177,1,T1,1,100,25.136
1729244897.042747,271954.000,38193,1,T1,1,100,25.165
1729244897.175746,272087.000,38225,1,T1,1,100,25.142
1729244897.309746,272221.000,38242,1,T1,1,100,25.062
1729244897.442745,272354.000,38258,1,T1,1,100,25.062
1729244897.575744,272487.000,38290,1,T1,1,100,25.098
1729244897.709744,272621.000,38309,1,T1,1,100,25.149
1729244897.842743,272754.000,38326,1,T1,1,100,25.100
1729244897.975743,272887.000,38357,1,T1,1,100,25.185
1729244898.109742,273021.000,38374,1,T1,1,100,25.222
1729244898.242741,273154.000,38393,1,T1,1,100,25.061
1729244898.375741,273287.000,38424,1,T1,1,100,25.097
1729244898.509740,273421.000,38442,1,T1,1,100,25.148
1729244898.642739,273554.000,38463,1,T1,1,100,25.171
1729244898.775739,273687.000,38480,1,T1,1,100,25.109
1729244898.909738,273821.000,38497,1,T1,1,100,25.154
1729244899.042737,273954.000,38530,1,T1,1,100,25.173
1729244899.175737,274087.000,38548,1,T1,1,100,25.110
1729244899.309736,274221.000,38564,1,T1,1,100,25.083
1729244899.442735,274354.000,38596,1,T1,1,100,25.142
1729244899.575735,274487.000,38613,1,T1,1,100,25.133
1729244899.709734,274621.000,38629,1,T1,1,100,25.093
1729244899.842733,274754.000,38646,1,T1,1,100,25.147
1729244899.975733,274887.000,38678,1,T1,1,100,25.170
1729244900.109732,275021.000,38694,1,T1,1,100,25.180
1729244900.242732,275154.000,38712,1,T1,1,100,25.291
1729244900.375731,275287.000,38745,1,T1,1,100,25.232
1729244900.508730,275420.000,38762,1,T1,1,100,25.207
1729244900.642730,275554.000,38779,1,T1,1,100,25.160
1729244900.775729,275687.000,38811,1,T1,1,100,25.140
