RD,TS_received,TS_sent,AK,RoundTrip,
268406,268412,2024-10-18_12-48-13-497764,268416,6,
273531,273541,2024-10-18_12-48-18-623864,273543,10,
278670,278676,2024-10-18_12-48-23-761764,278677,6,
283801,283810,2024-10-18_12-48-28-894628,283811,9,
288935,288944,2024-10-18_12-48-34-028557,288949,9,
294073,294083,2024-10-18_12-48-39-168546,294086,10,
299180,299190,2024-10-18_12-48-44-275156,299192,10,
304322,304334,2024-10-18_12-48-49-416074,304336,12,
309460,309471,2024-10-18_12-48-54-555218,309472,11,
314601,314620,2024-10-18_12-48-59-705808,314622,19,
319734,319741,2024-10-18_12-49-04-826492,319746,7,
324867,324880,2024-10-18_12-49-09-965760,324883,13,
329975,329985,2024-10-18_12-49-15-068069,329986,10,
335106,335118,2024-10-18_12-49-20-200902,335120,12,
340241,340251,2024-10-18_12-49-25-335936,340252,10,
345362,345372,2024-10-18_12-49-30-457355,345373,10,
350506,350516,2024-10-18_12-49-35-598432,350517,10,
355639,355649,2024-10-18_12-49-40-730740,355650,10,
360748,360755,2024-10-18_12-49-45-840421,360757,7,
365893,365901,2024-10-18_12-49-50-985503,365903,8,
371013,371021,2024-10-18_12-49-56-105846,371022,8,
376143,376154,2024-10-18_12-50-01-238468,376155,11,
381274,381287,2024-10-18_12-50-06-369901,381288,13,
386414,386422,2024-10-18_12-50-11-507438,386424,8,
391545,391553,2024-10-18_12-50-16-638653,391554,8,
396678,396685,2024-10-18_12-50-21-769644,396686,7,
401811,401825,2024-10-18_12-50-26-905970,401827,14,
406949,406957,2024-10-18_12-50-32-042343,406958,8,
412084,412096,2024-10-18_12-50-37-176062,412098,12,
417209,417223,2024-10-18_12-50-42-308754,417224,14,
422341,422350,2024-10-18_12-50-47-434541,422351,9,
427474,427483,2024-10-18_12-50-52-568688,427484,9,
