LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1713793798.154414,300592.000,46878,2,EA,1,100,0.030223
1713793798.154414,300592.000,46878,2,EA,1,100,0.030223
1713793798.220415,300658.000,46895,1,EA,1,100,0.030223
1713793798.287416,300725.000,46910,2,EA,1,100,0.030223
1713793798.354417,300792.000,46910,2,EA,1,100,0.030223
1713793798.420418,300858.000,46927,1,EA,1,100,0.030223
1713793798.487419,300925.000,46943,2,EA,1,100,0.030223
1713793798.554420,300992.000,46943,2,EA,1,100,0.030223
1713793798.620421,301058.000,46961,1,EA,1,100,0.030223
1713793798.687422,301125.000,46975,2,EA,1,100,0.030223
1713793798.754423,301192.000,46975,2,EA,1,100,0.030223
1713793798.820424,301258.000,46992,1,EA,1,100,0.030223
1713793798.887424,301325.000,47009,2,EA,1,100,0.030223
1713793798.954426,301392.000,47009,2,EA,1,100,0.030223
1713793799.020427,301458.000,47028,1,EA,1,100,0.030223
1713793799.087428,301525.000,47047,2,EA,1,100,0.030223
1713793799.154428,301592.000,47047,2,EA,1,100,0.030223
1713793799.220930,301658.500,47065,2,EA,1,100,0.030223
1713793799.287431,301725.000,47065,2,EA,1,100,0.030223
1713793799.354431,301792.000,47080,1,EA,1,100,0.030223
1713793799.420933,301858.500,47097,2,EA,1,100,0.030223
1713793799.487433,301925.000,47097,2,EA,1,100,0.030223
1713793799.553934,301991.500,47114,2,EA,1,100,0.030223
1713793799.620435,302058.000,47114,2,EA,1,100,0.030223
1713793799.687436,302125.000,47131,1,EA,1,100,0.030223
1713793799.753937,302191.500,47145,2,EA,1,100,0.030223
1713793799.820438,302258.000,47145,2,EA,1,100,0.030223
1713793799.887439,302325.000,47162,1,EA,1,100,0.030223
1713793799.953940,302391.500,47179,2,EA,1,100,0.030223
1713793800.020441,302458.000,47179,2,EA,1,100,0.030223
1713793800.087442,302525.000,47196,1,EA,1,100,0.030223
1713793800.153943,302591.500,47210,2,EA,1,100,0.030223
1713793800.220444,302658.000,47210,2,EA,1,100,0.030223
1713793800.287445,302725.000,47228,1,EA,1,100,0.030223
1713793800.353946,302791.500,47244,2,EA,1,100,0.030223
1713793800.420447,302858.000,47244,2,EA,1,100,0.030223
1713793800.487448,302925.000,47261,1,EA,1,100,0.030223
1713793800.553949,302991.500,47276,2,EA,1,100,0.030223
1713793800.620450,303058.000,47276,2,EA,1,100,0.030223
1713793800.687451,303125.000,47293,1,EA,1,100,0.030223
1713793800.753952,303191.500,47309,2,EA,1,100,0.030223
1713793800.820453,303258.000,47309,2,EA,1,100,0.030223
1713793800.887454,303325.000,47326,1,EA,1,100,0.030223
1713793800.953955,303391.500,47341,2,EA,1,100,0.030223
1713793801.020456,303458.000,47341,2,EA,1,100,0.030223
1713793801.087457,303525.000,47360,1,EA,1,100,0.030223
1713793801.153958,303591.500,47376,2,EA,1,100,0.030223
1713793801.220459,303658.000,47376,2,EA,1,100,0.030223
1713793801.287460,303725.000,47394,1,EA,1,100,0.030223
1713793801.353961,303791.500,47409,2,EA,1,100,0.030223
1713793801.420462,303858.000,47409,2,EA,1,100,0.030223
