LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1713793799.112428,301550.000,47041,2,RD,1,100,TL
1713793799.112428,301550.000,47041,2,RD,1,100,TU
1713793801.667966,304105.500,47877,2,RD,1,100,TL
1713793804.223504,306661.000,47877,2,RD,1,100,TU
1713793806.786542,309224.000,48709,2,RD,1,100,TL
1713793809.349580,311787.000,48709,2,RD,1,100,TU
1713793811.902617,314340.000,49503,2,RD,1,100,TL
1713793814.455655,316893.000,49503,2,RD,1,100,TU
1713793817.009693,319447.000,50318,2,RD,1,100,TL
1713793819.563731,322001.000,50318,2,RD,1,100,TU
1713793822.123769,324561.000,51130,2,RD,1,100,TL
1713793824.683807,327121.000,51130,2,RD,1,100,TU
1713793827.238845,329676.000,51908,2,RD,1,100,TL
1713793829.793882,332231.000,51908,2,RD,1,100,TU
1713793832.350920,334788.000,52733,2,RD,1,100,TL
1713793834.907958,337345.000,52733,2,RD,1,100,TU
1713793837.473496,339910.500,53557,2,RD,1,100,TL
1713793840.039034,342476.000,53557,2,RD,1,100,TU
1713793842.596072,345033.000,54381,2,RD,1,100,TL
1713793845.153110,347590.000,54381,2,RD,1,100,TU
1713793847.706648,350143.500,55175,2,RD,1,100,TL
1713793850.260185,352697.000,55175,2,RD,1,100,TU
1713793852.813723,355250.500,55987,2,RD,1,100,TL
1713793855.367261,357804.000,55987,2,RD,1,100,TU
1713793857.921299,360358.000,56796,2,RD,1,100,TL
1713793860.475337,362912.000,56796,2,RD,1,100,TU
1713793863.030375,365467.000,57562,2,RD,1,100,TL
1713793865.585413,368022.000,57562,2,RD,1,100,TU
1713793868.141951,370578.500,58386,2,RD,1,100,TL
1713793870.698488,373135.000,58386,2,RD,1,100,TU
1713793873.258526,375695.000,59215,2,RD,1,100,TL
1713793875.818564,378255.000,59215,2,RD,1,100,TU
1713793878.378102,380814.500,60038,2,RD,1,100,TL
1713793880.937640,383374.000,60038,2,RD,1,100,TU
1713793883.491678,385928.000,60847,2,RD,1,100,TL
1713793886.045716,388482.000,60847,2,RD,1,100,TU
1713793888.605254,391041.500,61670,2,RD,1,100,TL
1713793891.164792,393601.000,61670,2,RD,1,100,TU
1713793893.727329,396163.500,62493,2,RD,1,100,TL
1713793896.289867,398726.000,62493,2,RD,1,100,TU
1713793898.847905,401284.000,63319,2,RD,1,100,TL
1713793901.405943,403842.000,63319,2,RD,1,100,TU
1713793903.959981,406396.000,64146,2,RD,1,100,TL
1713793906.514019,408950.000,64146,2,RD,1,100,TU
1713793909.072557,411508.500,64969,2,RD,1,100,TL
1713793911.631095,414067.000,64969,2,RD,1,100,TU
1713793914.186633,416622.500,258,2,RD,1,100,TL
1713793916.742171,419178.000,258,2,RD,1,100,TU
1713793919.297708,421733.500,1085,2,RD,1,100,TL
1713793921.853246,424289.000,1085,2,RD,1,100,TU
1713793924.407284,426843.000,1913,2,RD,1,100,TL
1713793926.961322,429397.000,1913,2,RD,1,100,TU
1713793929.523360,431959.000,2763,2,RD,1,100,TL
1713793932.085398,434521.000,2763,2,RD,1,100,TU
1713793934.638936,437074.500,3608,2,RD,1,100,TL
1713793937.192473,439628.000,3608,2,RD,1,100,TU
1713793939.748011,442183.500,4463,2,RD,1,100,TL
1713793942.303549,444739.000,4463,2,RD,1,100,TU
1713793944.864087,447299.500,5317,2,RD,1,100,TL
1713793947.424625,449860.000,5317,2,RD,1,100,TU
1713793949.978163,452413.500,6163,2,RD,1,100,TL
1713793952.531701,454967.000,6163,2,RD,1,100,TU
1713793955.085738,457521.000,7002,2,RD,1,100,TL
1713793957.639776,460075.000,7002,2,RD,1,100,TU
1713793960.204814,462640.000,7858,2,RD,1,100,TL
1713793962.769852,465205.000,7858,2,RD,1,100,TU
1713793965.323890,467759.000,8705,2,RD,1,100,TL
1713793967.877928,470313.000,8705,2,RD,1,100,TU
1713793970.431966,472867.000,9548,2,RD,1,100,TL
1713793972.986004,475421.000,9548,2,RD,1,100,TU
1713793975.544042,477979.000,10416,2,RD,1,100,TL
1713793978.102079,480537.000,10416,2,RD,1,100,TU
1713793980.656117,483091.000,11256,2,RD,1,100,TL
1713793983.210155,485645.000,11256,2,RD,1,100,TU
1713793985.779693,488214.500,12122,2,RD,1,100,TL
1713793988.349231,490784.000,12122,2,RD,1,100,TU
1713793990.907269,493342.000,12967,2,RD,1,100,TL
1713793993.465307,495900.000,12967,2,RD,1,100,TU
