LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1713793799.110428,301548.000,47039,1,TL,1,100,2024-04-22_16-49-54-130053
1713793799.118428,301556.000,47042,1,TL,1,100,2024-04-22_16-49-59-115428
1713793804.218503,306656.000,47875,1,TL,1,100,2024-04-22_16-49-59-247454
1713793804.231504,306669.000,47878,1,TL,1,100,2024-04-22_16-50-04-228216
1713793809.347579,311785.000,48707,1,TL,1,100,2024-04-22_16-50-04-361233
1713793809.357580,311795.000,48710,1,TL,1,100,2024-04-22_16-50-09-354591
1713793814.453655,316891.000,49501,1,TL,1,100,2024-04-22_16-50-09-480553
1713793814.462655,316900.000,49504,1,TL,1,100,2024-04-22_16-50-14-460419
1713793819.561731,321999.000,50316,1,TL,1,100,2024-04-22_16-50-14-594414
1713793819.570731,322008.000,50319,1,TL,1,100,2024-04-22_16-50-19-567841
1713793824.681807,327119.000,51128,1,TL,1,100,2024-04-22_16-50-19-697946
1713793824.695807,327133.000,51131,1,TL,1,100,2024-04-22_16-50-24-691061
1713793829.789882,332227.000,51906,1,TL,1,100,2024-04-22_16-50-24-818111
1713793829.800883,332238.000,51909,1,TL,1,100,2024-04-22_16-50-29-797969
1713793834.905958,337343.000,52731,1,TL,1,100,2024-04-22_16-50-29-926023
1713793834.914958,337352.000,52734,1,TL,1,100,2024-04-22_16-50-34-911953
1713793840.037034,342474.000,53555,1,TL,1,100,2024-04-22_16-50-35-042014
1713793840.047034,342484.000,53558,1,TL,1,100,2024-04-22_16-50-40-043622
1713793845.147110,347584.000,54379,1,TL,1,100,2024-04-22_16-50-40-174668
1713793845.160110,347597.000,54382,1,TL,1,100,2024-04-22_16-50-45-157914
1713793850.255186,352692.000,55173,1,TL,1,100,2024-04-22_16-50-45-285907
1713793850.272186,352709.000,55176,1,TL,1,100,2024-04-22_16-50-50-268509
1713793855.366261,357803.000,55985,1,TL,1,100,2024-04-22_16-50-50-402519
1713793855.378261,357815.000,55988,1,TL,1,100,2024-04-22_16-50-55-372071
1713793860.473337,362910.000,56794,1,TL,1,100,2024-04-22_16-50-55-503064
1713793860.485337,362922.000,56797,1,TL,1,100,2024-04-22_16-51-00-479779
1713793865.583413,368020.000,57560,1,TL,1,100,2024-04-22_16-51-00-610785
1713793865.594413,368031.000,57563,1,TL,1,100,2024-04-22_16-51-05-591201
1713793870.696488,373133.000,58384,1,TL,1,100,2024-04-22_16-51-05-718208
1713793870.750489,373187.000,58387,1,TL,1,100,2024-04-22_16-51-10-745559
1713793875.812564,378249.000,59213,1,TL,1,100,2024-04-22_16-51-10-835579
1713793875.825564,378262.000,59216,1,TL,1,100,2024-04-22_16-51-15-822337
1713793880.935640,383372.000,60036,1,TL,1,100,2024-04-22_16-51-15-950407
1713793880.945640,383382.000,60039,1,TL,1,100,2024-04-22_16-51-20-942771
1713793886.043716,388480.000,60845,1,TL,1,100,2024-04-22_16-51-21-068857
1713793886.055716,388492.000,60848,1,TL,1,100,2024-04-22_16-51-26-049737
1713793891.162791,393599.000,61668,1,TL,1,100,2024-04-22_16-51-26-183741
1713793891.175792,393612.000,61671,1,TL,1,100,2024-04-22_16-51-31-169788
1713793896.282867,398719.000,62491,1,TL,1,100,2024-04-22_16-51-31-296834
1713793896.299868,398736.000,62494,1,TL,1,100,2024-04-22_16-51-36-296915
1713793901.403943,403840.000,63317,1,TL,1,100,2024-04-22_16-51-36-433357
1713793901.414943,403851.000,63320,1,TL,1,100,2024-04-22_16-51-41-410371
1713793906.512019,408948.000,64144,1,TL,1,100,2024-04-22_16-51-41-536351
1713793906.521019,408957.000,64147,1,TL,1,100,2024-04-22_16-51-46-517063
1713793911.629095,414065.000,64967,1,TL,1,100,2024-04-22_16-51-46-645198
1713793911.641095,414077.000,64970,1,TL,1,100,2024-04-22_16-51-51-636649
