LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1716209198.812079,211579.000,32936,1,B%,1,100,33
1716209203.812137,216579.000,33767,1,B%,1,100,34
1716209208.811195,221578.000,34583,1,B%,1,100,33
1716209213.811254,226578.000,35385,1,B%,1,100,33
1716209218.810312,231577.000,36201,1,B%,1,100,33
1716209223.810371,236577.000,37026,1,B%,1,100,33
1716209228.809429,241576.000,37861,1,B%,1,100,34
1716209233.809487,246576.000,38668,1,B%,1,100,32
1716209238.808546,251575.000,39499,1,B%,1,100,32
1716209243.808604,256575.000,40334,1,B%,1,100,33
1716209248.807663,261574.000,41154,1,B%,1,100,31
1716209253.807721,266574.000,41984,1,B%,1,100,32
1716209258.806779,271573.000,42802,1,B%,1,100,33
1716209263.806838,276573.000,43632,1,B%,1,100,33
1716209268.805896,281572.000,44467,1,B%,1,100,32
1716209273.805955,286572.000,45284,1,B%,1,100,32
1716209278.805013,291571.000,46109,1,B%,1,100,32
1716209283.805072,296571.000,46939,1,B%,1,100,32
1716209288.804130,301570.000,47756,1,B%,1,100,31
1716209293.804188,306570.000,48587,1,B%,1,100,32
1716209298.803247,311569.000,49424,1,B%,1,100,32
1716209303.803305,316569.000,50234,1,B%,1,100,32
1716209308.802364,321568.000,51054,1,B%,1,100,32
1716209313.802422,326568.000,51887,1,B%,1,100,33
1716209318.801480,331567.000,52724,1,B%,1,100,32
1716209323.801539,336567.000,53547,1,B%,1,100,32
1716209328.800597,341566.000,54387,1,B%,1,100,31
1716209333.800656,346566.000,55223,1,B%,1,100,31
1716209338.799714,351565.000,56043,1,B%,1,100,31
1716209343.799773,356565.000,56865,1,B%,1,100,31
1716209348.798831,361564.000,57700,1,B%,1,100,31
1716209353.798889,366564.000,58541,1,B%,1,100,30
1716209358.797948,371563.000,59376,1,B%,1,100,31
1716209363.798006,376563.000,60185,1,B%,1,100,31
1716209368.797064,381562.000,61013,1,B%,1,100,30
1716209373.797123,386562.000,61838,1,B%,1,100,31
1716209378.796181,391561.000,62635,1,B%,1,100,31
1716209383.796240,396561.000,63376,1,B%,1,100,31
1716209388.795298,401560.000,64194,1,B%,1,100,31
1716209393.795357,406560.000,65033,1,B%,1,100,31
1716209398.794415,411559.000,325,1,B%,1,100,31
1716209403.794473,416559.000,1128,1,B%,1,100,30
1716209408.794532,421559.000,1960,1,B%,1,100,30
1716209413.793590,426558.000,2759,1,B%,1,100,31
1716209418.792649,431557.000,3532,1,B%,1,100,31
1716209423.792707,436557.000,4357,1,B%,1,100,31
1716209428.791765,441556.000,5190,1,B%,1,100,31
1716209433.791824,446556.000,6024,1,B%,1,100,30
1716209438.790882,451555.000,6856,1,B%,1,100,30
1716209443.790941,456555.000,7685,1,B%,1,100,31
1716209448.789999,461554.000,8517,1,B%,1,100,31
1716209453.790057,466554.000,9340,1,B%,1,100,31
1716209458.789116,471553.000,10171,1,B%,1,100,30
1716209463.789174,476553.000,11002,1,B%,1,100,30
1716209468.788233,481552.000,11826,1,B%,1,100,29
1716209473.788291,486552.000,12645,1,B%,1,100,30
1716209478.787349,491551.000,13442,1,B%,1,100,31
1716209483.787408,496551.000,14278,1,B%,1,100,30
1716209488.786466,501550.000,15107,1,B%,1,100,30
1716209493.786525,506550.000,15929,1,B%,1,100,30
1716209498.785583,511549.000,16744,1,B%,1,100,31
1716209503.785641,516549.000,17590,1,B%,1,100,30
1716209508.784700,521548.000,18415,1,B%,1,100,30
1716209513.784758,526548.000,19245,1,B%,1,100,30
1716209518.783817,531547.000,20078,1,B%,1,100,30
1716209523.783875,536547.000,20905,1,B%,1,100,30
1716209528.782933,541546.000,21727,1,B%,1,100,29
1716209533.782992,546546.000,22552,1,B%,1,100,30
1716209538.782050,551545.000,23388,1,B%,1,100,30
1716209543.782109,556545.000,24224,1,B%,1,100,29
1716209548.781167,561544.000,25078,1,B%,1,100,30
1716209553.781225,566544.000,25898,1,B%,1,100,29
1716209558.781284,571544.000,26733,1,B%,1,100,29
