LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1716209195.047035,207814.000,32295,2,EL,1,100,2763.800049
1716209195.047035,207814.000,32295,2,EL,1,100,2765.399902
1716209195.113035,207880.000,32312,1,EL,1,100,2763.199951
1716209195.180036,207947.000,32329,2,EL,1,100,2759.199951
1716209195.247037,208014.000,32329,2,EL,1,100,2756.199951
1716209195.313038,208080.000,32346,1,EL,1,100,2755.600098
1716209195.380038,208147.000,32360,2,EL,1,100,2754.600098
1716209195.447039,208214.000,32360,2,EL,1,100,2752.399902
1716209195.513040,208280.000,32378,1,EL,1,100,2747.800049
1716209195.580041,208347.000,32394,2,EL,1,100,2743.000000
1716209195.647042,208414.000,32394,2,EL,1,100,2740.800049
1716209195.713042,208480.000,32413,1,EL,1,100,2743.399902
1716209195.779543,208546.500,32430,2,EL,1,100,2740.000000
1716209195.846044,208613.000,32430,2,EL,1,100,2737.199951
1716209195.913045,208680.000,32447,1,EL,1,100,2734.399902
1716209195.980046,208747.000,32463,2,EL,1,100,2728.000000
1716209196.047046,208814.000,32463,2,EL,1,100,2723.399902
1716209196.113047,208880.000,32480,1,EL,1,100,2720.199951
1716209196.179548,208946.500,32496,2,EL,1,100,2717.000000
1716209196.246049,209013.000,32496,2,EL,1,100,2714.199951
1716209196.313049,209080.000,32514,2,EL,1,100,2713.199951
1716209196.380050,209147.000,32514,2,EL,1,100,2710.199951
1716209196.446051,209213.000,32530,1,EL,1,100,2705.600098
1716209196.513052,209280.000,32550,2,EL,1,100,2704.199951
1716209196.580053,209347.000,32550,2,EL,1,100,2702.399902
1716209196.646053,209413.000,32566,1,EL,1,100,2701.000000
1716209196.713054,209480.000,32583,2,EL,1,100,2697.600098
1716209196.780055,209547.000,32583,2,EL,1,100,2694.800049
1716209196.846056,209613.000,32600,1,EL,1,100,2692.800049
1716209196.913056,209680.000,32617,2,EL,1,100,2689.000000
1716209196.980057,209747.000,32617,2,EL,1,100,2685.399902
1716209197.046058,209813.000,32633,1,EL,1,100,2682.199951
1716209197.113059,209880.000,32649,2,EL,1,100,2677.399902
1716209197.180059,209947.000,32649,2,EL,1,100,2673.600098
