LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1716209194.955034,207722.000,32279,4,PI,1,100,137843
1716209194.955034,207722.000,32279,4,PI,1,100,137854
1716209194.955034,207722.000,32279,4,PI,1,100,137841
1716209194.955034,207722.000,32279,4,PI,1,100,137835
1716209194.965634,207732.600,32291,10,PI,1,100,137874
1716209194.976234,207743.200,32291,10,PI,1,100,137856
1716209194.986834,207753.800,32291,10,PI,1,100,137858
1716209194.997434,207764.400,32291,10,PI,1,100,137863
1716209195.008034,207775.000,32291,10,PI,1,100,137856
1716209195.018634,207785.600,32291,10,PI,1,100,137856
1716209195.029234,207796.200,32291,10,PI,1,100,137838
1716209195.039834,207806.800,32291,10,PI,1,100,137868
1716209195.050435,207817.400,32291,10,PI,1,100,137872
1716209195.061035,207828.000,32291,10,PI,1,100,137864
1716209195.070435,207837.400,32308,10,PI,1,100,137864
1716209195.079835,207846.800,32308,10,PI,1,100,137888
1716209195.089235,207856.200,32308,10,PI,1,100,137898
1716209195.098635,207865.600,32308,10,PI,1,100,137885
1716209195.108035,207875.000,32308,10,PI,1,100,137902
1716209195.117435,207884.400,32308,10,PI,1,100,137917
1716209195.126836,207893.800,32308,10,PI,1,100,137885
1716209195.136236,207903.200,32308,10,PI,1,100,137881
1716209195.145636,207912.600,32308,10,PI,1,100,137921
1716209195.155036,207922.000,32308,10,PI,1,100,137903
1716209195.165636,207932.600,32325,10,PI,1,100,137905
1716209195.176236,207943.200,32325,10,PI,1,100,137918
1716209195.186836,207953.800,32325,10,PI,1,100,137899
1716209195.197436,207964.400,32325,10,PI,1,100,137904
1716209195.208036,207975.000,32325,10,PI,1,100,137929
1716209195.218637,207985.600,32325,10,PI,1,100,137909
1716209195.229237,207996.200,32325,10,PI,1,100,137948
1716209195.239837,208006.800,32325,10,PI,1,100,137954
1716209195.250437,208017.400,32325,10,PI,1,100,137937
1716209195.261037,208028.000,32325,10,PI,1,100,137926
1716209195.270437,208037.400,32342,10,PI,1,100,137911
1716209195.279837,208046.800,32342,10,PI,1,100,137939
1716209195.289237,208056.200,32342,10,PI,1,100,137960
1716209195.298638,208065.600,32342,10,PI,1,100,138006
1716209195.308038,208075.000,32342,10,PI,1,100,137969
1716209195.317438,208084.400,32342,10,PI,1,100,138009
