LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1716209195.581041,208348,32408,1,SR,1,100,0.066667
1716209195.913045,208680,32509,1,SR,1,100,0.333333
1716209196.380050,209147,32544,1,SR,1,100,0.066667
1716209196.846056,209613,32711,1,SR,1,100,0.666667
1716209198.180071,210947,32859,1,SR,1,100,0.200000
1716209198.513075,211280,32917,1,SR,1,100,0.200000
1716209199.246084,212013,33036,1,SR,1,100,0.200000
1716209199.713089,212480,33121,1,SR,1,100,0.266667
1716209200.513098,213280,33255,1,SR,1,100,0.266667
1716209200.913103,213680,33291,1,SR,1,100,0.066667
1716209201.113106,213880,33341,1,SR,1,100,0.200000
1716209201.446109,214213,33495,1,SR,1,100,0.733333
1716209202.713124,215480,33627,1,SR,1,100,0.266667
1716209203.512134,216279,33769,1,SR,1,100,0.400000
1716209204.579146,217346,33918,1,SR,1,100,0.266667
1716209205.646158,218413,34100,1,SR,1,100,0.266667
1716209206.046163,218813,34199,1,SR,1,100,0.466667
1716209206.646170,219413,34266,1,SR,1,100,0.266667
1716209207.045175,219812,34302,1,SR,1,100,0.133333
1716209209.645205,222412,34773,1,SR,1,100,0.400000
1716209210.712218,223479,34954,1,SR,1,100,0.400000
1716209211.778230,224545,35070,1,SR,1,100,0.066667
1716209212.245235,225012,35301,1,SR,1,100,1.066667
1716209213.579251,226346,35427,1,SR,1,100,0.600000
1716209214.311260,227078,35479,1,SR,1,100,0.133333
1716209214.711264,227478,35529,1,SR,1,100,0.066667
1716209214.911267,227678,35580,1,SR,1,100,0.133333
1716209215.445273,228212,35664,1,SR,1,100,0.066667
1716209215.779277,228546,35748,1,SR,1,100,0.333333
1716209216.244282,229011,35816,1,SR,1,100,0.266667
1716209216.778289,229545,35883,1,SR,1,100,0.066667
1716209217.112292,229879,35982,1,SR,1,100,0.400000
1716209217.644299,230411,36033,1,SR,1,100,0.133333
1716209217.912302,230679,36084,1,SR,1,100,0.133333
1716209218.312306,231079,36134,1,SR,1,100,0.066667
1716209218.511309,231278,36221,1,SR,1,100,0.400000
1716209219.711323,232478,36360,1,SR,1,100,0.066667
1716209219.911325,232678,36428,1,SR,1,100,0.266667
1716209220.711334,233478,36543,1,SR,1,100,0.200000
1716209221.311342,234078,36644,1,SR,1,100,0.200000
1716209222.045350,234812,36760,1,SR,1,100,0.133333
1716209222.444355,235211,36892,1,SR,1,100,0.600000
1716209223.444366,236211,36976,1,SR,1,100,0.066667
1716209223.778370,236545,37076,1,SR,1,100,0.333333
1716209224.377377,237144,37170,1,SR,1,100,0.333333
1716209224.977384,237744,37252,1,SR,1,100,0.200000
1716209225.843394,238610,37370,1,SR,1,100,0.133333
1716209226.377401,239144,37469,1,SR,1,100,0.133333
1716209226.643404,239410,37504,1,SR,1,100,0.066667
1716209226.977408,239744,37588,1,SR,1,100,0.266667
1716209227.378412,240145,37621,1,SR,1,100,0.066667
1716209227.710416,240477,37689,1,SR,1,100,0.133333
1716209227.977419,240744,37724,1,SR,1,100,0.066667
1716209228.177422,240944,37758,1,SR,1,100,0.066667
1716209228.377424,241144,37825,1,SR,1,100,0.266667
1716209228.777429,241544,37894,1,SR,1,100,0.333333
