RD,TS_received,TS_sent,AK,RoundTrip,
211433,211443,2024-05-20_15-46-38-671002,211444,10,
216562,216569,2024-05-20_15-46-43-798637,216570,7,
221698,221748,2024-05-20_15-46-48-934756,221749,50,
226807,226815,2024-05-20_15-46-54-044974,226816,8,
231937,231948,2024-05-20_15-46-59-173551,231949,11,
237080,237113,2024-05-20_15-47-04-343053,237115,33,
242205,242235,2024-05-20_15-47-09-464460,242239,30,
247331,247355,2024-05-20_15-47-14-584446,247359,24,
252461,252473,2024-05-20_15-47-19-702449,252474,12,
257577,257599,2024-05-20_15-47-24-826294,257600,22,
262708,262718,2024-05-20_15-47-29-944928,262719,10,
267824,267837,2024-05-20_15-47-35-064542,267838,13,
272959,272970,2024-05-20_15-47-40-196482,272971,11,
278104,278111,2024-05-20_15-47-45-341624,278116,7,
283236,283243,2024-05-20_15-47-50-472774,283244,7,
288371,288416,2024-05-20_15-47-55-643461,288421,45,
293494,293532,2024-05-20_15-48-00-762952,293534,38,
298637,298655,2024-05-20_15-48-05-885943,298660,18,
303767,303775,2024-05-20_15-48-11-006011,303781,8,
308908,308917,2024-05-20_15-48-16-146612,308918,9,
314019,314032,2024-05-20_15-48-21-262238,314034,13,
319152,319159,2024-05-20_15-48-26-389948,319160,7,
324260,324272,2024-05-20_15-48-31-500358,324274,12,
329407,329417,2024-05-20_15-48-36-645903,329419,10,
334533,334545,2024-05-20_15-48-41-775843,334550,12,
339671,339714,2024-05-20_15-48-46-943883,339715,43,
344798,344834,2024-05-20_15-48-52-064497,344835,36,
349928,349956,2024-05-20_15-48-57-187631,349958,28,
355036,355076,2024-05-20_15-49-02-306713,355081,40,
360166,360221,2024-05-20_15-49-07-451402,360223,55,
365285,365316,2024-05-20_15-49-12-547405,365320,31,
370415,370439,2024-05-20_15-49-17-667903,370441,24,
375548,375560,2024-05-20_15-49-22-792089,375562,12,
380683,380692,2024-05-20_15-49-27-920268,380693,9,
385812,385819,2024-05-20_15-49-33-050357,385820,7,
390926,390934,2024-05-20_15-49-38-165441,390939,8,
396100,396145,2024-05-20_15-49-43-373767,396146,45,
401246,401262,2024-05-20_15-49-48-491887,401265,16,
406391,406399,2024-05-20_15-49-53-631046,406405,8,
411521,411530,2024-05-20_15-49-58-760501,411532,9,
416631,416643,2024-05-20_15-50-03-874424,416644,12,
421742,421756,2024-05-20_15-50-08-983986,421757,14,
426850,426862,2024-05-20_15-50-14-094392,426863,12,
431957,431981,2024-05-20_15-50-19-212389,431983,24,
437069,437100,2024-05-20_15-50-24-328321,437101,31,
442173,442215,2024-05-20_15-50-29-447070,442220,42,
447301,447340,2024-05-20_15-50-34-569736,447342,39,
452412,452459,2024-05-20_15-50-39-691224,452460,47,
457520,457528,2024-05-20_15-50-44-760525,457529,8,
462666,462697,2024-05-20_15-50-49-928168,462699,31,
467770,467818,2024-05-20_15-50-55-048430,467819,48,
472879,472889,2024-05-20_15-51-00-121414,472890,10,
478032,478109,2024-05-20_15-51-05-339569,478111,77,
483140,483177,2024-05-20_15-51-10-408892,483178,37,
488249,488297,2024-05-20_15-51-15-529448,488299,48,
493357,493367,2024-05-20_15-51-20-599825,493368,10,
498468,498475,2024-05-20_15-51-25-708589,498479,7,
503616,503658,2024-05-20_15-51-30-890688,503659,42,
508722,508728,2024-05-20_15-51-35-961550,508734,6,
513831,513840,2024-05-20_15-51-41-071780,513841,9,
518938,518946,2024-05-20_15-51-46-178107,518947,8,
524046,524054,2024-05-20_15-51-51-287075,524055,8,
529205,529211,2024-05-20_15-51-56-444422,529212,6,
534313,534324,2024-05-20_15-52-01-557705,534325,11,
539424,539432,2024-05-20_15-52-06-665805,539437,8,
544533,544543,2024-05-20_15-52-11-774711,544544,10,
549642,549651,2024-05-20_15-52-16-884754,549652,9,
554776,554789,2024-05-20_15-52-22-017624,554791,13,
559887,559894,2024-05-20_15-52-27-127825,559895,7,
565035,565043,2024-05-20_15-52-32-276907,565048,8,
570143,570154,2024-05-20_15-52-37-385070,570155,11,
