Address: /EmotiBit/0/EDA, Values: (4.441012859344482, 4.441012859344482)
Address: /EmotiBit/0/EDA, Values: (4.441012859344482, 4.4381937980651855)
Address: /EmotiBit/0/EDA, Values: (4.435349941253662,)
Address: /EmotiBit/0/EDA, Values: (4.435349941253662, 4.435349941253662)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879,)
Address: /EmotiBit/0/EDA, Values: (4.42970085144043, 4.424094200134277)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879,)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879, 4.426896095275879)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879,)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879, 4.426896095275879)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879,)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879, 4.426896095275879)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879,)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879, 4.424094200134277)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879,)
Address: /EmotiBit/0/EDA, Values: (4.426896095275879, 4.426896095275879)
Address: /EmotiBit/0/EDA, Values: (4.42970085144043,)
Address: /EmotiBit/0/EDA, Values: (4.435349941253662, 4.426896095275879)
Address: /EmotiBit/0/EDA, Values: (4.4381937980651855, 4.441012859344482)
Address: /EmotiBit/0/EDA, Values: (4.441012859344482,)
Address: /EmotiBit/0/EDA, Values: (4.441012859344482, 4.441012859344482)
Address: /EmotiBit/0/EDA, Values: (4.441012859344482,)
Address: /EmotiBit/0/EDA, Values: (4.441012859344482, 4.4438371658325195)
Address: /EmotiBit/0/EDA, Values: (4.455221176147461,)
Address: /EmotiBit/0/EDA, Values: (4.455221176147461, 4.455221176147461)
Address: /EmotiBit/0/EDA, Values: (4.455221176147461,)
Address: /EmotiBit/0/EDA, Values: (4.458062171936035, 4.463782787322998)
Address: /EmotiBit/0/EDA, Values: (4.466663837432861,)
Address: /EmotiBit/0/EDA, Values: (4.472379207611084, 4.469520092010498)
Address: /EmotiBit/0/EDA, Values: (4.469520092010498,)
Address: /EmotiBit/0/EDA, Values: (4.475271224975586, 4.475271224975586)
Address: /EmotiBit/0/EDA, Values: (4.481037139892578,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.486789226531982, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.486789226531982, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068,)
Address: /EmotiBit/0/EDA, Values: (4.483911037445068, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.481037139892578,)
Address: /EmotiBit/0/EDA, Values: (4.481037139892578, 4.483911037445068)
Address: /EmotiBit/0/EDA, Values: (4.478137016296387, 4.472379207611084)
Address: /EmotiBit/0/EDA, Values: (4.478137016296387, 4.469520092010498)
Address: /EmotiBit/0/EDA, Values: (4.469520092010498,)
Address: /EmotiBit/0/EDA, Values: (4.469520092010498, 4.469520092010498)
Address: /EmotiBit/0/EDA, Values: (4.469520092010498,)
Address: /EmotiBit/0/EDA, Values: (4.472379207611084, 4.469520092010498)
Address: /EmotiBit/0/EDA, Values: (4.469520092010498,)
Address: /EmotiBit/0/EDA, Values: (4.466663837432861, 4.466663837432861)
