Segment,EDA Values
1,"[13.984994888305664, 13.984994888305664, 14.013029098510742, 13.984994888305664, 13.873428344726562, 13.763894081115723, 13.629188537597656, 13.497095108032227, 13.393149375915527, 13.140398025512695, 12.96902847290039, 12.849364280700684, 12.68567943572998, 12.54837703704834, 12.48094367980957, 12.48094367980957, 12.370079040527344, 12.370079040527344, 12.304544448852539, 12.261167526245117, 12.261167526245117, 12.196778297424316, 12.175325393676758, 12.218095779418945, 12.175325393676758, 12.218095779418945, 12.175325393676758, 12.175325393676758, 12.196778297424316, 12.23969841003418, 12.261167526245117, 12.261167526245117, 12.261167526245117, 12.261167526245117, 12.282711029052734, 12.348228454589844, 12.370079040527344, 12.370079040527344, 12.370079040527344, 12.370079040527344, 12.436317443847656, 12.48094367980957, 12.48094367980957, 12.48094367980957, 12.48094367980957, 12.48094367980957, 12.48094367980957, 12.48094367980957, 12.458699226379395, 12.392007827758789, 12.348228454589844, 12.261167526245117, 12.261167526245117, 12.23969841003418, 12.175325393676758, 12.154155731201172, 12.069801330566406, 12.048996925354004, 12.048996925354004, 12.048996925354004, 12.048996925354004, 12.048996925354004, 12.028264045715332, 12.048996925354004, 12.007401466369629, 12.048996925354004, 12.048996925354004, 12.048996925354004, 12.048996925354004, 12.111832618713379, 12.069801330566406, 12.111832618713379, 12.154155731201172, 12.154155731201172, 12.154155731201172]"
2,"[12.175325393676758, 12.218095779418945, 12.261167526245117, 12.261167526245117, 12.261167526245117, 12.261167526245117, 12.326240539550781, 12.348228454589844, 12.370079040527344, 12.370079040527344, 12.370079040527344, 12.48094367980957, 12.48094367980957, 12.48094367980957, 12.503267288208008, 12.593812942504883, 12.639579772949219, 12.68567943572998, 12.755350112915039, 12.825787544250488, 12.802298545837402, 12.802298545837402, 12.68567943572998, 12.52589225769043, 12.348228454589844, 12.069801330566406, 11.783950805664062, 11.56847858428955, 11.342491149902344, 11.142723083496094, 10.984621047973633, 10.830778121948242, 10.730695724487305, 10.632287979125977, 10.567835807800293, 10.551727294921875, 10.504005432128906, 10.504005432128906, 10.44094181060791, 10.425370216369629, 10.425370216369629, 10.394214630126953, 10.34790325164795, 10.317208290100098, 10.317208290100098, 10.271578788757324, 10.211267471313477, 10.196372985839844, 10.13693904876709, 10.122260093688965, 10.122260093688965, 10.049217224121094, 10.020265579223633, 10.020265579223633, 9.977219581604004, 9.948680877685547, 9.963000297546387, 9.934542655944824, 9.90624713897705, 9.90624713897705, 9.83627700805664, 9.83627700805664, 9.822456359863281, 9.767289161682129, 9.726385116577148, 9.699261665344238, 9.699261665344238, 9.645465850830078, 9.63217544555664, 9.63217544555664, 9.63217544555664, 9.645465850830078, 9.63217544555664, 9.645465850830078, 9.67228889465332]"
3,"[9.726385116577148, 9.767289161682129, 9.767289161682129, 9.822456359863281, 9.83627700805664, 9.892229080200195, 9.963000297546387, 10.049217224121094, 10.122260093688965, 10.166568756103516, 10.196372985839844, 10.256508827209473, 10.317208290100098, 10.34790325164795, 10.409844398498535, 10.425370216369629, 10.456713676452637, 10.488245010375977, 10.504005432128906, 10.504005432128906, 10.504005432128906, 10.504005432128906, 10.504005432128906, 10.51981258392334, 10.504005432128906, 10.551727294921875, 10.567835807800293, 10.58383560180664, 10.551727294921875, 10.58383560180664, 10.567835807800293, 10.535823822021484, 10.51981258392334, 10.504005432128906, 10.551727294921875, 10.51981258392334, 10.58383560180664, 10.58383560180664, 10.58383560180664, 10.58383560180664, 10.599884986877441, 10.648642539978027, 10.648642539978027, 10.664889335632324, 10.664889335632324, 10.664889335632324, 10.730695724487305, 10.747193336486816, 10.763742446899414, 10.763742446899414, 10.830778121948242, 10.830778121948242, 10.830778121948242, 10.830778121948242, 10.847585678100586, 10.881523132324219, 10.881523132324219, 10.91567325592041, 10.91567325592041, 10.91567325592041, 10.95003890991211, 10.984621047973633, 11.001909255981445, 11.001909255981445, 11.001909255981445, 11.001909255981445, 11.001909255981445, 11.036820411682129, 11.036820411682129, 11.036820411682129, 11.089520454406738, 11.089520454406738, 11.089520454406738, 11.107139587402344, 11.160688400268555]"
4,"[11.178535461425781, 11.178535461425781, 11.214578628540039, 11.232598304748535, 11.26899242401123, 11.287188529968262, 11.323936462402344, 11.360925674438477, 11.360925674438477, 11.379419326782227, 11.398155212402344, 11.45436954498291, 11.473170280456543, 11.549365043640137, 11.549365043640137, 11.56847858428955, 11.607084274291992, 11.645949363708496, 11.744162559509277, 11.724464416503906, 11.744162559509277, 11.744162559509277, 11.744162559509277, 11.744162559509277, 11.744162559509277, 11.744162559509277, 11.70464038848877, 11.70464038848877, 11.645949363708496, 11.685074806213379, 11.665384292602539, 11.645949363708496, 11.645949363708496, 11.645949363708496, 11.645949363708496, 11.645949363708496, 11.645949363708496, 11.645949363708496, 11.645949363708496, 11.645949363708496, 11.724464416503906, 11.665384292602539, 11.70464038848877, 11.724464416503906, 11.744162559509277, 11.744162559509277, 11.783950805664062, 11.783950805664062, 11.844045639038086, 11.844045639038086, 11.904755592346191, 11.945642471313477, 12.007401466369629, 12.048996925354004, 12.048996925354004, 12.090883255004883, 12.133060455322266, 12.154155731201172, 12.196778297424316, 12.261167526245117, 12.261167526245117, 12.261167526245117, 12.326240539550781, 12.370079040527344, 12.392007827758789, 12.48094367980957, 12.48094367980957, 12.48094367980957, 12.48094367980957, 12.503267288208008, 12.48094367980957, 12.503267288208008, 12.52589225769043, 12.48094367980957, 12.48094367980957]"
5,"[12.48094367980957, 12.48094367980957, 12.503267288208008, 12.48094367980957, 12.52589225769043, 12.52589225769043, 12.593812942504883, 12.593812942504883, 12.593812942504883, 12.61654281616211, 12.639579772949219, 12.68567943572998, 12.6624755859375, 12.708742141723633, 12.708742141723633, 12.708742141723633, 12.731889724731445, 12.778667449951172, 12.825787544250488, 12.825787544250488, 12.825787544250488, 12.89700984954834, 12.945011138916016, 12.945011138916016, 12.945011138916016, 12.945011138916016, 13.066471099853516, 13.115742683410645, 13.165390014648438, 13.140398025512695, 13.190231323242188, 13.265569686889648, 13.240443229675293, 13.190231323242188, 13.115742683410645, 13.066471099853516, 12.945011138916016, 12.849364280700684, 12.708742141723633, 12.61654281616211, 12.503267288208008, 12.392007827758789, 12.326240539550781, 12.218095779418945, 12.154155731201172, 12.028264045715332, 11.884515762329102, 11.783950805664062, 11.626579284667969, 11.549365043640137, 11.473170280456543, 11.43563175201416, 11.360925674438477, 11.323936462402344, 11.250855445861816, 11.178535461425781, 11.178535461425781, 11.178535461425781, 11.196440696716309, 11.178535461425781, 11.214578628540039, 11.196440696716309, 11.196440696716309, 11.214578628540039, 11.26899242401123, 11.287188529968262, 11.323936462402344, 11.360925674438477, 11.360925674438477, 11.360925674438477, 11.416770935058594, 11.43563175201416, 11.530315399169922, 11.549365043640137, 11.56847858428955]"
6,"[11.626579284667969, 11.645949363708496, 11.70464038848877, 11.744162559509277, 11.783950805664062, 11.844045639038086, 11.844045639038086, 11.884515762329102, 11.904755592346191, 11.945642471313477, 12.007401466369629, 12.048996925354004, 12.133060455322266, 12.196778297424316, 12.196778297424316, 12.261167526245117, 12.261167526245117, 12.304544448852539, 12.370079040527344, 12.370079040527344, 12.370079040527344, 12.370079040527344, 12.326240539550781, 12.261167526245117, 12.261167526245117, 12.261167526245117, 12.304544448852539, 12.261167526245117, 12.175325393676758, 12.090883255004883, 12.028264045715332, 11.945642471313477, 11.844045639038086, 11.783950805664062, 11.744162559509277, 11.665384292602539, 11.645949363708496, 11.626579284667969, 11.645949363708496, 11.645949363708496, 11.645949363708496, 11.665384292602539, 11.70464038848877, 11.783950805664062, 11.803849220275879, 11.844045639038086, 11.925262451171875, 11.966090202331543, 12.048996925354004, 12.069801330566406, 12.133060455322266, 12.218095779418945, 12.261167526245117, 12.282711029052734, 12.370079040527344, 12.392007827758789, 12.48094367980957, 12.52589225769043, 12.503267288208008, 12.593812942504883, 12.61654281616211, 12.708742141723633, 12.708742141723633, 12.778667449951172, 12.825787544250488, 12.89700984954834, 12.945011138916016, 13.017566680908203, 13.017566680908203, 13.090940475463867, 13.140398025512695, 13.190231323242188, 13.190231323242188, 13.265569686889648, 13.291040420532227]"
7,"[13.367536544799805, 13.316360473632812, 13.419112205505371, 13.44492244720459, 13.44492244720459, 13.470830917358398, 13.497095108032227, 13.5759916305542, 13.549676895141602, 13.5759916305542, 13.5759916305542, 13.549676895141602, 13.470830917358398, 13.497095108032227, 13.523205757141113, 13.44492244720459, 13.44492244720459, 13.44492244720459, 13.523205757141113, 13.5759916305542, 13.5759916305542, 13.629188537597656, 13.709641456604004, 13.791048049926758, 13.818578720092773, 13.845949172973633, 13.873428344726562, 13.928988456726074, 13.984994888305664, 13.984994888305664, 14.041452407836914, 14.041452407836914, 14.126859664916992, 14.098367691040039, 14.098367691040039, 14.15546703338623, 14.213314056396484, 14.242555618286133, 14.271634101867676, 14.184473037719727, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.300830841064453, 14.389723777770996, 14.389723777770996, 14.330435752868652, 14.419405937194824, 14.389723777770996, 14.419405937194824, 14.419405937194824, 14.479434967041016, 14.570270538330078, 14.539963722229004, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.509489059448242, 14.419405937194824, 14.300830841064453, 14.184473037719727, 14.041452407836914, 13.873428344726562, 13.736581802368164, 13.602408409118652, 13.470830917358398, 13.393149375915527, 13.316360473632812, 13.190231323242188, 13.090940475463867, 13.066471099853516, 13.042092323303223]"
8,"[12.945011138916016, 12.993370056152344, 12.96902847290039, 12.993370056152344, 12.96902847290039, 13.017566680908203, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.066471099853516, 13.165390014648438, 13.190231323242188, 13.190231323242188, 13.190231323242188, 13.291040420532227, 13.316360473632812, 13.341774940490723, 13.367536544799805, 13.419112205505371, 13.44492244720459, 13.44492244720459, 13.44492244720459, 13.470830917358398, 13.523205757141113, 13.523205757141113, 13.549676895141602, 13.602408409118652, 13.5759916305542, 13.655814170837402, 13.709641456604004, 13.709641456604004, 13.709641456604004, 13.709641456604004, 13.709641456604004, 13.763894081115723, 13.736581802368164, 13.818578720092773, 13.818578720092773, 13.845949172973633, 13.845949172973633, 13.845949172973633, 13.845949172973633, 13.845949172973633, 13.845949172973633, 13.845949172973633, 13.873428344726562, 13.901288032531738, 13.957072257995605, 13.984994888305664, 13.984994888305664, 13.984994888305664, 14.013029098510742, 13.984994888305664, 13.984994888305664, 14.098367691040039, 14.098367691040039, 14.126859664916992, 14.126859664916992, 14.184473037719727, 14.213314056396484, 14.242555618286133, 14.271634101867676, 14.300830841064453, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.300830841064453, 14.419405937194824, 14.389723777770996, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.389723777770996]"
9,"[14.419405937194824, 14.449211120605469, 14.449211120605469, 14.539963722229004, 14.570270538330078, 14.570270538330078, 14.600703239440918, 14.600703239440918, 14.570270538330078, 14.570270538330078, 14.539963722229004, 14.509489059448242, 14.419405937194824, 14.419405937194824, 14.300830841064453, 14.271634101867676, 14.184473037719727, 14.126859664916992, 14.098367691040039, 14.013029098510742, 13.984994888305664, 13.984994888305664, 13.984994888305664, 13.957072257995605, 13.984994888305664, 13.984994888305664, 13.984994888305664, 13.984994888305664, 13.984994888305664, 13.984994888305664, 14.041452407836914, 14.098367691040039, 14.098367691040039, 14.126859664916992, 14.126859664916992, 14.126859664916992, 14.126859664916992, 14.15546703338623, 14.15546703338623, 14.126859664916992, 14.242555618286133, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.300830841064453, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.539963722229004, 14.570270538330078, 14.539963722229004, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.600703239440918, 14.570270538330078, 14.600703239440918, 14.570270538330078, 14.63156509399414, 14.600703239440918, 14.600703239440918, 14.662254333496094, 14.662254333496094, 14.63156509399414, 14.63156509399414, 14.662254333496094, 14.662254333496094, 14.693374633789062]"
10,"[14.662254333496094, 14.570270538330078, 14.570270538330078, 14.600703239440918, 14.63156509399414, 14.600703239440918, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.479434967041016, 14.479434967041016, 14.479434967041016, 14.539963722229004, 14.509489059448242, 14.570270538330078, 14.570270538330078, 14.539963722229004, 14.449211120605469, 14.449211120605469, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.449211120605469, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.449211120605469, 14.419405937194824, 14.479434967041016, 14.479434967041016, 14.539963722229004, 14.479434967041016, 14.449211120605469, 14.449211120605469, 14.479434967041016, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.449211120605469, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.389723777770996, 14.359874725341797, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.449211120605469, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.693374633789062, 14.724325180053711, 14.724325180053711, 14.75540542602539, 14.850057601928711]"
