Segment,EDA Values
1,"[31.956167221069336, 31.956167221069336, 31.956167221069336, 31.956167221069336, 32.10292434692383, 31.956167221069336, 32.10292434692383, 31.956167221069336, 31.956167221069336, 32.40199661254883, 32.252498626708984, 32.252498626708984, 32.706687927246094, 32.706687927246094, 32.706687927246094, 32.706687927246094, 32.706687927246094, 33.17385482788086, 33.333595275878906, 33.493309020996094, 33.493309020996094, 33.493309020996094, 33.9833869934082, 33.9833869934082, 34.151039123535156, 34.318702697753906, 34.48801803588867, 34.83341598510742, 35.00958251953125, 35.1858024597168, 35.1858024597168, 35.363807678222656, 35.363807678222656, 35.363807678222656, 35.363807678222656, 35.363807678222656, 35.91240692138672, 35.91240692138672, 36.09785842895508, 35.91240692138672, 36.09785842895508, 36.09785842895508, 36.09785842895508, 36.09785842895508, 36.09785842895508, 35.91240692138672, 35.91240692138672, 35.7270622253418, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.1858024597168, 34.83341598510742, 34.660701751708984, 34.318702697753906, 34.318702697753906, 34.48801803588867, 34.318702697753906, 34.660701751708984, 34.48801803588867, 34.48801803588867, 34.48801803588867, 34.83341598510742, 34.83341598510742, 34.660701751708984, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.363807678222656, 35.1858024597168, 35.54539489746094]"
2,"[35.91240692138672, 35.91240692138672, 36.09785842895508, 36.28523254394531, 36.86302947998047, 36.86302947998047, 37.05845260620117, 37.05845260620117, 37.05845260620117, 37.05845260620117, 37.05845260620117, 36.28523254394531, 36.09785842895508, 35.7270622253418, 35.1858024597168, 35.1858024597168, 35.00958251953125, 35.00958251953125, 34.83341598510742, 34.83341598510742, 34.83341598510742, 34.83341598510742, 35.00958251953125, 34.83341598510742, 34.83341598510742, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.54539489746094, 35.91240692138672, 36.09785842895508, 36.09785842895508, 36.09785842895508, 36.47643280029297, 36.66776657104492, 36.47643280029297, 36.86302947998047, 36.86302947998047, 36.47643280029297, 36.86302947998047, 36.28523254394531, 36.09785842895508, 36.09785842895508, 36.09785842895508, 36.09785842895508, 35.7270622253418, 35.363807678222656, 35.54539489746094, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.363807678222656, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.363807678222656, 35.1858024597168, 35.1858024597168, 35.363807678222656, 35.1858024597168, 35.1858024597168, 35.363807678222656, 35.54539489746094, 35.1858024597168, 35.1858024597168, 35.1858024597168, 35.363807678222656, 35.54539489746094]"
3,"[35.7270622253418, 36.09785842895508, 36.09785842895508, 36.09785842895508, 36.09785842895508, 36.28523254394531, 36.66776657104492, 36.66776657104492, 37.05845260620117, 36.86302947998047, 37.05845260620117, 37.255958557128906, 37.65934753417969, 38.07156753540039, 38.07156753540039, 38.49291229248047, 38.706050872802734, 38.92368698120117, 39.14163589477539, 39.14163589477539, 39.14163589477539, 38.92368698120117, 38.706050872802734, 38.706050872802734, 38.92368698120117, 38.92368698120117, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.812599182128906, 40.273597717285156, 40.273597717285156, 40.5069694519043, 40.745391845703125, 40.745391845703125, 40.5069694519043, 40.273597717285156, 40.273597717285156, 40.273597717285156, 40.273597717285156, 40.273597717285156, 40.04289627075195, 40.04289627075195, 39.812599182128906, 39.14163589477539, 39.36204147338867, 39.587135314941406, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.36204147338867, 39.14163589477539, 39.36204147338867, 39.14163589477539, 39.14163589477539, 39.36204147338867, 39.587135314941406, 39.36204147338867, 40.273597717285156, 40.273597717285156, 40.5069694519043, 40.273597717285156, 40.273597717285156, 40.273597717285156, 40.745391845703125, 41.47297668457031, 41.22837448120117, 41.22837448120117, 41.47297668457031, 41.47297668457031, 41.47297668457031]"
4,"[41.47297668457031, 41.47297668457031, 42.227020263671875, 42.227020263671875, 42.74598693847656, 42.48618698120117, 42.74598693847656, 42.74598693847656, 42.48618698120117, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 43.277870178222656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 43.00898742675781, 43.82315444946289, 43.82315444946289, 43.00898742675781, 43.54747772216797, 43.82315444946289, 43.277870178222656, 42.74598693847656, 41.97346878051758, 41.22837448120117, 41.22837448120117, 40.273597717285156, 40.273597717285156, 40.04289627075195, 39.36204147338867, 38.92368698120117, 38.280052185058594, 38.07156753540039, 37.86534118652344, 37.86534118652344, 37.457550048828125, 37.255958557128906, 37.05845260620117, 37.05845260620117, 37.05845260620117, 37.05845260620117, 37.05845260620117, 37.255958557128906, 37.05845260620117, 37.255958557128906, 37.255958557128906, 38.07156753540039, 38.07156753540039, 37.86534118652344, 37.86534118652344, 38.07156753540039, 38.07156753540039, 38.07156753540039, 38.07156753540039, 38.280052185058594, 38.49291229248047, 38.92368698120117, 39.14163589477539]"
5,"[39.14163589477539, 39.14163589477539, 39.14163589477539, 39.36204147338867, 39.36204147338867, 39.812599182128906, 40.273597717285156, 40.273597717285156, 40.273597717285156, 40.273597717285156, 40.273597717285156, 40.5069694519043, 40.984283447265625, 41.47297668457031, 41.47297668457031, 41.47297668457031, 41.47297668457031, 41.72050094604492, 41.72050094604492, 42.227020263671875, 41.97346878051758, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 43.00898742675781, 43.277870178222656, 43.00898742675781, 42.74598693847656, 43.00898742675781, 43.00898742675781, 42.74598693847656, 42.74598693847656, 43.00898742675781, 42.74598693847656, 42.74598693847656, 42.74598693847656, 43.00898742675781, 42.74598693847656, 43.00898742675781, 43.277870178222656, 43.00898742675781, 43.277870178222656, 43.00898742675781, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 43.00898742675781, 42.74598693847656, 42.74598693847656, 42.74598693847656, 43.54747772216797, 42.74598693847656, 43.82315444946289, 43.82315444946289, 44.0996208190918, 44.95318603515625, 45.24700927734375, 44.95318603515625, 45.24700927734375, 44.0996208190918]"
6,"[44.37959671020508, 44.0996208190918, 43.54747772216797, 42.74598693847656, 42.227020263671875, 41.72050094604492, 41.47297668457031, 41.22837448120117, 40.745391845703125, 40.5069694519043, 40.273597717285156, 40.273597717285156, 40.5069694519043, 41.47297668457031, 41.47297668457031, 41.72050094604492, 41.47297668457031, 41.97346878051758, 42.74598693847656, 43.277870178222656, 43.82315444946289, 44.0996208190918, 44.0996208190918, 44.0996208190918, 44.0996208190918, 44.0996208190918, 44.37959671020508, 45.24700927734375, 44.95318603515625, 44.66594696044922, 44.66594696044922, 45.54179382324219, 45.54179382324219, 45.24700927734375, 45.54179382324219, 45.8404426574707, 45.8404426574707, 46.146018981933594, 46.45267105102539, 47.081478118896484, 46.76649475097656, 46.76649475097656, 47.081478118896484, 46.45267105102539, 46.146018981933594, 46.146018981933594, 45.8404426574707, 45.54179382324219, 45.54179382324219, 44.95318603515625, 44.37959671020508, 44.0996208190918, 44.0996208190918, 44.0996208190918, 43.82315444946289, 42.74598693847656, 42.74598693847656, 42.48618698120117, 42.48618698120117, 42.48618698120117, 41.72050094604492, 41.47297668457031, 41.47297668457031, 40.745391845703125, 40.273597717285156, 39.812599182128906, 39.14163589477539, 38.92368698120117, 39.14163589477539, 38.92368698120117, 38.706050872802734, 39.14163589477539, 38.92368698120117, 38.92368698120117, 38.280052185058594]"
7,"[38.92368698120117, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.587135314941406, 39.36204147338867, 40.273597717285156, 40.273597717285156, 39.812599182128906, 40.273597717285156, 40.273597717285156, 39.812599182128906, 40.273597717285156, 39.812599182128906, 40.273597717285156, 39.812599182128906, 39.36204147338867, 39.36204147338867, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.36204147338867, 39.587135314941406, 39.812599182128906, 40.273597717285156, 40.273597717285156, 40.273597717285156, 40.5069694519043, 40.984283447265625, 41.22837448120117, 41.47297668457031, 41.47297668457031, 41.47297668457031, 41.47297668457031, 41.72050094604492, 41.72050094604492, 42.227020263671875, 41.72050094604492, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 43.277870178222656, 42.74598693847656, 43.00898742675781, 43.54747772216797, 43.82315444946289, 44.0996208190918, 44.0996208190918, 44.0996208190918, 44.0996208190918, 44.0996208190918, 44.0996208190918, 44.0996208190918, 44.0996208190918, 43.277870178222656, 42.74598693847656, 42.74598693847656, 41.97346878051758, 41.47297668457031, 41.47297668457031, 41.47297668457031, 40.984283447265625]"
8,"[40.273597717285156, 40.273597717285156, 40.273597717285156, 39.812599182128906, 39.812599182128906, 39.36204147338867, 39.14163589477539, 39.36204147338867, 39.812599182128906, 39.812599182128906, 40.273597717285156, 40.04289627075195, 40.273597717285156, 40.04289627075195, 40.04289627075195, 40.273597717285156, 40.273597717285156, 40.5069694519043, 40.745391845703125, 40.5069694519043, 40.273597717285156, 40.273597717285156, 41.47297668457031, 40.984283447265625, 41.22837448120117, 41.22837448120117, 41.22837448120117, 40.745391845703125, 40.273597717285156, 40.273597717285156, 40.273597717285156, 39.812599182128906, 39.14163589477539, 39.36204147338867, 39.587135314941406, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.14163589477539, 39.36204147338867, 39.587135314941406, 40.04289627075195, 40.273597717285156, 40.5069694519043, 40.5069694519043, 40.273597717285156, 41.47297668457031, 41.47297668457031, 41.72050094604492, 41.72050094604492, 41.97346878051758, 42.48618698120117, 42.74598693847656, 42.74598693847656, 42.74598693847656, 42.74598693847656, 43.277870178222656, 43.277870178222656, 43.82315444946289, 44.0996208190918, 44.0996208190918, 44.95318603515625, 45.54179382324219, 45.54179382324219, 45.54179382324219, 45.54179382324219, 45.54179382324219, 45.8404426574707, 46.146018981933594, 45.8404426574707, 46.146018981933594, 46.76649475097656, 46.76649475097656, 46.146018981933594, 47.081478118896484]"
9,"[46.76649475097656, 47.081478118896484, 47.081478118896484, 47.081478118896484, 47.081478118896484, 47.081478118896484, 47.081478118896484, 47.7275390625, 47.40073013305664, 48.728912353515625, 48.391578674316406, 48.728912353515625, 48.728912353515625, 48.728912353515625, 48.728912353515625, 48.728912353515625, 48.728912353515625, 49.07097625732422, 49.07097625732422, 49.07097625732422, 49.42130661010742, 50.1336669921875, 49.42130661010742, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.86323547363281, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 49.42130661010742, 49.42130661010742, 48.728912353515625, 48.728912353515625, 49.07097625732422, 49.07097625732422, 49.42130661010742, 50.1336669921875, 49.42130661010742, 49.07097625732422, 48.728912353515625, 49.42130661010742, 49.42130661010742, 50.1336669921875, 49.77320098876953, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.49581527709961, 50.86323547363281, 50.86323547363281, 51.23971939086914, 52.39567947387695, 52.39567947387695, 52.0058708190918, 52.39567947387695, 52.79137420654297, 52.39567947387695, 52.79137420654297, 53.197059631347656, 54.02333450317383, 54.444095611572266, 54.444095611572266, 54.8714599609375, 56.20363998413086, 56.20363998413086, 56.6591911315918]"
10,"[56.6591911315918, 56.6591911315918, 56.6591911315918, 57.59746551513672, 58.07598876953125, 58.56733703613281, 58.56733703613281, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 58.07598876953125, 57.59746551513672, 59.062171936035156, 58.07598876953125, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 58.56733703613281, 58.07598876953125, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 58.07598876953125, 58.07598876953125, 57.122188568115234, 56.6591911315918, 57.122188568115234, 57.59746551513672, 56.6591911315918, 56.6591911315918, 57.122188568115234, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.6591911315918, 56.6591911315918, 57.122188568115234, 57.59746551513672, 58.56733703613281, 58.56733703613281, 58.56733703613281, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.062171936035156, 59.56544876098633, 60.603328704833984, 61.678016662597656]"
