Segment,EDA Values
1,"[14.570270538330078, 14.570270538330078, 14.570270538330078, 14.509489059448242, 14.479434967041016, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.63156509399414, 14.600703239440918, 14.570270538330078, 14.63156509399414, 14.570270538330078, 14.570270538330078, 14.570270538330078, 14.63156509399414, 14.570270538330078, 14.662254333496094, 14.693374633789062, 14.693374633789062, 14.724325180053711, 14.724325180053711, 14.724325180053711, 14.75540542602539, 14.724325180053711, 14.724325180053711, 14.786925315856934, 14.881671905517578, 14.850057601928711, 14.881671905517578, 14.850057601928711, 14.850057601928711, 14.881671905517578, 14.977643013000488, 14.881671905517578, 14.9456205368042, 15.042417526245117, 15.042417526245117, 15.074857711791992, 15.20667552947998, 15.37455940246582, 15.37455940246582, 15.442822456359863, 15.546191215515137, 15.686418533325195, 15.757137298583984, 15.757137298583984, 15.901213645935059, 15.901213645935059, 15.828847885131836, 15.757137298583984, 15.757137298583984, 15.686418533325195, 15.580842018127441, 15.546191215515137, 15.511693954467773, 15.47701358795166, 15.442822456359863, 15.340818405151367, 15.20667552947998, 15.20667552947998, 15.173666954040527, 15.042417526245117, 15.010117530822754, 15.010117530822754, 14.913421630859375, 14.881671905517578, 14.881671905517578, 14.881671905517578, 14.881671905517578, 14.881671905517578, 14.881671905517578]"
2,"[14.724325180053711, 14.724325180053711, 14.724325180053711, 14.75540542602539, 14.724325180053711, 14.724325180053711, 14.724325180053711, 14.693374633789062, 14.570270538330078, 14.539963722229004, 14.449211120605469, 14.419405937194824, 14.359874725341797, 14.300830841064453, 14.300830841064453, 14.300830841064453, 14.271634101867676, 14.242555618286133, 14.242555618286133, 14.271634101867676, 14.271634101867676, 14.271634101867676, 14.330435752868652, 14.300830841064453, 14.419405937194824, 14.389723777770996, 14.419405937194824, 14.419405937194824, 14.419405937194824, 14.449211120605469, 14.449211120605469, 14.539963722229004, 14.509489059448242, 14.570270538330078, 14.570270538330078, 14.600703239440918, 14.570270538330078, 14.693374633789062, 14.724325180053711, 14.724325180053711, 14.818270683288574, 14.913421630859375, 14.913421630859375, 15.010117530822754, 15.042417526245117, 15.074857711791992, 15.107759475708008, 15.20667552947998, 15.20667552947998, 15.239828109741211, 15.37455940246582, 15.442822456359863, 15.511693954467773, 15.546191215515137, 15.546191215515137, 15.721698760986328, 15.865124702453613, 15.937467575073242, 16.084875106811523, 16.084875106811523, 16.15960693359375, 16.272830963134766, 16.272830963134766, 16.349321365356445, 16.31079864501953, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.235036849975586, 16.121973037719727, 16.084875106811523, 16.121973037719727, 16.084875106811523, 16.084875106811523, 16.084875106811523]"
3,"[16.084875106811523, 16.047948837280273, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.937467575073242, 15.901213645935059, 15.901213645935059, 15.937467575073242, 15.937467575073242, 15.974244117736816, 15.937467575073242, 16.010831832885742, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.121973037719727, 16.084875106811523, 16.121973037719727, 16.235036849975586, 16.235036849975586, 16.272830963134766, 16.197050094604492, 16.197050094604492, 16.272830963134766, 16.15960693359375, 16.235036849975586, 16.235036849975586, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.31079864501953, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.387649536132812, 16.31079864501953, 16.31079864501953, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.31079864501953, 16.272830963134766, 16.272830963134766, 16.387649536132812, 16.465229034423828, 16.465229034423828, 16.58279037475586, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.78263282775879, 16.86400604248047, 16.86400604248047, 16.904787063598633, 16.904787063598633, 16.86400604248047, 16.86400604248047, 16.98735237121582, 16.904787063598633, 16.86400604248047, 16.86400604248047, 16.702041625976562, 16.6622314453125]"
4,"[16.622610092163086, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.426536560058594, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.235036849975586, 16.197050094604492, 16.121973037719727, 16.084875106811523, 16.121973037719727, 16.084875106811523, 16.15960693359375, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.121973037719727, 16.121973037719727, 16.084875106811523, 16.084875106811523, 16.121973037719727, 16.15960693359375, 16.084875106811523, 16.15960693359375, 16.235036849975586, 16.235036849975586, 16.272830963134766, 16.272830963134766, 16.197050094604492, 16.235036849975586, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.272830963134766, 16.31079864501953, 16.349321365356445, 16.272830963134766, 16.31079864501953, 16.31079864501953, 16.465229034423828, 16.426536560058594, 16.426536560058594, 16.426536560058594, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.622610092163086, 16.58279037475586, 16.6622314453125, 16.622610092163086, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.622610092163086, 16.622610092163086, 16.622610092163086, 16.6622314453125, 16.50410270690918, 16.622610092163086, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.7424373626709, 16.702041625976562]"
5,"[16.7424373626709, 16.82341957092285, 16.86400604248047, 16.98735237121582, 16.98735237121582, 16.98735237121582, 16.946170806884766, 16.86400604248047, 16.98735237121582, 16.82341957092285, 16.86400604248047, 16.86400604248047, 16.78263282775879, 16.702041625976562, 16.82341957092285, 16.86400604248047, 16.82341957092285, 16.86400604248047, 16.86400604248047, 16.78263282775879, 16.86400604248047, 16.86400604248047, 16.904787063598633, 17.07072639465332, 17.112516403198242, 17.154922485351562, 17.239953994750977, 17.282577514648438, 17.32541275024414, 17.412147521972656, 17.499753952026367, 17.4560546875, 17.412147521972656, 17.499753952026367, 17.412147521972656, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.239953994750977, 17.239953994750977, 17.154922485351562, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.02914047241211, 16.904787063598633, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.82341957092285, 16.7424373626709, 16.82341957092285, 16.78263282775879, 16.82341957092285, 16.78263282775879, 16.7424373626709, 16.6622314453125, 16.6622314453125, 16.702041625976562, 16.7424373626709, 16.7424373626709, 16.78263282775879, 16.78263282775879, 16.702041625976562, 16.7424373626709, 16.82341957092285, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047]"
6,"[16.86400604248047, 16.904787063598633, 16.946170806884766, 16.946170806884766, 16.98735237121582, 17.07072639465332, 16.98735237121582, 17.02914047241211, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.112516403198242, 17.112516403198242, 17.112516403198242, 17.112516403198242, 17.154922485351562, 17.154922485351562, 17.239953994750977, 17.282577514648438, 17.197126388549805, 17.239953994750977, 17.239953994750977, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.32541275024414, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.32541275024414, 17.32541275024414, 17.36888313293457, 17.412147521972656, 17.282577514648438, 17.32541275024414, 17.4560546875, 17.36888313293457, 17.4560546875, 17.36888313293457, 17.282577514648438, 17.282577514648438, 17.32541275024414, 17.32541275024414, 17.36888313293457, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.282577514648438, 17.197126388549805, 17.282577514648438, 17.282577514648438, 17.239953994750977, 17.282577514648438, 17.282577514648438, 17.197126388549805, 17.239953994750977, 17.154922485351562, 17.154922485351562, 17.112516403198242, 17.07072639465332]"
7,"[17.07072639465332, 17.112516403198242, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.07072639465332, 17.02914047241211, 16.98735237121582, 16.946170806884766, 16.904787063598633, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.82341957092285, 16.86400604248047, 16.86400604248047, 16.86400604248047, 16.82341957092285, 16.7424373626709, 16.702041625976562, 16.7424373626709, 16.702041625976562, 16.702041625976562, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.622610092163086, 16.6622314453125, 16.6622314453125, 16.6622314453125, 16.622610092163086, 16.58279037475586, 16.54354476928711, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.426536560058594, 16.426536560058594, 16.465229034423828, 16.465229034423828, 16.465229034423828, 16.426536560058594, 16.465229034423828, 16.387649536132812, 16.349321365356445, 16.31079864501953, 16.349321365356445, 16.31079864501953, 16.272830963134766, 16.272830963134766, 16.235036849975586, 16.235036849975586, 16.121973037719727, 16.121973037719727, 16.121973037719727, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.084875106811523]"
8,"[16.047948837280273, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.047948837280273, 16.047948837280273, 15.974244117736816, 16.010831832885742, 16.010831832885742, 15.937467575073242, 15.937467575073242, 15.937467575073242, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.937467575073242, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.974244117736816, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.937467575073242, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.937467575073242, 15.937467575073242, 15.901213645935059, 15.937467575073242, 15.901213645935059, 15.974244117736816, 16.047948837280273, 16.084875106811523, 16.084875106811523, 16.084875106811523, 16.010831832885742, 15.974244117736816, 16.084875106811523, 15.974244117736816, 16.010831832885742, 15.974244117736816, 15.901213645935059, 15.937467575073242, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.937467575073242, 15.974244117736816, 15.937467575073242, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.901213645935059, 15.793086051940918, 15.793086051940918, 15.865124702453613, 15.757137298583984, 15.757137298583984, 15.721698760986328, 15.721698760986328, 15.686418533325195, 15.721698760986328]"
9,"[15.65095329284668, 15.65095329284668, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.580842018127441, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.615989685058594, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.511693954467773, 15.442822456359863, 15.442822456359863, 15.408448219299316, 15.511693954467773, 15.511693954467773, 15.546191215515137, 15.511693954467773, 15.47701358795166, 15.546191215515137, 15.511693954467773, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.580842018127441, 15.580842018127441, 15.65095329284668, 15.615989685058594, 15.580842018127441]"
10,"[15.721698760986328, 15.65095329284668, 15.686418533325195, 15.686418533325195, 15.546191215515137, 15.580842018127441, 15.615989685058594, 15.580842018127441, 15.580842018127441, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.580842018127441, 15.546191215515137, 15.546191215515137, 15.580842018127441, 15.580842018127441, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.580842018127441, 15.546191215515137, 15.546191215515137, 15.511693954467773, 15.511693954467773, 15.511693954467773, 15.442822456359863, 15.37455940246582, 15.37455940246582, 15.47701358795166, 15.442822456359863, 15.511693954467773, 15.47701358795166, 15.511693954467773, 15.511693954467773, 15.442822456359863, 15.408448219299316, 15.511693954467773, 15.47701358795166, 15.442822456359863, 15.511693954467773, 15.546191215515137, 15.511693954467773, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.511693954467773, 15.546191215515137, 15.546191215515137, 15.546191215515137, 15.511693954467773, 15.511693954467773, 15.47701358795166, 15.47701358795166, 15.47701358795166, 15.408448219299316, 15.408448219299316, 15.511693954467773, 15.47701358795166, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.37455940246582, 15.408448219299316, 15.408448219299316, 15.408448219299316, 15.511693954467773, 15.511693954467773, 15.511693954467773]"
