LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1729244889.252785,264164,36937,1,BI,1,100,1030
1729244889.915781,264827,37038,1,BI,1,100,660
1729244891.128776,266040,37235,1,BI,1,100,1210
1729244891.888772,266800,37350,1,BI,1,100,750
1729244892.131771,267043,37403,1,BI,1,100,250
1729244892.944767,267856,37536,1,BI,1,100,810
1729244893.811763,268723,37673,1,BI,1,100,860
1729244895.077756,269989,37871,1,BI,1,100,1260
1729244896.137751,271049,38053,1,BI,1,100,1060
1729244896.744748,271656,38137,1,BI,1,100,610
1729244897.707744,272619,38302,1,BI,1,100,960
1729244898.993737,273905,38509,1,BI,1,100,1280
1729244900.293731,275205,38723,1,BI,1,100,1290
1729244901.043728,275955,38839,1,BI,1,100,750
1729244901.710724,276622,38954,1,BI,1,100,670
1729244903.000718,277912,39169,1,BI,1,100,1280
1729244904.013713,278925,39324,1,BI,1,100,1010
1729244904.996709,279908,39490,1,BI,1,100,980
1729244905.659705,280571,39591,1,BI,1,100,660
1729244906.909699,281821,39804,1,BI,1,100,1250
1729244907.830695,282742,39952,1,BI,1,100,920
1729244908.916690,283828,40125,1,BI,1,100,1080
1729244909.836685,284748,40274,1,BI,1,100,920
1729244910.532682,285444,40393,1,BI,1,100,690
1729244911.786676,286698,40590,1,BI,1,100,1250
1729244912.916670,287828,40771,1,BI,1,100,1130
1729244913.559667,288471,40873,1,BI,1,100,640
1729244914.449663,289361,41027,1,BI,1,100,880
1729244915.465658,290377,41193,1,BI,1,100,1020
1729244915.599657,290511,41210,1,BI,1,100,130
1729244916.699652,291611,41393,1,BI,1,100,1100
1729244917.638648,292550,41542,1,BI,1,100,930
1729244918.258644,293170,41643,1,BI,1,100,620
1729244919.231640,294143,41797,1,BI,1,100,970
1729244920.482634,295394,42011,1,BI,1,100,1250
1729244921.515629,296427,42162,1,BI,1,100,1030
1729244922.115626,297027,42261,1,BI,1,100,600
1729244923.121621,298033,42427,1,BI,1,100,1000
1729244924.338615,299250,42616,1,BI,1,100,1210
1729244925.304610,300216,42781,1,BI,1,100,970
1729244925.944607,300856,42882,1,BI,1,100,630
1729244927.211601,302123,43079,1,BI,1,100,1270
1729244928.251596,303163,43263,1,BI,1,100,1030
1729244929.074592,303986,43396,1,BI,1,100,820
1729244929.951588,304863,43534,1,BI,1,100,880
1729244931.100582,306012,43717,1,BI,1,100,1140
1729244931.990578,306902,43864,1,BI,1,100,890
1729244932.613575,307525,43965,1,BI,1,100,620
1729244933.930569,308842,44182,1,BI,1,100,1310
1729244934.970564,309882,44351,1,BI,1,100,1040
1729244935.697560,310609,44466,1,BI,1,100,720
1729244936.636556,311548,44616,1,BI,1,100,940
1729244937.630551,312542,44782,1,BI,1,100,990
1729244938.610546,313522,44933,1,BI,1,100,980
1729244939.213543,314125,45031,1,BI,1,100,600
1729244940.183538,315095,45186,1,BI,1,100,970
1729244941.399533,316311,45386,1,BI,1,100,1210
1729244942.086529,316998,45501,1,BI,1,100,680
1729244942.966525,317878,45651,1,BI,1,100,880
1729244944.159519,319071,45850,1,BI,1,100,1190
1729244945.126514,320038,45987,1,BI,1,100,960
1729244945.762511,320674,46104,1,BI,1,100,640
1729244946.922506,321834,46286,1,BI,1,100,1150
1729244947.862501,322774,46434,1,BI,1,100,940
1729244948.865496,323777,46602,1,BI,1,100,1000
1729244949.478493,324390,46701,1,BI,1,100,610
1729244950.448489,325360,46856,1,BI,1,100,970
1729244951.675483,326587,47056,1,BI,1,100,1220
1729244952.428479,327340,47188,1,BI,1,100,750
1729244952.552479,327464,47204,1,BI,1,100,130
1729244953.251475,328163,47308,1,BI,1,100,690
1729244954.391470,329303,47489,1,BI,1,100,1140
1729244955.431465,330343,47659,1,BI,1,100,1040
1729244956.225461,331137,47792,1,BI,1,100,790
1729244957.181456,332093,47941,1,BI,1,100,950
1729244958.184451,333096,48107,1,BI,1,100,1000
1729244959.084447,333996,48256,1,BI,1,100,900
1729244959.718444,334630,48357,1,BI,1,100,630
1729244960.947438,335859,48562,1,BI,1,100,1220
1729244961.834434,336746,48709,1,BI,1,100,890
1729244962.737429,337649,48844,1,BI,1,100,900
1729244963.690425,338602,49010,1,BI,1,100,950
1729244964.670420,339582,49159,1,BI,1,100,970
1729244965.070418,339982,49226,1,BI,1,100,400
1729244966.057413,340969,49397,1,BI,1,100,990
1729244966.880409,341792,49530,1,BI,1,100,820
1729244967.590406,342502,49647,1,BI,1,100,700
1729244968.557401,343469,49796,1,BI,1,100,970
1729244969.606396,344518,49980,1,BI,1,100,1040
1729244970.193393,345105,50062,1,BI,1,100,590
1729244971.370388,346282,50266,1,BI,1,100,1170
1729244972.070384,346982,50367,1,BI,1,100,700
1729244973.119379,348031,50548,1,BI,1,100,1040
1729244973.773376,348685,50649,1,BI,1,100,660
1729244974.049375,348961,50703,1,BI,1,100,270
1729244974.746371,349658,50819,1,BI,1,100,700
