LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1729244888.912786,263824.000,36882,4,EM,1,100,RS
1729244888.912786,263824.000,36882,4,EM,1,100,RB
1729244888.912786,263824.000,36882,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244888.912786,263824.000,36882,4,EM,1,100,PS
1729244888.963036,263874.250,36902,4,EM,1,100,RS
1729244889.013286,263924.500,36902,4,EM,1,100,RB
1729244889.063536,263974.750,36902,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244889.113785,264025.000,36902,4,EM,1,100,PS
1729244889.179535,264090.750,36936,4,EM,1,100,RS
1729244889.245285,264156.500,36936,4,EM,1,100,RB
1729244889.311034,264222.250,36936,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244889.376784,264288.000,36936,4,EM,1,100,PS
1729244889.427034,264338.250,36971,4,EM,1,100,RS
1729244889.477283,264388.500,36971,4,EM,1,100,RB
1729244889.527533,264438.750,36971,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244889.577783,264489.000,36971,4,EM,1,100,PS
1729244889.628033,264539.250,37003,4,EM,1,100,RS
1729244889.678282,264589.500,37003,4,EM,1,100,RB
1729244889.728532,264639.750,37003,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244889.778782,264690.000,37003,4,EM,1,100,PS
1729244889.829032,264740.250,37037,4,EM,1,100,RS
1729244889.879282,264790.500,37037,4,EM,1,100,RB
1729244889.929531,264840.750,37037,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244889.979781,264891.000,37037,4,EM,1,100,PS
1729244890.030031,264941.250,37070,4,EM,1,100,RS
1729244890.080281,264991.500,37070,4,EM,1,100,RB
1729244890.130530,265041.750,37070,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244890.180780,265092.000,37070,4,EM,1,100,PS
1729244890.231030,265142.250,37104,4,EM,1,100,RS
1729244890.281280,265192.500,37104,4,EM,1,100,RB
1729244890.331529,265242.750,37104,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244890.381779,265293.000,37104,4,EM,1,100,PS
1729244890.432779,265344.000,37135,4,EM,1,100,RS
1729244890.483779,265395.000,37135,4,EM,1,100,RB
1729244890.534778,265446.000,37135,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244890.585778,265497.000,37135,4,EM,1,100,PS
1729244890.635778,265547.000,37169,4,EM,1,100,RS
1729244890.685778,265597.000,37169,4,EM,1,100,RB
1729244890.735778,265647.000,37169,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244890.785777,265697.000,37169,4,EM,1,100,PS
1729244890.836027,265747.250,37201,4,EM,1,100,RS
1729244890.886277,265797.500,37201,4,EM,1,100,RB
1729244890.936527,265847.750,37201,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244890.986776,265898.000,37201,4,EM,1,100,PS
1729244891.037026,265948.250,37234,4,EM,1,100,RS
1729244891.087276,265998.500,37234,4,EM,1,100,RB
1729244891.137526,266048.750,37234,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244891.187775,266099.000,37234,4,EM,1,100,PS
1729244891.238025,266149.250,37268,4,EM,1,100,RS
1729244891.288275,266199.500,37268,4,EM,1,100,RB
1729244891.338525,266249.750,37268,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244891.388774,266300.000,37268,4,EM,1,100,PS
1729244891.440024,266351.250,37301,4,EM,1,100,RS
1729244891.491274,266402.500,37301,4,EM,1,100,RB
1729244891.542524,266453.750,37301,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244891.593773,266505.000,37301,4,EM,1,100,PS
1729244891.644023,266555.250,37334,4,EM,1,100,RS
1729244891.694273,266605.500,37334,4,EM,1,100,RB
1729244891.744523,266655.750,37334,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244891.794772,266706.000,37334,4,EM,1,100,PS
1729244891.845522,266756.750,37369,4,EM,1,100,RS
1729244891.896272,266807.500,37369,4,EM,1,100,RB
1729244891.947022,266858.250,37369,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244891.997772,266909.000,37369,4,EM,1,100,PS
1729244892.048271,266959.500,37402,4,EM,1,100,RS
1729244892.098771,267010.000,37402,4,EM,1,100,RB
1729244892.149271,267060.500,37402,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244892.199770,267111.000,37402,4,EM,1,100,PS
1729244892.250020,267161.250,37436,4,EM,1,100,RS
1729244892.300270,267211.500,37436,4,EM,1,100,RB
1729244892.350520,267261.750,37436,4,EM,1,100,2024-10-18_12-48-08-471817.csv
1729244892.400769,267312.000,37436,4,EM,1,100,PS
1729244892.451019,267362.250,37470,4,EM,1,100,RS
1729244892.501269,267412.500,37470,4,EM,1,100,RB
