LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1729244888.904786,263816.000,36885,3,PG,1,100,9444
1729244888.904786,263816.000,36885,3,PG,1,100,9462
1729244888.904786,263816.000,36885,3,PG,1,100,9451
1729244888.914514,263825.727,36889,11,PG,1,100,9447
1729244888.924241,263835.455,36889,11,PG,1,100,9473
1729244888.933968,263845.182,36889,11,PG,1,100,9432
1729244888.943695,263854.909,36889,11,PG,1,100,9449
1729244888.953423,263864.636,36889,11,PG,1,100,9454
1729244888.963150,263874.364,36889,11,PG,1,100,9467
1729244888.972877,263884.091,36889,11,PG,1,100,9471
1729244888.982604,263893.818,36889,11,PG,1,100,9435
1729244888.992331,263903.545,36889,11,PG,1,100,9416
1729244889.002059,263913.273,36889,11,PG,1,100,9449
1729244889.011786,263923.000,36889,11,PG,1,100,9449
1729244889.022486,263933.700,36905,10,PG,1,100,9430
1729244889.033186,263944.400,36905,10,PG,1,100,9429
1729244889.043886,263955.100,36905,10,PG,1,100,9449
1729244889.054586,263965.800,36905,10,PG,1,100,9460
1729244889.065286,263976.500,36905,10,PG,1,100,9425
1729244889.075985,263987.200,36905,10,PG,1,100,9438
1729244889.086685,263997.900,36905,10,PG,1,100,9426
1729244889.097385,264008.600,36905,10,PG,1,100,9418
1729244889.108085,264019.300,36905,10,PG,1,100,9436
1729244889.118785,264030.000,36905,10,PG,1,100,9424
1729244889.128085,264039.300,36922,10,PG,1,100,9433
1729244889.137385,264048.600,36922,10,PG,1,100,9452
1729244889.146685,264057.900,36922,10,PG,1,100,9435
1729244889.155985,264067.200,36922,10,PG,1,100,9443
1729244889.165285,264076.500,36922,10,PG,1,100,9440
1729244889.174585,264085.800,36922,10,PG,1,100,9412
1729244889.183885,264095.100,36922,10,PG,1,100,9450
1729244889.193185,264104.400,36922,10,PG,1,100,9450
1729244889.202485,264113.700,36922,10,PG,1,100,9428
1729244889.211785,264123.000,36922,10,PG,1,100,9444
1729244889.221847,264133.062,36941,16,PG,1,100,9446
1729244889.231910,264143.125,36941,16,PG,1,100,9428
1729244889.241972,264153.188,36941,16,PG,1,100,9465
1729244889.252035,264163.250,36941,16,PG,1,100,9435
1729244889.262097,264173.312,36941,16,PG,1,100,9458
1729244889.272160,264183.375,36941,16,PG,1,100,9444
1729244889.282222,264193.438,36941,16,PG,1,100,9452
1729244889.292284,264203.500,36941,16,PG,1,100,9443
1729244889.302347,264213.562,36941,16,PG,1,100,9458
1729244889.312409,264223.625,36941,16,PG,1,100,9457
1729244889.322472,264233.688,36941,16,PG,1,100,9449
1729244889.332534,264243.750,36941,16,PG,1,100,9471
1729244889.342597,264253.812,36941,16,PG,1,100,9442
1729244889.352659,264263.875,36941,16,PG,1,100,9418
1729244889.362722,264273.938,36941,16,PG,1,100,9475
1729244889.372784,264284.000,36941,16,PG,1,100,9462
1729244889.383384,264294.600,36957,10,PG,1,100,9463
1729244889.393984,264305.200,36957,10,PG,1,100,9484
1729244889.404584,264315.800,36957,10,PG,1,100,9444
1729244889.415184,264326.400,36957,10,PG,1,100,9452
1729244889.425784,264337.000,36957,10,PG,1,100,9471
1729244889.436384,264347.600,36957,10,PG,1,100,9477
1729244889.446984,264358.200,36957,10,PG,1,100,9477
1729244889.457584,264368.800,36957,10,PG,1,100,9468
1729244889.468184,264379.400,36957,10,PG,1,100,9467
1729244889.478784,264390.000,36957,10,PG,1,100,9450
1729244889.488084,264399.300,36975,10,PG,1,100,9493
1729244889.497384,264408.600,36975,10,PG,1,100,9465
1729244889.506683,264417.900,36975,10,PG,1,100,9470
1729244889.515983,264427.200,36975,10,PG,1,100,9478
1729244889.525283,264436.500,36975,10,PG,1,100,9465
1729244889.534583,264445.800,36975,10,PG,1,100,9494
1729244889.543883,264455.100,36975,10,PG,1,100,9473
1729244889.553183,264464.400,36975,10,PG,1,100,9509
1729244889.562483,264473.700,36975,10,PG,1,100,9505
1729244889.571783,264483.000,36975,10,PG,1,100,9509
1729244889.582483,264493.700,36990,10,PG,1,100,9497
1729244889.593183,264504.400,36990,10,PG,1,100,9506
1729244889.603883,264515.100,36990,10,PG,1,100,9505
1729244889.614583,264525.800,36990,10,PG,1,100,9472
1729244889.625283,264536.500,36990,10,PG,1,100,9468
1729244889.635983,264547.200,36990,10,PG,1,100,9491
1729244889.646683,264557.900,36990,10,PG,1,100,9508
1729244889.657383,264568.600,36990,10,PG,1,100,9468
