LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1729244888.904786,263816.000,36883,3,PI,1,100,157314
1729244888.904786,263816.000,36883,3,PI,1,100,157328
1729244888.904786,263816.000,36883,3,PI,1,100,157304
1729244888.914514,263825.727,36887,11,PI,1,100,157306
1729244888.924241,263835.455,36887,11,PI,1,100,157300
1729244888.933968,263845.182,36887,11,PI,1,100,157266
1729244888.943695,263854.909,36887,11,PI,1,100,157279
1729244888.953423,263864.636,36887,11,PI,1,100,157287
1729244888.963150,263874.364,36887,11,PI,1,100,157279
1729244888.972877,263884.091,36887,11,PI,1,100,157292
1729244888.982604,263893.818,36887,11,PI,1,100,157255
1729244888.992331,263903.545,36887,11,PI,1,100,157258
1729244889.002059,263913.273,36887,11,PI,1,100,157252
1729244889.011786,263923.000,36887,11,PI,1,100,157266
1729244889.022486,263933.700,36903,10,PI,1,100,157259
1729244889.033186,263944.400,36903,10,PI,1,100,157235
1729244889.043886,263955.100,36903,10,PI,1,100,157259
1729244889.054586,263965.800,36903,10,PI,1,100,157241
1729244889.065286,263976.500,36903,10,PI,1,100,157257
1729244889.075985,263987.200,36903,10,PI,1,100,157238
1729244889.086685,263997.900,36903,10,PI,1,100,157228
1729244889.097385,264008.600,36903,10,PI,1,100,157247
1729244889.108085,264019.300,36903,10,PI,1,100,157264
1729244889.118785,264030.000,36903,10,PI,1,100,157239
1729244889.128085,264039.300,36920,10,PI,1,100,157297
1729244889.137385,264048.600,36920,10,PI,1,100,157264
1729244889.146685,264057.900,36920,10,PI,1,100,157288
1729244889.155985,264067.200,36920,10,PI,1,100,157276
1729244889.165285,264076.500,36920,10,PI,1,100,157283
1729244889.174585,264085.800,36920,10,PI,1,100,157281
1729244889.183885,264095.100,36920,10,PI,1,100,157295
1729244889.193185,264104.400,36920,10,PI,1,100,157303
1729244889.202485,264113.700,36920,10,PI,1,100,157265
1729244889.211785,264123.000,36920,10,PI,1,100,157269
1729244889.221847,264133.062,36939,16,PI,1,100,157310
1729244889.231910,264143.125,36939,16,PI,1,100,157295
1729244889.241972,264153.188,36939,16,PI,1,100,157320
1729244889.252035,264163.250,36939,16,PI,1,100,157318
1729244889.262097,264173.312,36939,16,PI,1,100,157309
1729244889.272160,264183.375,36939,16,PI,1,100,157321
1729244889.282222,264193.438,36939,16,PI,1,100,157303
1729244889.292284,264203.500,36939,16,PI,1,100,157305
1729244889.302347,264213.562,36939,16,PI,1,100,157329
1729244889.312409,264223.625,36939,16,PI,1,100,157340
1729244889.322472,264233.688,36939,16,PI,1,100,157313
1729244889.332534,264243.750,36939,16,PI,1,100,157293
1729244889.342597,264253.812,36939,16,PI,1,100,157335
1729244889.352659,264263.875,36939,16,PI,1,100,157330
1729244889.362722,264273.938,36939,16,PI,1,100,157319
1729244889.372784,264284.000,36939,16,PI,1,100,157365
1729244889.383384,264294.600,36955,10,PI,1,100,157347
1729244889.393984,264305.200,36955,10,PI,1,100,157357
1729244889.404584,264315.800,36955,10,PI,1,100,157314
1729244889.415184,264326.400,36955,10,PI,1,100,157312
1729244889.425784,264337.000,36955,10,PI,1,100,157353
1729244889.436384,264347.600,36955,10,PI,1,100,157367
1729244889.446984,264358.200,36955,10,PI,1,100,157360
1729244889.457584,264368.800,36955,10,PI,1,100,157357
1729244889.468184,264379.400,36955,10,PI,1,100,157373
1729244889.478784,264390.000,36955,10,PI,1,100,157353
1729244889.488084,264399.300,36973,10,PI,1,100,157366
1729244889.497384,264408.600,36973,10,PI,1,100,157383
1729244889.506683,264417.900,36973,10,PI,1,100,157392
1729244889.515983,264427.200,36973,10,PI,1,100,157416
1729244889.525283,264436.500,36973,10,PI,1,100,157396
1729244889.534583,264445.800,36973,10,PI,1,100,157409
1729244889.543883,264455.100,36973,10,PI,1,100,157406
1729244889.553183,264464.400,36973,10,PI,1,100,157386
1729244889.562483,264473.700,36973,10,PI,1,100,157405
1729244889.571783,264483.000,36973,10,PI,1,100,157422
1729244889.582483,264493.700,36988,10,PI,1,100,157404
1729244889.593183,264504.400,36988,10,PI,1,100,157406
1729244889.603883,264515.100,36988,10,PI,1,100,157382
1729244889.614583,264525.800,36988,10,PI,1,100,157347
1729244889.625283,264536.500,36988,10,PI,1,100,157315
1729244889.635983,264547.200,36988,10,PI,1,100,157320
1729244889.646683,264557.900,36988,10,PI,1,100,157315
1729244889.657383,264568.600,36988,10,PI,1,100,157278
1729244889.668083,264579.300,36988,10,PI,1,100,157272
1729244889.678783,264590.000,36988,10,PI,1,100,157251
1729244889.688510,264599.727,37004,11,PI,1,100,157236
1729244889.698237,264609.455,37004,11,PI,1,100,157254
1729244889.707964,264619.182,37004,11,PI,1,100,157244
1729244889.717691,264628.909,37004,11,PI,1,100,157253
1729244889.727419,264638.636,37004,11,PI,1,100,157199
1729244889.737146,264648.364,37004,11,PI,1,100,157249
1729244889.746873,264658.091,37004,11,PI,1,100,157235
1729244889.756600,264667.818,37004,11,PI,1,100,157268
1729244889.766328,264677.545,37004,11,PI,1,100,157264
1729244889.776055,264687.273,37004,11,PI,1,100,157296
1729244889.785782,264697.000,37004,11,PI,1,100,157280
1729244889.796115,264707.333,37021,9,PI,1,100,157295
1729244889.806449,264717.667,37021,9,PI,1,100,157272
1729244889.816782,264728.000,37021,9,PI,1,100,157315
1729244889.827115,264738.333,37021,9,PI,1,100,157305
1729244889.837449,264748.667,37021,9,PI,1,100,157316
1729244889.847782,264759.000,37021,9,PI,1,100,157313
1729244889.858115,264769.333,37021,9,PI,1,100,157330
1729244889.868448,264779.667,37021,9,PI,1,100,157307
1729244889.878782,264790.000,37021,9,PI,1,100,157325
1729244889.888509,264799.727,37040,11,PI,1,100,157332
1729244889.898236,264809.455,37040,11,PI,1,100,157339
1729244889.907963,264819.182,37040,11,PI,1,100,157346
1729244889.917691,264828.909,37040,11,PI,1,100,157341
1729244889.927418,264838.636,37040,11,PI,1,100,157335
1729244889.937145,264848.364,37040,11,PI,1,100,157329
1729244889.946872,264858.091,37040,11,PI,1,100,157327
1729244889.956599,264867.818,37040,11,PI,1,100,157346
1729244889.966327,264877.545,37040,11,PI,1,100,157314
1729244889.976054,264887.273,37040,11,PI,1,100,157347
1729244889.985781,264897.000,37040,11,PI,1,100,157323
1729244889.996381,264907.600,37056,10,PI,1,100,157349
1729244890.006981,264918.200,37056,10,PI,1,100,157339
1729244890.017581,264928.800,37056,10,PI,1,100,157349
1729244890.028181,264939.400,37056,10,PI,1,100,157351
1729244890.038781,264950.000,37056,10,PI,1,100,157364
1729244890.049381,264960.600,37056,10,PI,1,100,157341
1729244890.059981,264971.200,37056,10,PI,1,100,157376
1729244890.070581,264981.800,37056,10,PI,1,100,157378
1729244890.081181,264992.400,37056,10,PI,1,100,157369
