LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1729244888.904786,263816.000,36884,3,PR,1,100,150600
1729244888.904786,263816.000,36884,3,PR,1,100,150610
1729244888.904786,263816.000,36884,3,PR,1,100,150600
1729244888.914514,263825.727,36888,11,PR,1,100,150586
1729244888.924241,263835.455,36888,11,PR,1,100,150621
1729244888.933968,263845.182,36888,11,PR,1,100,150585
1729244888.943695,263854.909,36888,11,PR,1,100,150594
1729244888.953423,263864.636,36888,11,PR,1,100,150623
1729244888.963150,263874.364,36888,11,PR,1,100,150605
1729244888.972877,263884.091,36888,11,PR,1,100,150593
1729244888.982604,263893.818,36888,11,PR,1,100,150576
1729244888.992331,263903.545,36888,11,PR,1,100,150577
1729244889.002059,263913.273,36888,11,PR,1,100,150559
1729244889.011786,263923.000,36888,11,PR,1,100,150584
1729244889.022486,263933.700,36904,10,PR,1,100,150581
1729244889.033186,263944.400,36904,10,PR,1,100,150561
1729244889.043886,263955.100,36904,10,PR,1,100,150585
1729244889.054586,263965.800,36904,10,PR,1,100,150552
1729244889.065286,263976.500,36904,10,PR,1,100,150599
1729244889.075985,263987.200,36904,10,PR,1,100,150555
1729244889.086685,263997.900,36904,10,PR,1,100,150563
1729244889.097385,264008.600,36904,10,PR,1,100,150565
1729244889.108085,264019.300,36904,10,PR,1,100,150587
1729244889.118785,264030.000,36904,10,PR,1,100,150592
1729244889.128085,264039.300,36921,10,PR,1,100,150579
1729244889.137385,264048.600,36921,10,PR,1,100,150618
1729244889.146685,264057.900,36921,10,PR,1,100,150593
1729244889.155985,264067.200,36921,10,PR,1,100,150588
1729244889.165285,264076.500,36921,10,PR,1,100,150619
1729244889.174585,264085.800,36921,10,PR,1,100,150605
1729244889.183885,264095.100,36921,10,PR,1,100,150593
1729244889.193185,264104.400,36921,10,PR,1,100,150618
1729244889.202485,264113.700,36921,10,PR,1,100,150569
1729244889.211785,264123.000,36921,10,PR,1,100,150613
1729244889.221847,264133.062,36940,16,PR,1,100,150598
1729244889.231910,264143.125,36940,16,PR,1,100,150584
1729244889.241972,264153.188,36940,16,PR,1,100,150637
1729244889.252035,264163.250,36940,16,PR,1,100,150582
1729244889.262097,264173.312,36940,16,PR,1,100,150627
1729244889.272160,264183.375,36940,16,PR,1,100,150626
1729244889.282222,264193.438,36940,16,PR,1,100,150603
1729244889.292284,264203.500,36940,16,PR,1,100,150579
1729244889.302347,264213.562,36940,16,PR,1,100,150618
1729244889.312409,264223.625,36940,16,PR,1,100,150633
1729244889.322472,264233.688,36940,16,PR,1,100,150611
1729244889.332534,264243.750,36940,16,PR,1,100,150602
1729244889.342597,264253.812,36940,16,PR,1,100,150616
1729244889.352659,264263.875,36940,16,PR,1,100,150616
1729244889.362722,264273.938,36940,16,PR,1,100,150623
