LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1729244893.494764,268406.000,37621,2,RD,1,100,TL
1729244893.494764,268406.000,37621,2,RD,1,100,TU
1729244896.057252,270968.500,38455,2,RD,1,100,TL
1729244898.619739,273531.000,38455,2,RD,1,100,TU
1729244901.189227,276100.500,39288,2,RD,1,100,TL
1729244903.758714,278670.000,39288,2,RD,1,100,TU
1729244906.324202,281235.500,40121,2,RD,1,100,TL
1729244908.889690,283801.000,40121,2,RD,1,100,TU
1729244911.456677,286368.000,40958,2,RD,1,100,TL
1729244914.023665,288935.000,40958,2,RD,1,100,TU
1729244916.592653,291504.000,41793,2,RD,1,100,TL
1729244919.161640,294073.000,41793,2,RD,1,100,TU
1729244921.715128,296626.500,42612,2,RD,1,100,TL
1729244924.268615,299180.000,42612,2,RD,1,100,TU
1729244926.839603,301751.000,43448,2,RD,1,100,TL
1729244929.410590,304322.000,43448,2,RD,1,100,TU
1729244931.979578,306891.000,44281,2,RD,1,100,TL
1729244934.548566,309460.000,44281,2,RD,1,100,TU
1729244937.119053,312030.500,45117,2,RD,1,100,TL
1729244939.689541,314601.000,45117,2,RD,1,100,TU
1729244942.256028,317167.500,45951,2,RD,1,100,TL
1729244944.822516,319734.000,45951,2,RD,1,100,TU
1729244947.389004,322300.500,46787,2,RD,1,100,TL
1729244949.955491,324867.000,46787,2,RD,1,100,TU
1729244952.509479,327421.000,47606,2,RD,1,100,TL
1729244955.063467,329975.000,47606,2,RD,1,100,TU
1729244957.628954,332540.500,48442,2,RD,1,100,TL
1729244960.194442,335106.000,48442,2,RD,1,100,TU
1729244962.761929,337673.500,49278,2,RD,1,100,TL
1729244965.329417,340241.000,49278,2,RD,1,100,TU
1729244967.889904,342801.500,50115,2,RD,1,100,TL
1729244970.450392,345362.000,50115,2,RD,1,100,TU
1729244973.022380,347934.000,50953,2,RD,1,100,TL
1729244975.594367,350506.000,50953,2,RD,1,100,TU
1729244978.160855,353072.500,51789,2,RD,1,100,TL
1729244980.727342,355639.000,51789,2,RD,1,100,TU
1729244983.281830,358193.500,52606,2,RD,1,100,TL
1729244985.836318,360748.000,52606,2,RD,1,100,TU
1729244988.408805,363320.500,53444,2,RD,1,100,TL
1729244990.981293,365893.000,53444,2,RD,1,100,TU
1729244993.541281,368453.000,54275,2,RD,1,100,TL
1729244996.101268,371013.000,54275,2,RD,1,100,TU
1729244998.666256,373578.000,55115,2,RD,1,100,TL
1729245001.231243,376143.000,55115,2,RD,1,100,TU
1729245003.796731,378708.500,55950,2,RD,1,100,TL
1729245006.362219,381274.000,55950,2,RD,1,100,TU
1729245008.932206,383844.000,56787,2,RD,1,100,TL
1729245011.502194,386414.000,56787,2,RD,1,100,TU
1729245014.067681,388979.500,57607,2,RD,1,100,TL
1729245016.633169,391545.000,57607,2,RD,1,100,TU
1729245019.199656,394111.500,58446,2,RD,1,100,TL
1729245021.766144,396678.000,58446,2,RD,1,100,TU
1729245024.332632,399244.500,59284,2,RD,1,100,TL
1729245026.899119,401811.000,59284,2,RD,1,100,TU
1729245029.468107,404380.000,60125,2,RD,1,100,TL
1729245032.037094,406949.000,60125,2,RD,1,100,TU
1729245034.604582,409516.500,60962,2,RD,1,100,TL
1729245037.172070,412084.000,60962,2,RD,1,100,TU
1729245039.734557,414646.500,61800,2,RD,1,100,TL
1729245042.297045,417209.000,61800,2,RD,1,100,TU
1729245044.863032,419775.000,62621,2,RD,1,100,TL
1729245047.429020,422341.000,62621,2,RD,1,100,TU
1729245049.995507,424907.500,63459,2,RD,1,100,TL
1729245052.561995,427474.000,63459,2,RD,1,100,TU
