LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1729244888.925786,263837.000,36892,1,TH,1,100,24.125
1729244889.058786,263970.000,36909,1,TH,1,100,24.125
1729244889.191785,264103.000,36926,1,TH,1,100,24.049
1729244889.324784,264236.000,36945,1,TH,1,100,24.049
1729244889.458784,264370.000,36961,1,TH,1,100,24.062
1729244889.591783,264503.000,36993,1,TH,1,100,24.069
1729244889.725782,264637.000,37010,1,TH,1,100,24.151
1729244889.858782,264770.000,37027,1,TH,1,100,24.151
1729244889.991781,264903.000,37046,1,TH,1,100,24.106
1729244890.124780,265036.000,37078,1,TH,1,100,24.106
1729244890.258780,265170.000,37094,1,TH,1,100,24.153
1729244890.391779,265303.000,37111,1,TH,1,100,24.153
1729244890.524779,265436.000,37143,1,TH,1,100,24.085
1729244890.658778,265570.000,37159,1,TH,1,100,24.085
1729244890.791777,265703.000,37176,1,TH,1,100,24.174
1729244890.924777,265836.000,37208,1,TH,1,100,24.174
1729244891.058776,265970.000,37224,1,TH,1,100,24.235
1729244891.191775,266103.000,37244,1,TH,1,100,24.235
1729244891.324775,266236.000,37275,1,TH,1,100,24.092
1729244891.458774,266370.000,37291,1,TH,1,100,24.092
1729244891.591773,266503.000,37309,1,TH,1,100,24.077
1729244891.724773,266636.000,37340,1,TH,1,100,24.084
1729244891.858772,266770.000,37359,1,TH,1,100,24.152
1729244891.991771,266903.000,37376,1,TH,1,100,24.152
1729244892.124771,267036.000,37392,1,TH,1,100,24.139
1729244892.258770,267170.000,37426,1,TH,1,100,24.139
1729244892.391769,267303.000,37443,1,TH,1,100,24.131
1729244892.524769,267436.000,37460,1,TH,1,100,24.131
1729244892.658768,267570.000,37491,1,TH,1,100,24.157
1729244892.791768,267703.000,37508,1,TH,1,100,24.158
1729244892.924767,267836.000,37525,1,TH,1,100,24.057
1729244893.058766,267970.000,37558,1,TH,1,100,24.057
1729244893.191766,268103.000,37576,1,TH,1,100,24.157
1729244893.324765,268236.000,37594,1,TH,1,100,24.158
1729244893.458264,268369.500,37631,2,TH,1,100,24.144
1729244893.591764,268503.000,37631,2,TH,1,100,24.144
1729244893.724763,268636.000,37662,1,TH,1,100,24.133
1729244893.857762,268769.000,37682,1,TH,1,100,24.141
1729244893.991762,268903.000,37698,1,TH,1,100,24.075
1729244894.124761,269036.000,37730,1,TH,1,100,24.075
1729244894.257761,269169.000,37747,1,TH,1,100,24.127
1729244894.391760,269303.000,37763,1,TH,1,100,24.127
1729244894.524759,269436.000,37795,1,TH,1,100,24.085
1729244894.657758,269569.000,37812,1,TH,1,100,24.085
1729244894.791758,269703.000,37828,1,TH,1,100,24.106
1729244894.924757,269836.000,37846,1,TH,1,100,24.106
1729244895.057757,269969.000,37879,1,TH,1,100,24.080
1729244895.191756,270103.000,37896,1,TH,1,100,24.080
1729244895.324755,270236.000,37913,1,TH,1,100,24.116
1729244895.457755,270369.000,37945,1,TH,1,100,24.116
1729244895.591754,270503.000,37961,1,TH,1,100,24.185
1729244895.724753,270636.000,37978,1,TH,1,100,24.192
1729244895.857753,270769.000,38010,1,TH,1,100,24.273
1729244895.990752,270902.000,38026,1,TH,1,100,24.266
1729244896.124751,271036.000,38043,1,TH,1,100,24.095
1729244896.257751,271169.000,38077,1,TH,1,100,24.102
1729244896.391750,271303.000,38093,1,TH,1,100,24.094
1729244896.524750,271436.000,38111,1,TH,1,100,24.094
1729244896.657749,271569.000,38144,1,TH,1,100,24.145
1729244896.790748,271702.000,38161,1,TH,1,100,24.145
1729244896.924747,271836.000,38178,1,TH,1,100,24.231
1729244897.057747,271969.000,38194,1,TH,1,100,24.231
1729244897.190746,272102.000,38226,1,TH,1,100,24.205
1729244897.324746,272236.000,38243,1,TH,1,100,24.205
1729244897.457745,272369.000,38259,1,TH,1,100,24.266
1729244897.590744,272502.000,38291,1,TH,1,100,24.266
