LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1729244893.491764,268403.000,37619,1,TL,1,100,2024-10-18_12-48-08-530462
1729244893.500764,268412.000,37622,1,TL,1,100,2024-10-18_12-48-13-497764
1729244898.617739,273529.000,38453,1,TL,1,100,2024-10-18_12-48-13-640740
1729244898.629739,273541.000,38456,1,TL,1,100,2024-10-18_12-48-18-623864
1729244903.752715,278664.000,39286,1,TL,1,100,2024-10-18_12-48-18-755943
1729244903.764714,278676.000,39289,1,TL,1,100,2024-10-18_12-48-23-761764
1729244908.884690,283796.000,40119,1,TL,1,100,2024-10-18_12-48-23-897814
1729244908.898690,283810.000,40122,1,TL,1,100,2024-10-18_12-48-28-894628
1729244914.018665,288930.000,40956,1,TL,1,100,2024-10-18_12-48-29-031633
1729244914.032665,288944.000,40959,1,TL,1,100,2024-10-18_12-48-34-028557
1729244919.158640,294070.000,41791,1,TL,1,100,2024-10-18_12-48-34-163599
1729244919.171640,294083.000,41794,1,TL,1,100,2024-10-18_12-48-39-168546
1729244924.266615,299178.000,42610,1,TL,1,100,2024-10-18_12-48-39-299311
1729244924.278615,299190.000,42613,1,TL,1,100,2024-10-18_12-48-44-275156
1729244929.408591,304320.000,43446,1,TL,1,100,2024-10-18_12-48-44-411192
1729244929.422590,304334.000,43449,1,TL,1,100,2024-10-18_12-48-49-416074
1729244934.546566,309458.000,44279,1,TL,1,100,2024-10-18_12-48-49-552160
1729244934.559566,309471.000,44282,1,TL,1,100,2024-10-18_12-48-54-555218
1729244939.683541,314595.000,45115,1,TL,1,100,2024-10-18_12-48-54-687209
1729244939.708541,314620.000,45118,1,TL,1,100,2024-10-18_12-48-59-705808
1729244944.819516,319731.000,45949,1,TL,1,100,2024-10-18_12-48-59-826799
1729244944.829516,319741.000,45952,1,TL,1,100,2024-10-18_12-49-04-826492
1729244949.953491,324865.000,46785,1,TL,1,100,2024-10-18_12-49-04-960472
1729244949.968491,324880.000,46788,1,TL,1,100,2024-10-18_12-49-09-965760
1729244955.060467,329972.000,47604,1,TL,1,100,2024-10-18_12-49-10-092838
1729244955.073467,329985.000,47607,1,TL,1,100,2024-10-18_12-49-15-068069
1729244960.192442,335104.000,48440,1,TL,1,100,2024-10-18_12-49-15-209127
1729244960.206442,335118.000,48443,1,TL,1,100,2024-10-18_12-49-20-200902
1729244965.327417,340239.000,49276,1,TL,1,100,2024-10-18_12-49-20-333589
1729244965.339417,340251.000,49279,1,TL,1,100,2024-10-18_12-49-25-335936
1729244970.448392,345360.000,50113,1,TL,1,100,2024-10-18_12-49-25-471033
1729244970.460392,345372.000,50116,1,TL,1,100,2024-10-18_12-49-30-457355
1729244975.592367,350504.000,50951,1,TL,1,100,2024-10-18_12-49-30-584546
1729244975.604367,350516.000,50954,1,TL,1,100,2024-10-18_12-49-35-598432
1729244980.724342,355636.000,51787,1,TL,1,100,2024-10-18_12-49-35-735470
1729244980.737342,355649.000,51790,1,TL,1,100,2024-10-18_12-49-40-730740
1729244985.832318,360744.000,52604,1,TL,1,100,2024-10-18_12-49-40-863775
1729244985.843318,360755.000,52607,1,TL,1,100,2024-10-18_12-49-45-840421
1729244990.979293,365891.000,53442,1,TL,1,100,2024-10-18_12-49-45-973466
1729244990.989293,365901.000,53445,1,TL,1,100,2024-10-18_12-49-50-985503
1729244996.098268,371010.000,54273,1,TL,1,100,2024-10-18_12-49-51-116546
1729244996.109268,371021.000,54276,1,TL,1,100,2024-10-18_12-49-56-105846
1729245001.229243,376141.000,55113,1,TL,1,100,2024-10-18_12-49-56-235862
1729245001.242243,376154.000,55116,1,TL,1,100,2024-10-18_12-50-01-238468
1729245006.360219,381272.000,55948,1,TL,1,100,2024-10-18_12-50-01-369482
1729245006.375218,381287.000,55951,1,TL,1,100,2024-10-18_12-50-06-369901
1729245011.500194,386412.000,56785,1,TL,1,100,2024-10-18_12-50-06-506931
1729245011.510194,386422.000,56788,1,TL,1,100,2024-10-18_12-50-11-507438
1729245016.631169,391543.000,57605,1,TL,1,100,2024-10-18_12-50-11-640465
1729245016.641169,391553.000,57608,1,TL,1,100,2024-10-18_12-50-16-638653
1729245021.764144,396676.000,58444,1,TL,1,100,2024-10-18_12-50-16-778406
1729245021.773144,396685.000,58447,1,TL,1,100,2024-10-18_12-50-21-769644
1729245026.897119,401809.000,59282,1,TL,1,100,2024-10-18_12-50-21-903689
1729245026.913119,401825.000,59285,1,TL,1,100,2024-10-18_12-50-26-905970
1729245032.032094,406944.000,60123,1,TL,1,100,2024-10-18_12-50-27-037993
1729245032.045094,406957.000,60126,1,TL,1,100,2024-10-18_12-50-32-042343
1729245037.166070,412078.000,60960,1,TL,1,100,2024-10-18_12-50-32-178040
1729245037.184069,412096.000,60963,1,TL,1,100,2024-10-18_12-50-37-176062
1729245042.295045,417207.000,61798,1,TL,1,100,2024-10-18_12-50-37-318080
1729245042.311045,417223.000,61801,1,TL,1,100,2024-10-18_12-50-42-308754
1729245047.426020,422338.000,62619,1,TL,1,100,2024-10-18_12-50-42-438747
1729245047.438020,422350.000,62622,1,TL,1,100,2024-10-18_12-50-47-434541
1729245052.559995,427472.000,63457,1,TL,1,100,2024-10-18_12-50-47-567530
1729245052.570995,427483.000,63460,1,TL,1,100,2024-10-18_12-50-52-568688
