LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1713787995.550964,121907.000,18005,3,PI,1,100,151262
1713787995.550964,121907.000,18005,3,PI,1,100,151296
1713787995.550964,121907.000,18005,3,PI,1,100,151326
1713787995.590965,121947.000,18025,2,PI,1,100,151336
1713787995.630965,121987.000,18025,2,PI,1,100,151362
1713787995.670966,122027.000,18040,3,PI,1,100,151365
1713787995.710966,122067.000,18040,3,PI,1,100,151392
1713787995.750967,122107.000,18040,3,PI,1,100,151405
1713787995.790967,122147.000,18056,2,PI,1,100,151412
1713787995.830968,122187.000,18056,2,PI,1,100,151428
1713787995.870968,122227.000,18073,3,PI,1,100,151418
1713787995.910969,122267.000,18073,3,PI,1,100,151414
1713787995.950969,122307.000,18073,3,PI,1,100,151400
1713787995.990970,122347.000,18090,2,PI,1,100,151370
1713787996.030970,122387.000,18090,2,PI,1,100,151347
1713787996.070971,122427.000,18106,4,PI,1,100,151333
1713787996.110971,122467.000,18106,4,PI,1,100,151334
1713787996.150972,122507.000,18106,4,PI,1,100,151328
1713787996.190972,122547.000,18106,4,PI,1,100,151343
1713787996.230973,122587.000,18124,3,PI,1,100,151361
1713787996.270973,122627.000,18124,3,PI,1,100,151357
1713787996.310974,122667.000,18124,3,PI,1,100,151363
1713787996.350974,122707.000,18142,2,PI,1,100,151364
1713787996.390975,122747.000,18142,2,PI,1,100,151365
1713787996.430975,122787.000,18159,3,PI,1,100,151366
1713787996.470976,122827.000,18159,3,PI,1,100,151357
1713787996.510977,122867.000,18159,3,PI,1,100,151363
1713787996.550977,122907.000,18176,2,PI,1,100,151410
1713787996.590977,122947.000,18176,2,PI,1,100,151417
1713787996.630978,122987.000,18193,3,PI,1,100,151387
1713787996.670979,123027.000,18193,3,PI,1,100,151378
1713787996.710979,123067.000,18193,3,PI,1,100,151378
1713787996.750980,123107.000,18208,2,PI,1,100,151384
1713787996.790980,123147.000,18208,2,PI,1,100,151371
1713787996.830981,123187.000,18227,3,PI,1,100,151398
1713787996.870981,123227.000,18227,3,PI,1,100,151387
1713787996.910982,123267.000,18227,3,PI,1,100,151372
1713787996.950982,123307.000,18243,2,PI,1,100,151388
1713787996.990983,123347.000,18243,2,PI,1,100,151407
1713787997.035650,123391.667,18260,3,PI,1,100,151412
1713787997.080317,123436.333,18260,3,PI,1,100,151418
1713787997.124984,123481.000,18260,3,PI,1,100,151402
1713787997.164985,123521.000,18276,2,PI,1,100,151372
1713787997.204985,123561.000,18276,2,PI,1,100,151366
1713787997.244986,123601.000,18292,3,PI,1,100,151390
1713787997.284986,123641.000,18292,3,PI,1,100,151369
1713787997.324987,123681.000,18292,3,PI,1,100,151360
1713787997.364987,123721.000,18313,3,PI,1,100,151356
1713787997.404988,123761.000,18313,3,PI,1,100,151358
1713787997.444988,123801.000,18313,3,PI,1,100,151348
1713787997.484989,123841.000,18332,2,PI,1,100,151345
1713787997.524990,123881.000,18332,2,PI,1,100,151353
1713787997.564657,123920.667,18349,3,PI,1,100,151370
1713787997.604324,123960.333,18349,3,PI,1,100,151369
1713787997.643991,124000.000,18349,3,PI,1,100,151371
1713787997.683991,124040.000,18365,2,PI,1,100,151353
1713787997.723992,124080.000,18365,2,PI,1,100,151350
1713787997.763993,124120.000,18380,3,PI,1,100,151349
1713787997.803993,124160.000,18380,3,PI,1,100,151338
1713787997.843994,124200.000,18380,3,PI,1,100,151341
1713787997.884494,124240.500,18398,2,PI,1,100,151345
1713787997.924995,124281.000,18398,2,PI,1,100,151356
1713787997.964662,124320.667,18414,3,PI,1,100,151388
1713787998.004329,124360.333,18414,3,PI,1,100,151397
1713787998.043996,124400.000,18414,3,PI,1,100,151402
1713787998.083997,124440.000,18432,2,PI,1,100,151418
1713787998.123997,124480.000,18432,2,PI,1,100,151404
1713787998.163998,124520.000,18448,3,PI,1,100,151412
1713787998.203998,124560.000,18448,3,PI,1,100,151421
1713787998.243999,124600.000,18448,3,PI,1,100,151427
1713787998.283999,124640.000,18465,2,PI,1,100,151426
1713787998.324000,124680.000,18465,2,PI,1,100,151418
1713787998.364000,124720.000,18481,3,PI,1,100,151412
1713787998.404001,124760.000,18481,3,PI,1,100,151397
1713787998.444001,124800.000,18481,3,PI,1,100,151394
1713787998.484002,124840.000,18498,2,PI,1,100,151387
1713787998.524002,124880.000,18498,2,PI,1,100,151400
1713787998.564003,124920.000,18513,3,PI,1,100,151383
1713787998.604003,124960.000,18513,3,PI,1,100,151387
1713787998.644004,125000.000,18513,3,PI,1,100,151385
1713787998.684004,125040.000,18530,3,PI,1,100,151385
1713787998.724005,125080.000,18530,3,PI,1,100,151379
1713787998.764005,125120.000,18530,3,PI,1,100,151390
1713787998.804006,125160.000,18546,2,PI,1,100,151390
1713787998.844007,125200.000,18546,2,PI,1,100,151397
1713787998.884007,125240.000,18566,3,PI,1,100,151386
1713787998.924007,125280.000,18566,3,PI,1,100,151390
1713787998.964008,125320.000,18566,3,PI,1,100,151389
1713787999.004009,125360.000,18580,2,PI,1,100,151415
1713787999.044009,125400.000,18580,2,PI,1,100,151412
1713787999.084009,125440.000,18597,3,PI,1,100,151407
1713787999.124010,125480.000,18597,3,PI,1,100,151429
1713787999.164011,125520.000,18597,3,PI,1,100,151424
1713787999.204011,125560.000,18614,2,PI,1,100,151406
1713787999.244012,125600.000,18614,2,PI,1,100,151447
1713787999.284012,125640.000,18631,3,PI,1,100,151447
1713787999.324013,125680.000,18631,3,PI,1,100,151430
1713787999.364013,125720.000,18631,3,PI,1,100,151458
1713787999.404014,125760.000,18645,2,PI,1,100,151455
1713787999.444014,125800.000,18645,2,PI,1,100,151463
1713787999.484015,125840.000,18662,3,PI,1,100,151451
1713787999.524015,125880.000,18662,3,PI,1,100,151414
1713787999.564016,125920.000,18662,3,PI,1,100,151416
1713787999.604016,125960.000,18679,2,PI,1,100,151381
1713787999.644017,126000.000,18679,2,PI,1,100,151381
1713787999.684017,126040.000,18696,3,PI,1,100,151381
1713787999.724018,126080.000,18696,3,PI,1,100,151366
1713787999.764018,126120.000,18696,3,PI,1,100,151389
