LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1713787995.550964,121907.000,18006,3,PR,1,100,132362
1713787995.550964,121907.000,18006,3,PR,1,100,132364
1713787995.550964,121907.000,18006,3,PR,1,100,132375
1713787995.590965,121947.000,18026,2,PR,1,100,132393
1713787995.630965,121987.000,18026,2,PR,1,100,132420
1713787995.670966,122027.000,18041,3,PR,1,100,132438
1713787995.710966,122067.000,18041,3,PR,1,100,132436
1713787995.750967,122107.000,18041,3,PR,1,100,132436
1713787995.790967,122147.000,18057,2,PR,1,100,132454
1713787995.830968,122187.000,18057,2,PR,1,100,132463
1713787995.870968,122227.000,18074,3,PR,1,100,132451
1713787995.910969,122267.000,18074,3,PR,1,100,132460
1713787995.950969,122307.000,18074,3,PR,1,100,132461
1713787995.990970,122347.000,18091,2,PR,1,100,132446
1713787996.030970,122387.000,18091,2,PR,1,100,132421
1713787996.070971,122427.000,18107,4,PR,1,100,132402
1713787996.110971,122467.000,18107,4,PR,1,100,132404
1713787996.150972,122507.000,18107,4,PR,1,100,132390
1713787996.190972,122547.000,18107,4,PR,1,100,132398
1713787996.230973,122587.000,18125,3,PR,1,100,132402
1713787996.270973,122627.000,18125,3,PR,1,100,132403
1713787996.310974,122667.000,18125,3,PR,1,100,132398
1713787996.350974,122707.000,18143,2,PR,1,100,132404
1713787996.390975,122747.000,18143,2,PR,1,100,132398
1713787996.430975,122787.000,18160,3,PR,1,100,132403
1713787996.470976,122827.000,18160,3,PR,1,100,132416
1713787996.510977,122867.000,18160,3,PR,1,100,132428
1713787996.550977,122907.000,18177,2,PR,1,100,132417
1713787996.590977,122947.000,18177,2,PR,1,100,132413
1713787996.630978,122987.000,18194,3,PR,1,100,132426
1713787996.670979,123027.000,18194,3,PR,1,100,132427
1713787996.710979,123067.000,18194,3,PR,1,100,132420
1713787996.750980,123107.000,18209,2,PR,1,100,132413
1713787996.790980,123147.000,18209,2,PR,1,100,132407
1713787996.830981,123187.000,18228,3,PR,1,100,132407
1713787996.870981,123227.000,18228,3,PR,1,100,132399
1713787996.910982,123267.000,18228,3,PR,1,100,132395
1713787996.950982,123307.000,18244,2,PR,1,100,132411
1713787996.990983,123347.000,18244,2,PR,1,100,132434
1713787997.035650,123391.667,18261,3,PR,1,100,132452
1713787997.080317,123436.333,18261,3,PR,1,100,132439
1713787997.124984,123481.000,18261,3,PR,1,100,132440
1713787997.164985,123521.000,18277,2,PR,1,100,132428
1713787997.204985,123561.000,18277,2,PR,1,100,132420
1713787997.244986,123601.000,18293,3,PR,1,100,132413
1713787997.284986,123641.000,18293,3,PR,1,100,132405
1713787997.324987,123681.000,18293,3,PR,1,100,132396
1713787997.364987,123721.000,18314,3,PR,1,100,132383
1713787997.404988,123761.000,18314,3,PR,1,100,132371
1713787997.444988,123801.000,18314,3,PR,1,100,132378
1713787997.484989,123841.000,18333,2,PR,1,100,132381
1713787997.524990,123881.000,18333,2,PR,1,100,132387
1713787997.564657,123920.667,18350,3,PR,1,100,132371
1713787997.604324,123960.333,18350,3,PR,1,100,132379
1713787997.643991,124000.000,18350,3,PR,1,100,132384
1713787997.683991,124040.000,18366,2,PR,1,100,132386
1713787997.723992,124080.000,18366,2,PR,1,100,132378
1713787997.763993,124120.000,18381,3,PR,1,100,132372
1713787997.803993,124160.000,18381,3,PR,1,100,132354
1713787997.843994,124200.000,18381,3,PR,1,100,132344
1713787997.884494,124240.500,18399,2,PR,1,100,132345
1713787997.924995,124281.000,18399,2,PR,1,100,132364
1713787997.964662,124320.667,18415,3,PR,1,100,132397
1713787998.004329,124360.333,18415,3,PR,1,100,132404
1713787998.043996,124400.000,18415,3,PR,1,100,132418
1713787998.083997,124440.000,18433,2,PR,1,100,132405
1713787998.123997,124480.000,18433,2,PR,1,100,132417
1713787998.163998,124520.000,18449,3,PR,1,100,132425
1713787998.203998,124560.000,18449,3,PR,1,100,132435
1713787998.243999,124600.000,18449,3,PR,1,100,132429
1713787998.283999,124640.000,18466,2,PR,1,100,132425
1713787998.324000,124680.000,18466,2,PR,1,100,132418
1713787998.364000,124720.000,18482,3,PR,1,100,132418
1713787998.404001,124760.000,18482,3,PR,1,100,132406
1713787998.444001,124800.000,18482,3,PR,1,100,132408
1713787998.484002,124840.000,18499,2,PR,1,100,132416
1713787998.524002,124880.000,18499,2,PR,1,100,132407
1713787998.564003,124920.000,18514,3,PR,1,100,132400
1713787998.604003,124960.000,18514,3,PR,1,100,132382
1713787998.644004,125000.000,18514,3,PR,1,100,132380
1713787998.684004,125040.000,18531,3,PR,1,100,132391
1713787998.724005,125080.000,18531,3,PR,1,100,132382
1713787998.764005,125120.000,18531,3,PR,1,100,132393
1713787998.804006,125160.000,18547,2,PR,1,100,132387
1713787998.844007,125200.000,18547,2,PR,1,100,132389
1713787998.884007,125240.000,18567,3,PR,1,100,132403
1713787998.924007,125280.000,18567,3,PR,1,100,132390
1713787998.964008,125320.000,18567,3,PR,1,100,132385
1713787999.004009,125360.000,18581,2,PR,1,100,132413
1713787999.044009,125400.000,18581,2,PR,1,100,132396
1713787999.084009,125440.000,18598,3,PR,1,100,132413
1713787999.124010,125480.000,18598,3,PR,1,100,132433
