LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1713787994.656953,121013,18141,1,SR,1,100,1.666667
1713787997.389988,123746,18331,1,SR,1,100,0.066667
1713787997.989995,124346,18431,1,SR,1,100,0.066667
1713788001.723043,128079,19313,1,SR,1,100,1.666667
1713788003.657068,130013,19511,1,SR,1,100,1.000000
1713788007.656120,134012,20178,1,SR,1,100,1.066667
1713788015.189216,141545,21297,1,SR,1,100,0.333333
1713788017.588247,143944,21750,1,SR,1,100,0.666667
1713788023.055317,149411,22632,1,SR,1,100,0.533333
1713788023.721326,150077,22667,1,SR,1,100,0.066667
1713788035.319474,161675,24715,1,SR,1,100,1.066667
1713788045.185601,171541,26230,1,SR,1,100,0.466667
1713788049.785660,176141,26948,1,SR,1,100,0.133333
1713788050.051663,176407,26983,1,SR,1,100,0.133333
1713788050.451669,176807,27035,1,SR,1,100,0.066667
1713788050.785673,177141,27252,1,SR,1,100,1.000000
1713788054.651722,181007,27755,1,SR,1,100,0.200000
1713788057.918764,184274,28352,1,SR,1,100,0.600000
1713788063.517836,189873,29335,1,SR,1,100,1.000000
1713788069.383911,195739,30150,1,SR,1,100,0.133333
1713788069.649915,196005,30185,1,SR,1,100,0.066667
1713788073.783968,200139,30966,1,SR,1,100,0.666667
1713788074.716980,201072,31018,1,SR,1,100,0.066667
1713788078.450028,204805,31681,1,SR,1,100,0.400000
1713788079.249038,205604,31786,1,SR,1,100,0.200000
1713788083.249089,209604,32533,1,SR,1,100,0.800000
1713788084.182101,210537,32585,1,SR,1,100,0.133333
1713788084.849110,211204,32689,1,SR,1,100,0.066667
1713788085.049112,211404,32742,1,SR,1,100,0.200000
1713788085.382117,211737,32795,1,SR,1,100,0.133333
1713788086.182127,212537,32930,1,SR,1,100,0.133333
1713788086.715134,213070,33016,1,SR,1,100,0.133333
1713788086.983137,213338,33132,1,SR,1,100,0.600000
1713788088.248153,214603,33266,1,SR,1,100,0.066667
1713788091.715198,218070,33881,1,SR,1,100,0.466667
1713788092.315206,218670,33932,1,SR,1,100,0.133333
1713788092.581209,218936,34148,1,SR,1,100,1.200000
1713788094.581235,220936,34287,1,SR,1,100,0.133333
1713788095.248243,221603,34587,1,SR,1,100,1.266667
1713788105.247371,231602,36045,1,SR,1,100,0.266667
1713788105.647377,232002,36095,1,SR,1,100,0.133333
1713788107.980407,234335,36573,1,SR,1,100,0.800000
1713788109.313424,235668,36675,1,SR,1,100,0.066667
1713788110.313437,236668,36851,1,SR,1,100,0.066667
1713788110.647441,237002,36903,1,SR,1,100,0.066667
1713788110.980445,237335,37037,1,SR,1,100,0.533333
1713788111.913457,238268,37105,1,SR,1,100,0.066667
1713788112.113460,238468,37140,1,SR,1,100,0.066667
1713788112.313462,238668,37391,1,SR,1,100,1.333333
1713788115.712506,242067,37731,1,SR,1,100,0.066667
1713788116.846520,243201,38344,1,SR,1,100,2.666667
1713788125.978637,252333,39485,1,SR,1,100,0.466667
1713788126.978650,253333,39772,1,SR,1,100,1.266667
1713788131.911714,258266,40411,1,SR,1,100,0.200000
1713788137.110780,263465,41237,1,SR,1,100,0.133333
1713788142.843854,269198,42402,1,SR,1,100,1.533333
1713788145.710891,272065,42922,1,SR,1,100,1.800000
1713788149.510939,275865,43402,1,SR,1,100,1.000000
1713788153.575992,279930,44058,1,SR,1,100,0.933333
1713788156.377028,282731,44465,1,SR,1,100,0.600000
1713788157.110037,283464,44498,1,SR,1,100,0.066667
1713788157.710045,284064,44617,1,SR,1,100,0.200000
1713788158.576056,284930,44769,1,SR,1,100,0.200000
