LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1713793801.061457,303499,47356,1,HR,1,100,48.39
1713793801.875469,304313,47488,1,HR,1,100,54.30
1713793802.275475,304713,47555,1,HR,1,100,75.57
1713793802.715481,305153,47623,1,HR,1,100,89.08
1713793803.115487,305553,47690,1,HR,1,100,102.62
1713793803.675495,306113,47773,1,HR,1,100,103.62
1713793804.834513,307272,47964,1,HR,1,100,92.09
1713793805.034516,307472,47997,1,HR,1,100,138.29
1713793805.914529,308352,48147,1,HR,1,100,122.71
1713793806.354535,308792,48214,1,HR,1,100,125.75
1713793814.860661,317298,49556,1,HR,1,100,99.37
1713793816.420684,318858,49820,1,HR,1,100,85.84
1713793818.220711,320658,50101,1,HR,1,100,74.17
1713793822.833779,325271,50830,1,HR,1,100,60.59
1713793824.872809,327310,51151,1,HR,1,100,53.66
1713793832.045916,334483,52273,1,HR,1,100,43.60
1713793852.044212,354481,55460,1,HR,1,100,34.58
1713793860.470337,362907,56801,1,HR,1,100,28.48
1713793861.390351,363827,56936,1,HR,1,100,36.64
1713793873.455529,375892,58832,1,HR,1,100,29.61
1713793875.775563,378212,59196,1,HR,1,100,28.78
1713793902.719963,405156,63520,1,HR,1,100,22.88
1713793904.679992,407116,63850,1,HR,1,100,24.60
1713793920.025219,422461,787,1,HR,1,100,20.00
1713793921.518241,423954,1034,1,HR,1,100,24.56
1713793922.678258,425114,1221,1,HR,1,100,30.60
1713793924.038279,426474,1436,1,HR,1,100,33.60
1713793927.771334,430207,2048,1,HR,1,100,29.72
1713793928.371343,430807,2149,1,HR,1,100,45.34
1713793930.371372,432807,2479,1,HR,1,100,41.93
1713793930.890380,433326,2562,1,HR,1,100,58.25
1713793931.410388,433846,2646,1,HR,1,100,70.95
1713793932.170399,434606,2784,1,HR,1,100,72.73
1713793933.304416,435740,2964,1,HR,1,100,68.47
1713793934.863439,437299,3217,1,HR,1,100,61.80
1713793935.663451,438099,3352,1,HR,1,100,64.73
1713793936.343461,438779,3473,1,HR,1,100,69.96
1713793937.183473,439619,3612,1,HR,1,100,70.28
1713793938.303490,440739,3801,1,HR,1,100,66.57
1713793938.663495,441099,3869,1,HR,1,100,88.81
1713793939.836513,442272,4057,1,HR,1,100,80.57
1713793940.636524,443072,4191,1,HR,1,100,79.33
1713793949.409654,451845,5639,1,HR,1,100,63.23
1713793950.928677,453364,5891,1,HR,1,100,57.95
1713793952.582701,455018,6185,1,HR,1,100,53.20
1713793957.554775,459990,6982,1,HR,1,100,44.07
1713793964.967885,467403,8213,1,HR,1,100,36.07
1713793971.100976,473536,9243,1,HR,1,100,30.24
1713793973.221007,475656,9602,1,HR,1,100,29.81
1713793974.860031,477295,9878,1,HR,1,100,31.31
1713793976.074049,478509,10080,1,HR,1,100,35.47
1713793982.206140,484641,11087,1,HR,1,100,29.76
1713793983.446159,485881,11294,1,HR,1,100,33.90
1713793984.486174,486921,11482,1,HR,1,100,39.19
1713793985.566190,488001,11650,1,HR,1,100,42.83
1713793987.686221,490121,12000,1,HR,1,100,39.60
1713793995.392336,497827,13295,1,HR,1,100,32.53
1713793996.152347,498587,13412,1,HR,1,100,42.85
1713793996.352350,498787,13448,1,HR,1,100,100.00
