LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1713793798.142414,300580.000,46877,3,PG,1,100,11413
1713793798.142414,300580.000,46877,3,PG,1,100,11420
1713793798.142414,300580.000,46877,3,PG,1,100,11425
1713793798.182414,300620.000,46894,2,PG,1,100,11424
1713793798.222415,300660.000,46894,2,PG,1,100,11430
1713793798.262415,300700.000,46909,3,PG,1,100,11430
1713793798.302416,300740.000,46909,3,PG,1,100,11424
1713793798.342417,300780.000,46909,3,PG,1,100,11430
1713793798.382417,300820.000,46926,3,PG,1,100,11433
1713793798.422418,300860.000,46926,3,PG,1,100,11429
1713793798.462418,300900.000,46926,3,PG,1,100,11437
1713793798.502419,300940.000,46942,2,PG,1,100,11432
1713793798.542419,300980.000,46942,2,PG,1,100,11430
1713793798.582420,301020.000,46960,3,PG,1,100,11445
1713793798.622421,301060.000,46960,3,PG,1,100,11453
1713793798.662421,301100.000,46960,3,PG,1,100,11445
1713793798.702422,301140.000,46974,2,PG,1,100,11453
1713793798.742422,301180.000,46974,2,PG,1,100,11450
1713793798.782423,301220.000,46991,3,PG,1,100,11454
1713793798.822424,301260.000,46991,3,PG,1,100,11447
1713793798.862424,301300.000,46991,3,PG,1,100,11454
1713793798.902425,301340.000,47008,2,PG,1,100,11437
1713793798.942425,301380.000,47008,2,PG,1,100,11437
1713793798.982426,301420.000,47027,3,PG,1,100,11442
1713793799.022427,301460.000,47027,3,PG,1,100,11450
1713793799.062427,301500.000,47027,3,PG,1,100,11461
1713793799.102428,301540.000,47046,3,PG,1,100,11448
1713793799.142428,301580.000,47046,3,PG,1,100,11459
1713793799.182429,301620.000,47046,3,PG,1,100,11467
1713793799.222430,301660.000,47064,3,PG,1,100,11462
1713793799.262430,301700.000,47064,3,PG,1,100,11458
1713793799.302431,301740.000,47064,3,PG,1,100,11466
1713793799.342431,301780.000,47079,2,PG,1,100,11468
1713793799.382432,301820.000,47079,2,PG,1,100,11469
1713793799.422432,301860.000,47096,3,PG,1,100,11477
1713793799.462433,301900.000,47096,3,PG,1,100,11481
1713793799.502434,301940.000,47096,3,PG,1,100,11477
1713793799.542434,301980.000,47113,3,PG,1,100,11483
1713793799.582435,302020.000,47113,3,PG,1,100,11486
1713793799.622436,302060.000,47113,3,PG,1,100,11492
1713793799.662436,302100.000,47130,2,PG,1,100,11490
1713793799.702437,302140.000,47130,2,PG,1,100,11479
1713793799.742437,302180.000,47144,3,PG,1,100,11480
1713793799.782438,302220.000,47144,3,PG,1,100,11483
1713793799.822438,302260.000,47144,3,PG,1,100,11488
1713793799.862439,302300.000,47161,2,PG,1,100,11496
1713793799.902440,302340.000,47161,2,PG,1,100,11485
1713793799.942440,302380.000,47178,3,PG,1,100,11491
1713793799.982441,302420.000,47178,3,PG,1,100,11495
1713793800.022441,302460.000,47178,3,PG,1,100,11498
1713793800.062442,302500.000,47195,2,PG,1,100,11487
1713793800.102443,302540.000,47195,2,PG,1,100,11484
1713793800.142443,302580.000,47209,3,PG,1,100,11494
1713793800.182444,302620.000,47209,3,PG,1,100,11505
1713793800.222444,302660.000,47209,3,PG,1,100,11509
1713793800.262445,302700.000,47227,2,PG,1,100,11498
1713793800.302446,302740.000,47227,2,PG,1,100,11506
1713793800.342446,302780.000,47243,3,PG,1,100,11509
1713793800.382447,302820.000,47243,3,PG,1,100,11519
1713793800.422447,302860.000,47243,3,PG,1,100,11518
1713793800.462448,302900.000,47260,2,PG,1,100,11500
1713793800.502449,302940.000,47260,2,PG,1,100,11499
1713793800.542449,302980.000,47275,3,PG,1,100,11499
1713793800.582450,303020.000,47275,3,PG,1,100,11499
1713793800.622450,303060.000,47275,3,PG,1,100,11490
1713793800.661951,303099.500,47292,2,PG,1,100,11501
1713793800.701452,303139.000,47292,2,PG,1,100,11494
1713793800.741452,303179.000,47308,3,PG,1,100,11491
1713793800.781453,303219.000,47308,3,PG,1,100,11497
1713793800.821453,303259.000,47308,3,PG,1,100,11499
1713793800.861787,303299.333,47325,3,PG,1,100,11493
1713793800.902121,303339.667,47325,3,PG,1,100,11488
1713793800.942455,303380.000,47325,3,PG,1,100,11492
1713793800.981956,303419.500,47340,2,PG,1,100,11492
1713793801.021456,303459.000,47340,2,PG,1,100,11505
1713793801.061457,303499.000,47359,3,PG,1,100,11495
1713793801.101457,303539.000,47359,3,PG,1,100,11505
1713793801.141458,303579.000,47359,3,PG,1,100,11503
1713793801.181458,303619.000,47375,2,PG,1,100,11511
1713793801.221459,303659.000,47375,2,PG,1,100,11512
1713793801.261460,303699.000,47393,3,PG,1,100,11505
1713793801.301460,303739.000,47393,3,PG,1,100,11499
1713793801.341461,303779.000,47393,3,PG,1,100,11499
1713793801.381462,303819.000,47408,2,PG,1,100,11498
1713793801.421462,303859.000,47408,2,PG,1,100,11503
1713793801.461463,303899.000,47424,3,PG,1,100,11489
1713793801.501463,303939.000,47424,3,PG,1,100,11489
1713793801.541464,303979.000,47424,3,PG,1,100,11496
1713793801.581465,304019.000,47441,2,PG,1,100,11494
1713793801.621465,304059.000,47441,2,PG,1,100,11487
1713793801.661466,304099.000,47458,2,PG,1,100,11475
1713793801.701466,304139.000,47458,2,PG,1,100,11474
1713793801.746134,304183.667,47473,3,PG,1,100,11474
1713793801.790801,304228.333,47473,3,PG,1,100,11483
1713793801.835468,304273.000,47473,3,PG,1,100,11488
1713793801.875469,304313.000,47492,3,PG,1,100,11477
1713793801.915469,304353.000,47492,3,PG,1,100,11477
1713793801.955470,304393.000,47492,3,PG,1,100,11493
1713793801.995471,304433.000,47508,2,PG,1,100,11495
1713793802.035471,304473.000,47508,2,PG,1,100,11494
1713793802.075472,304513.000,47525,3,PG,1,100,11487
1713793802.115472,304553.000,47525,3,PG,1,100,11488
1713793802.155473,304593.000,47525,3,PG,1,100,11489
1713793802.195474,304633.000,47541,2,PG,1,100,11497
1713793802.235474,304673.000,47541,2,PG,1,100,11498
1713793802.275475,304713.000,47559,3,PG,1,100,11492
1713793802.315475,304753.000,47559,3,PG,1,100,11478
1713793802.355476,304793.000,47559,3,PG,1,100,11472
1713793802.395477,304833.000,47575,2,PG,1,100,11489
1713793802.435477,304873.000,47575,2,PG,1,100,11482
1713793802.475478,304913.000,47592,3,PG,1,100,11485
1713793802.515478,304953.000,47592,3,PG,1,100,11488
1713793802.555479,304993.000,47592,3,PG,1,100,11477
1713793802.595479,305033.000,47609,2,PG,1,100,11472
1713793802.635480,305073.000,47609,2,PG,1,100,11498
1713793802.675481,305113.000,47626,3,PG,1,100,11477
1713793802.715481,305153.000,47626,3,PG,1,100,11499
1713793802.755482,305193.000,47626,3,PG,1,100,11496
1713793802.795482,305233.000,47642,2,PG,1,100,11512
1713793802.835483,305273.000,47642,2,PG,1,100,11499
1713793802.875484,305313.000,47660,3,PG,1,100,11484
1713793802.915484,305353.000,47660,3,PG,1,100,11490
1713793802.955485,305393.000,47660,3,PG,1,100,11494
1713793802.995486,305433.000,47676,2,PG,1,100,11499
1713793803.035486,305473.000,47676,2,PG,1,100,11512
1713793803.075487,305513.000,47693,3,PG,1,100,11508
1713793803.115487,305553.000,47693,3,PG,1,100,11504
1713793803.155488,305593.000,47693,3,PG,1,100,11502
1713793803.195488,305633.000,47709,3,PG,1,100,11510
1713793803.235489,305673.000,47709,3,PG,1,100,11506
1713793803.275490,305713.000,47709,3,PG,1,100,11502
1713793803.315490,305753.000,47727,2,PG,1,100,11499
1713793803.355491,305793.000,47727,2,PG,1,100,11497
1713793803.395491,305833.000,47743,3,PG,1,100,11497
1713793803.435492,305873.000,47743,3,PG,1,100,11513
1713793803.475492,305913.000,47743,3,PG,1,100,11507
1713793803.515493,305953.000,47758,2,PG,1,100,11498
1713793803.555494,305993.000,47758,2,PG,1,100,11489
1713793803.595494,306033.000,47777,3,PG,1,100,11502
1713793803.635495,306073.000,47777,3,PG,1,100,11507
1713793803.675495,306113.000,47777,3,PG,1,100,11506
1713793803.715496,306153.000,47794,2,PG,1,100,11504
1713793803.755497,306193.000,47794,2,PG,1,100,11503
1713793803.795164,306232.667,47810,3,PG,1,100,11505
1713793803.834831,306272.333,47810,3,PG,1,100,11511
1713793803.874498,306312.000,47810,3,PG,1,100,11535
1713793803.914999,306352.500,47827,2,PG,1,100,11522
1713793803.955500,306393.000,47827,2,PG,1,100,11532
1713793803.995167,306432.667,47844,3,PG,1,100,11531
1713793804.034834,306472.333,47844,3,PG,1,100,11543
1713793804.074502,306512.000,47844,3,PG,1,100,11542
1713793804.114502,306552.000,47861,2,PG,1,100,11531
1713793804.154503,306592.000,47861,2,PG,1,100,11528
1713793804.194503,306632.000,47884,4,PG,1,100,11536
1713793804.234504,306672.000,47884,4,PG,1,100,11541
1713793804.274504,306712.000,47884,4,PG,1,100,11536
1713793804.314505,306752.000,47884,4,PG,1,100,11541
1713793804.354506,306792.000,47900,3,PG,1,100,11544
1713793804.394506,306832.000,47900,3,PG,1,100,11539
1713793804.434507,306872.000,47900,3,PG,1,100,11545
1713793804.474507,306912.000,47917,2,PG,1,100,11538
1713793804.514508,306952.000,47917,2,PG,1,100,11540
1713793804.554508,306992.000,47932,3,PG,1,100,11544
1713793804.594509,307032.000,47932,3,PG,1,100,11537
1713793804.634510,307072.000,47932,3,PG,1,100,11545
1713793804.674510,307112.000,47949,2,PG,1,100,11550
1713793804.714511,307152.000,47949,2,PG,1,100,11546
1713793804.754512,307192.000,47967,3,PG,1,100,11555
1713793804.794512,307232.000,47967,3,PG,1,100,11561
1713793804.834513,307272.000,47967,3,PG,1,100,11566
1713793804.874513,307312.000,47984,2,PG,1,100,11562
1713793804.914514,307352.000,47984,2,PG,1,100,11565
1713793804.954515,307392.000,48001,3,PG,1,100,11558
1713793804.994515,307432.000,48001,3,PG,1,100,11566
1713793805.034516,307472.000,48001,3,PG,1,100,11553
1713793805.074516,307512.000,48018,2,PG,1,100,11576
1713793805.114517,307552.000,48018,2,PG,1,100,11560
1713793805.154517,307592.000,48034,3,PG,1,100,11558
1713793805.194518,307632.000,48034,3,PG,1,100,11565
1713793805.234519,307672.000,48034,3,PG,1,100,11565
1713793805.274519,307712.000,48052,2,PG,1,100,11553
1713793805.314520,307752.000,48052,2,PG,1,100,11558
1713793805.354520,307792.000,48067,3,PG,1,100,11567
1713793805.394521,307832.000,48067,3,PG,1,100,11558
1713793805.434522,307872.000,48067,3,PG,1,100,11563
1713793805.474522,307912.000,48083,2,PG,1,100,11562
1713793805.514523,307952.000,48083,2,PG,1,100,11568
1713793805.554523,307992.000,48100,3,PG,1,100,11566
1713793805.594524,308032.000,48100,3,PG,1,100,11574
1713793805.634525,308072.000,48100,3,PG,1,100,11578
1713793805.674525,308112.000,48117,3,PG,1,100,11570
1713793805.714526,308152.000,48117,3,PG,1,100,11573
1713793805.754526,308192.000,48117,3,PG,1,100,11572
1713793805.794527,308232.000,48133,2,PG,1,100,11583
1713793805.834527,308272.000,48133,2,PG,1,100,11580
1713793805.874528,308312.000,48151,3,PG,1,100,11569
1713793805.914529,308352.000,48151,3,PG,1,100,11565
1713793805.954529,308392.000,48151,3,PG,1,100,11560
1713793805.994530,308432.000,48167,2,PG,1,100,11576
1713793806.034530,308472.000,48167,2,PG,1,100,11568
1713793806.074531,308512.000,48184,3,PG,1,100,11565
1713793806.114532,308552.000,48184,3,PG,1,100,11563
1713793806.154532,308592.000,48184,3,PG,1,100,11561
1713793806.195033,308632.500,48200,2,PG,1,100,11562
1713793806.235533,308673.000,48200,2,PG,1,100,11569
1713793806.275201,308712.667,48218,3,PG,1,100,11566
1713793806.314868,308752.333,48218,3,PG,1,100,11560
1713793806.354535,308792.000,48218,3,PG,1,100,11565
1713793806.394536,308832.000,48234,2,PG,1,100,11582
1713793806.434536,308872.000,48234,2,PG,1,100,11577
1713793806.474537,308912.000,48251,3,PG,1,100,11588
