LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1713793798.147413,300585.000,46880,1,T1,1,100,30.668
1713793798.280416,300718.000,46912,1,T1,1,100,30.750
1713793798.414418,300852.000,46929,1,T1,1,100,30.679
1713793798.547420,300985.000,46945,1,T1,1,100,30.648
1713793798.680422,301118.000,46977,1,T1,1,100,30.742
1713793798.813423,301251.000,46994,1,T1,1,100,30.746
1713793798.947425,301385.000,47011,1,T1,1,100,30.784
1713793799.080427,301518.000,47049,2,T1,1,100,30.836
1713793799.213429,301651.000,47049,2,T1,1,100,30.787
1713793799.347431,301785.000,47082,1,T1,1,100,30.837
1713793799.480433,301918.000,47099,1,T1,1,100,30.859
1713793799.613435,302051.000,47116,1,T1,1,100,30.797
1713793799.747437,302185.000,47147,1,T1,1,100,30.841
1713793799.880439,302318.000,47164,1,T1,1,100,30.825
1713793800.013441,302451.000,47181,1,T1,1,100,30.853
1713793800.147443,302585.000,47212,1,T1,1,100,30.866
1713793800.280445,302718.000,47230,1,T1,1,100,30.871
1713793800.413447,302851.000,47246,1,T1,1,100,30.802
1713793800.547449,302985.000,47278,1,T1,1,100,30.773
1713793800.680451,303118.000,47295,1,T1,1,100,30.760
1713793800.813453,303251.000,47311,1,T1,1,100,30.825
1713793800.947455,303385.000,47343,1,T1,1,100,30.853
1713793801.080457,303518.000,47362,1,T1,1,100,30.759
1713793801.213459,303651.000,47378,1,T1,1,100,30.789
1713793801.347461,303785.000,47396,1,T1,1,100,30.803
1713793801.480463,303918.000,47427,1,T1,1,100,30.844
1713793801.613465,304051.000,47444,1,T1,1,100,30.826
1713793801.747467,304185.000,47461,1,T1,1,100,30.818
1713793801.880469,304318.000,47495,1,T1,1,100,30.815
1713793802.013471,304451.000,47511,1,T1,1,100,30.849
1713793802.146473,304584.000,47528,1,T1,1,100,30.828
1713793802.280475,304718.000,47562,1,T1,1,100,30.855
1713793802.413477,304851.000,47578,1,T1,1,100,30.866
1713793802.546479,304984.000,47595,1,T1,1,100,30.729
1713793802.680481,305118.000,47629,1,T1,1,100,30.812
1713793802.813483,305251.000,47645,1,T1,1,100,30.883
1713793802.947485,305385.000,47663,1,T1,1,100,30.843
1713793803.080487,305518.000,47696,1,T1,1,100,30.897
1713793803.213489,305651.000,47712,1,T1,1,100,30.884
1713793803.346491,305784.000,47730,1,T1,1,100,30.844
1713793803.480493,305918.000,47761,1,T1,1,100,30.755
1713793803.613495,306051.000,47780,1,T1,1,100,30.859
1713793803.746496,306184.000,47797,1,T1,1,100,30.691
1713793803.880499,306318.000,47813,1,T1,1,100,30.831
1713793804.013500,306451.000,47847,1,T1,1,100,30.785
1713793804.146502,306584.000,47864,1,T1,1,100,30.765
1713793804.280504,306718.000,47887,1,T1,1,100,30.863
1713793804.413507,306851.000,47903,1,T1,1,100,30.870
1713793804.546508,306984.000,47935,1,T1,1,100,30.802
1713793804.680510,307118.000,47952,1,T1,1,100,30.772
1713793804.813512,307251.000,47970,1,T1,1,100,30.866
1713793804.946514,307384.000,48004,1,T1,1,100,30.836
1713793805.080516,307518.000,48021,1,T1,1,100,30.858
1713793805.213518,307651.000,48037,1,T1,1,100,30.797
1713793805.346520,307784.000,48055,1,T1,1,100,30.770
1713793805.479522,307917.000,48086,1,T1,1,100,30.830
1713793805.613524,308051.000,48103,1,T1,1,100,30.820
1713793805.746526,308184.000,48120,1,T1,1,100,30.851
1713793805.879528,308317.000,48154,1,T1,1,100,30.865
1713793806.013530,308451.000,48170,1,T1,1,100,30.835
1713793806.146532,308584.000,48187,1,T1,1,100,30.822
1713793806.279534,308717.000,48221,1,T1,1,100,30.817
1713793806.413536,308851.000,48237,1,T1,1,100,30.885
1713793806.546538,308984.000,48254,1,T1,1,100,30.738
1713793806.679540,309117.000,48286,1,T1,1,100,30.922
1713793806.813542,309251.000,48302,1,T1,1,100,30.931
1713793806.946544,309384.000,48320,1,T1,1,100,30.899
1713793807.079546,309517.000,48351,1,T1,1,100,30.921
