LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1713793798.162414,300600.000,46881,1,TH,1,100,32.097
1713793798.295416,300733.000,46913,1,TH,1,100,32.097
1713793798.428418,300866.000,46930,1,TH,1,100,32.055
1713793798.562420,301000.000,46946,1,TH,1,100,32.055
1713793798.695422,301133.000,46978,1,TH,1,100,32.145
1713793798.828424,301266.000,46995,1,TH,1,100,32.145
1713793798.962426,301400.000,47012,1,TH,1,100,32.082
1713793799.095428,301533.000,47050,1,TH,1,100,32.082
1713793799.228430,301666.000,47067,1,TH,1,100,32.092
1713793799.362432,301800.000,47083,1,TH,1,100,32.092
1713793799.495434,301933.000,47100,1,TH,1,100,32.106
1713793799.628436,302066.000,47117,1,TH,1,100,32.106
1713793799.762438,302200.000,47148,1,TH,1,100,32.075
1713793799.895439,302333.000,47165,1,TH,1,100,32.082
1713793800.028441,302466.000,47182,1,TH,1,100,32.113
1713793800.162443,302600.000,47213,1,TH,1,100,32.113
1713793800.295445,302733.000,47231,1,TH,1,100,32.065
1713793800.428447,302866.000,47247,1,TH,1,100,32.065
1713793800.562449,303000.000,47279,1,TH,1,100,32.167
1713793800.695451,303133.000,47296,1,TH,1,100,32.167
1713793800.828453,303266.000,47312,1,TH,1,100,32.079
1713793800.962455,303400.000,47344,1,TH,1,100,32.079
1713793801.095457,303533.000,47363,1,TH,1,100,32.084
1713793801.228459,303666.000,47379,1,TH,1,100,32.084
1713793801.361461,303799.000,47411,1,TH,1,100,32.147
1713793801.495463,303933.000,47428,1,TH,1,100,32.147
1713793801.628465,304066.000,47445,1,TH,1,100,32.125
1713793801.761467,304199.000,47476,1,TH,1,100,32.126
1713793801.895469,304333.000,47496,1,TH,1,100,32.108
1713793802.028471,304466.000,47512,1,TH,1,100,32.108
1713793802.161473,304599.000,47529,1,TH,1,100,32.147
1713793802.295475,304733.000,47563,1,TH,1,100,32.154
1713793802.428477,304866.000,47579,1,TH,1,100,32.196
1713793802.561479,304999.000,47596,1,TH,1,100,32.196
1713793802.695481,305133.000,47630,1,TH,1,100,32.140
1713793802.828483,305266.000,47646,1,TH,1,100,32.140
1713793802.961485,305399.000,47664,1,TH,1,100,32.154
1713793803.095487,305533.000,47697,1,TH,1,100,32.154
1713793803.228489,305666.000,47713,1,TH,1,100,32.077
1713793803.361491,305799.000,47731,1,TH,1,100,32.077
1713793803.495493,305933.000,47762,1,TH,1,100,32.089
1713793803.628495,306066.000,47781,1,TH,1,100,32.089
1713793803.761497,306199.000,47798,1,TH,1,100,32.133
1713793803.894499,306332.000,47830,1,TH,1,100,32.133
1713793804.028501,306466.000,47848,1,TH,1,100,32.150
1713793804.161503,306599.000,47865,1,TH,1,100,32.150
1713793804.294505,306732.000,47888,1,TH,1,100,32.096
1713793804.428507,306866.000,47904,1,TH,1,100,32.103
1713793804.561509,306999.000,47936,1,TH,1,100,32.137
1713793804.694511,307132.000,47953,1,TH,1,100,32.137
1713793804.828513,307266.000,47971,1,TH,1,100,32.091
1713793804.961514,307399.000,48005,1,TH,1,100,32.091
1713793805.094517,307532.000,48022,1,TH,1,100,32.145
1713793805.228518,307666.000,48038,1,TH,1,100,32.145
1713793805.361521,307799.000,48070,1,TH,1,100,32.162
1713793805.494522,307932.000,48087,1,TH,1,100,32.162
1713793805.628525,308066.000,48104,1,TH,1,100,32.188
1713793805.761526,308199.000,48121,1,TH,1,100,32.188
1713793805.894528,308332.000,48155,1,TH,1,100,32.179
1713793806.028530,308466.000,48171,1,TH,1,100,32.179
1713793806.161532,308599.000,48188,1,TH,1,100,32.198
1713793806.294534,308732.000,48222,1,TH,1,100,32.198
1713793806.428536,308866.000,48238,1,TH,1,100,32.162
1713793806.561538,308999.000,48255,1,TH,1,100,32.169
