RD,TS_received,TS_sent,AK,RoundTrip,
301550,301556,2024-04-22_16-49-59-115428,301557,6,
306661,306669,2024-04-22_16-50-04-228216,306670,8,
311787,311795,2024-04-22_16-50-09-354591,311800,8,
316893,316900,2024-04-22_16-50-14-460419,316902,7,
322001,322008,2024-04-22_16-50-19-567841,322009,7,
327121,327133,2024-04-22_16-50-24-691061,327134,12,
332231,332238,2024-04-22_16-50-29-797969,332239,7,
337345,337352,2024-04-22_16-50-34-911953,337353,7,
342476,342484,2024-04-22_16-50-40-043622,342485,8,
347590,347597,2024-04-22_16-50-45-157914,347599,7,
352697,352709,2024-04-22_16-50-50-268509,352710,12,
357804,357815,2024-04-22_16-50-55-372071,357817,11,
362912,362922,2024-04-22_16-51-00-479779,362923,10,
368022,368031,2024-04-22_16-51-05-591201,368033,9,
373135,373187,2024-04-22_16-51-10-745559,373189,52,
378255,378262,2024-04-22_16-51-15-822337,378266,7,
383374,383382,2024-04-22_16-51-20-942771,383387,8,
388482,388492,2024-04-22_16-51-26-049737,388493,10,
393601,393612,2024-04-22_16-51-31-169788,393613,11,
398726,398736,2024-04-22_16-51-36-296915,398737,10,
403842,403851,2024-04-22_16-51-41-410371,403852,9,
408950,408957,2024-04-22_16-51-46-517063,408958,7,
414067,414077,2024-04-22_16-51-51-636649,414078,10,
419178,419200,2024-04-22_16-51-56-760946,419202,22,
424289,424302,2024-04-22_16-52-01-860525,424303,13,
429397,429414,2024-04-22_16-52-06-974431,429415,17,
434521,434528,2024-04-22_16-52-12-088925,434529,7,
439628,439647,2024-04-22_16-52-17-206598,439648,19,
444739,444746,2024-04-22_16-52-22-307429,444747,7,
449860,449868,2024-04-22_16-52-27-429043,449869,8,
454967,454979,2024-04-22_16-52-32-536138,454980,12,
460075,460085,2024-04-22_16-52-37-644396,460086,10,
465205,465218,2024-04-22_16-52-42-777229,465220,13,
470313,470319,2024-04-22_16-52-47-880928,470324,6,
475421,475430,2024-04-22_16-52-52-989411,475431,9,
480537,480544,2024-04-22_16-52-58-105946,480545,7,
485645,485656,2024-04-22_16-53-03-217334,485657,11,
490784,490796,2024-04-22_16-53-08-357164,490797,12,
495900,495908,2024-04-22_16-53-13-469613,495909,8,
