LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1716209194.955034,207722.000,32278,4,EM,1,100,RS
1716209194.955034,207722.000,32278,4,EM,1,100,RB
1716209194.955034,207722.000,32278,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209194.955034,207722.000,32278,4,EM,1,100,PS
1716209195.005284,207772.250,32307,4,EM,1,100,RS
1716209195.055535,207822.500,32307,4,EM,1,100,RB
1716209195.105785,207872.750,32307,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209195.156036,207923.000,32307,4,EM,1,100,PS
1716209195.206286,207973.250,32341,4,EM,1,100,RS
1716209195.256537,208023.500,32341,4,EM,1,100,RB
1716209195.306788,208073.750,32341,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209195.357038,208124.000,32341,4,EM,1,100,PS
1716209195.407289,208174.250,32372,4,EM,1,100,RS
1716209195.457539,208224.500,32372,4,EM,1,100,RB
1716209195.507790,208274.750,32372,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209195.558041,208325.000,32372,4,EM,1,100,PS
1716209195.608541,208375.500,32406,4,EM,1,100,RS
1716209195.659042,208426.000,32406,4,EM,1,100,RB
1716209195.709542,208476.500,32406,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209195.760043,208527.000,32406,4,EM,1,100,PS
1716209195.810293,208577.250,32442,4,EM,1,100,RS
1716209195.860544,208627.500,32442,4,EM,1,100,RB
1716209195.910795,208677.750,32442,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209195.961045,208728.000,32442,4,EM,1,100,PS
1716209196.011296,208778.250,32475,4,EM,1,100,RS
1716209196.061547,208828.500,32475,4,EM,1,100,RB
1716209196.111797,208878.750,32475,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209196.162048,208929.000,32475,4,EM,1,100,PS
1716209196.212298,208979.250,32507,4,EM,1,100,RS
1716209196.262549,209029.500,32507,4,EM,1,100,RB
1716209196.312799,209079.750,32507,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209196.363050,209130.000,32507,4,EM,1,100,PS
1716209196.413301,209180.250,32542,4,EM,1,100,RS
1716209196.463551,209230.500,32542,4,EM,1,100,RB
1716209196.513802,209280.750,32542,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209196.564052,209331.000,32542,4,EM,1,100,PS
1716209196.614303,209381.250,32576,4,EM,1,100,RS
1716209196.664553,209431.500,32576,4,EM,1,100,RB
1716209196.714804,209481.750,32576,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209196.765055,209532.000,32576,4,EM,1,100,PS
1716209196.815805,209582.750,32612,4,EM,1,100,RS
1716209196.866556,209633.500,32612,4,EM,1,100,RB
1716209196.917306,209684.250,32612,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209196.968057,209735.000,32612,4,EM,1,100,PS
1716209197.018308,209785.250,32643,4,EM,1,100,RS
1716209197.068558,209835.500,32643,4,EM,1,100,RB
1716209197.118809,209885.750,32643,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209197.169060,209936.000,32643,4,EM,1,100,PS
1716209197.219060,209986.000,32677,4,EM,1,100,RS
1716209197.269061,210036.000,32677,4,EM,1,100,RB
1716209197.319061,210086.000,32677,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209197.369062,210136.000,32677,4,EM,1,100,PS
1716209197.419312,210186.250,32708,4,EM,1,100,RS
1716209197.469563,210236.500,32708,4,EM,1,100,RB
1716209197.519814,210286.750,32708,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209197.570064,210337.000,32708,4,EM,1,100,PS
1716209197.620315,210387.250,32744,4,EM,1,100,RS
1716209197.670565,210437.500,32744,4,EM,1,100,RB
1716209197.720816,210487.750,32744,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209197.771066,210538.000,32744,4,EM,1,100,PS
1716209197.821317,210588.250,32777,4,EM,1,100,RS
1716209197.871568,210638.500,32777,4,EM,1,100,RB
1716209197.921818,210688.750,32777,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209197.972069,210739.000,32777,4,EM,1,100,PS
1716209198.022569,210789.500,32809,4,EM,1,100,RS
1716209198.073070,210840.000,32809,4,EM,1,100,RB
1716209198.123570,210890.500,32809,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209198.174071,210941.000,32809,4,EM,1,100,PS
1716209198.224322,210991.250,32843,4,EM,1,100,RS
1716209198.274572,211041.500,32843,4,EM,1,100,RB
1716209198.324823,211091.750,32843,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209198.375073,211142.000,32843,4,EM,1,100,PS
1716209198.425324,211192.250,32877,4,EM,1,100,RS
1716209198.475575,211242.500,32877,4,EM,1,100,RB
1716209198.525825,211292.750,32877,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209198.576076,211343.000,32877,4,EM,1,100,PS
1716209198.641577,211408.500,32915,4,EM,1,100,RS
1716209198.707077,211474.000,32915,4,EM,1,100,RB
1716209198.772578,211539.500,32915,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209198.838079,211605.000,32915,4,EM,1,100,PS
1716209198.888330,211655.250,32951,4,EM,1,100,RS
1716209198.938580,211705.500,32951,4,EM,1,100,RB
1716209198.988831,211755.750,32951,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209199.039081,211806.000,32951,4,EM,1,100,PS
1716209199.089332,211856.250,32986,4,EM,1,100,RS
1716209199.139582,211906.500,32986,4,EM,1,100,RB
1716209199.189833,211956.750,32986,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209199.240084,212007.000,32986,4,EM,1,100,PS
1716209199.290334,212057.250,33019,4,EM,1,100,RS
1716209199.340585,212107.500,33019,4,EM,1,100,RB
1716209199.390835,212157.750,33019,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209199.441086,212208.000,33019,4,EM,1,100,PS
1716209199.491337,212258.250,33054,4,EM,1,100,RS
1716209199.541587,212308.500,33054,4,EM,1,100,RB
1716209199.591838,212358.750,33054,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209199.642088,212409.000,33054,4,EM,1,100,PS
1716209199.692339,212459.250,33087,4,EM,1,100,RS
1716209199.742589,212509.500,33087,4,EM,1,100,RB
1716209199.792840,212559.750,33087,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209199.843091,212610.000,33087,4,EM,1,100,PS
1716209199.893341,212660.250,33119,4,EM,1,100,RS
1716209199.943592,212710.500,33119,4,EM,1,100,RB
1716209199.993842,212760.750,33119,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209200.044093,212811.000,33119,4,EM,1,100,PS
1716209200.094844,212861.750,33155,4,EM,1,100,RS
1716209200.145594,212912.500,33155,4,EM,1,100,RB
1716209200.196345,212963.250,33155,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209200.247095,213014.000,33155,4,EM,1,100,PS
1716209200.297346,213064.250,33186,4,EM,1,100,RS
1716209200.347597,213114.500,33186,4,EM,1,100,RB
1716209200.397847,213164.750,33186,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209200.448098,213215.000,33186,4,EM,1,100,PS
1716209200.498348,213265.250,33220,4,EM,1,100,RS
1716209200.548599,213315.500,33220,4,EM,1,100,RB
1716209200.598850,213365.750,33220,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209200.649100,213416.000,33220,4,EM,1,100,PS
1716209200.699351,213466.250,33251,4,EM,1,100,RS
1716209200.749601,213516.500,33251,4,EM,1,100,RB
1716209200.799852,213566.750,33251,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209200.850102,213617.000,33251,4,EM,1,100,PS
1716209200.900353,213667.250,33289,4,EM,1,100,RS
1716209200.950603,213717.500,33289,4,EM,1,100,RB
1716209201.000854,213767.750,33289,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209201.051105,213818.000,33289,4,EM,1,100,PS
1716209201.102605,213869.500,33323,4,EM,1,100,RS
1716209201.154106,213921.000,33323,4,EM,1,100,RB
1716209201.205606,213972.500,33323,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209201.257107,214024.000,33323,4,EM,1,100,PS
1716209201.307108,214074.000,33358,4,EM,1,100,RS
1716209201.357108,214124.000,33358,4,EM,1,100,RB
1716209201.407109,214174.000,33358,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209201.457109,214224.000,33358,4,EM,1,100,PS
1716209201.508360,214275.250,33390,4,EM,1,100,RS
1716209201.559611,214326.500,33390,4,EM,1,100,RB
1716209201.610861,214377.750,33390,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209201.662112,214429.000,33390,4,EM,1,100,PS
1716209201.712363,214479.250,33425,4,EM,1,100,RS
1716209201.762613,214529.500,33425,4,EM,1,100,RB
1716209201.812864,214579.750,33425,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209201.863114,214630.000,33425,4,EM,1,100,PS
1716209201.913115,214680.000,33457,4,EM,1,100,RS
1716209201.963115,214730.000,33457,4,EM,1,100,RB
1716209202.013116,214780.000,33457,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209202.063117,214830.000,33457,4,EM,1,100,PS
1716209202.113367,214880.250,33491,4,EM,1,100,RS
1716209202.163618,214930.500,33491,4,EM,1,100,RB
1716209202.213868,214980.750,33491,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209202.264119,215031.000,33491,4,EM,1,100,PS
1716209202.314870,215081.750,33526,4,EM,1,100,RS
1716209202.365620,215132.500,33526,4,EM,1,100,RB
1716209202.416371,215183.250,33526,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209202.467121,215234.000,33526,4,EM,1,100,PS
1716209202.517372,215284.250,33560,4,EM,1,100,RS
1716209202.567622,215334.500,33560,4,EM,1,100,RB
1716209202.617873,215384.750,33560,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209202.668124,215435.000,33560,4,EM,1,100,PS
1716209202.721374,215488.250,33591,4,EM,1,100,RS
1716209202.774625,215541.500,33591,4,EM,1,100,RB
1716209202.827876,215594.750,33591,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209202.881126,215648.000,33591,4,EM,1,100,PS
1716209202.931127,215698.000,33625,4,EM,1,100,RS
1716209202.981127,215748.000,33625,4,EM,1,100,RB
1716209203.031128,215798.000,33625,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209203.081128,215848.000,33625,4,EM,1,100,PS
1716209203.134629,215901.500,33660,4,EM,1,100,RS
1716209203.188130,215955.000,33660,4,EM,1,100,RB
1716209203.241630,216008.500,33660,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209203.295131,216062.000,33660,4,EM,1,100,PS
1716209203.345381,216112.250,33692,4,EM,1,100,RS
1716209203.395632,216162.500,33692,4,EM,1,100,RB
1716209203.445883,216212.750,33692,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209203.496133,216263.000,33692,4,EM,1,100,PS
1716209203.546384,216313.250,33725,4,EM,1,100,RS
1716209203.596634,216363.500,33725,4,EM,1,100,RB
1716209203.646885,216413.750,33725,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209203.697136,216464.000,33725,4,EM,1,100,PS
1716209203.748136,216515.000,33746,4,EM,1,100,RS
1716209203.799137,216566.000,33746,4,EM,1,100,RB
1716209203.850137,216617.000,33746,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209203.901138,216668.000,33746,4,EM,1,100,PS
1716209203.951389,216718.250,33785,4,EM,1,100,RS
1716209204.001639,216768.500,33785,4,EM,1,100,RB
1716209204.051890,216818.750,33785,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209204.102140,216869.000,33785,4,EM,1,100,PS
1716209204.152391,216919.250,33819,4,EM,1,100,RS
1716209204.202641,216969.500,33819,4,EM,1,100,RB
1716209204.252892,217019.750,33819,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209204.303143,217070.000,33819,4,EM,1,100,PS
1716209204.353393,217120.250,33850,4,EM,1,100,RS
1716209204.403644,217170.500,33850,4,EM,1,100,RB
1716209204.453895,217220.750,33850,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209204.504145,217271.000,33850,4,EM,1,100,PS
1716209204.554646,217321.500,33884,4,EM,1,100,RS
1716209204.605146,217372.000,33884,4,EM,1,100,RB
1716209204.655647,217422.500,33884,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209204.706147,217473.000,33884,4,EM,1,100,PS
1716209204.756398,217523.250,33915,4,EM,1,100,RS
1716209204.806649,217573.500,33915,4,EM,1,100,RB
1716209204.856899,217623.750,33915,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209204.907150,217674.000,33915,4,EM,1,100,PS
1716209204.957400,217724.250,33951,4,EM,1,100,RS
1716209205.007651,217774.500,33951,4,EM,1,100,RB
1716209205.057902,217824.750,33951,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209205.108152,217875.000,33951,4,EM,1,100,PS
1716209205.158403,217925.250,33983,4,EM,1,100,RS
1716209205.208653,217975.500,33983,4,EM,1,100,RB
1716209205.258904,218025.750,33983,4,EM,1,100,2024-05-20_15-46-34-532101.csv
1716209205.309155,218076.000,33983,4,EM,1,100,PS
1716209205.359405,218126.250,34016,4,EM,1,100,RS
1716209205.409656,218176.500,34016,4,EM,1,100,RB
1716209205.459906,218226.750,34016,4,EM,1,100,2024-05-20_15-46-34-532101.csv
