LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1716209194.941033,207708.000,32289,1,MY,1,100,-59
1716209194.981034,207748.000,32305,3,MY,1,100,-59
1716209195.021034,207788.000,32305,3,MY,1,100,-60
1716209195.061035,207828.000,32305,3,MY,1,100,-61
1716209195.101035,207868.000,32322,2,MY,1,100,-60
1716209195.141036,207908.000,32322,2,MY,1,100,-59
1716209195.181036,207948.000,32339,3,MY,1,100,-60
1716209195.221037,207988.000,32339,3,MY,1,100,-60
1716209195.261037,208028.000,32339,3,MY,1,100,-60
1716209195.301038,208068.000,32354,2,MY,1,100,-59
1716209195.341038,208108.000,32354,2,MY,1,100,-59
1716209195.381038,208148.000,32370,3,MY,1,100,-59
1716209195.421039,208188.000,32370,3,MY,1,100,-60
1716209195.461040,208228.000,32370,3,MY,1,100,-60
1716209195.501040,208268.000,32388,2,MY,1,100,-58
1716209195.541040,208308.000,32388,2,MY,1,100,-59
1716209195.581041,208348.000,32404,3,MY,1,100,-58
1716209195.621041,208388.000,32404,3,MY,1,100,-60
1716209195.661042,208428.000,32404,3,MY,1,100,-60
1716209195.701042,208468.000,32421,2,MY,1,100,-57
1716209195.741043,208508.000,32421,2,MY,1,100,-60
1716209195.781043,208548.000,32440,3,MY,1,100,-59
1716209195.821044,208588.000,32440,3,MY,1,100,-59
1716209195.861044,208628.000,32440,3,MY,1,100,-59
1716209195.901045,208668.000,32457,2,MY,1,100,-59
1716209195.941045,208708.000,32457,2,MY,1,100,-60
1716209195.981045,208748.000,32473,3,MY,1,100,-59
1716209196.021046,208788.000,32473,3,MY,1,100,-59
1716209196.061046,208828.000,32473,3,MY,1,100,-59
1716209196.108047,208875.000,32489,2,MY,1,100,-59
1716209196.155048,208922.000,32489,2,MY,1,100,-60
1716209196.194715,208961.667,32505,3,MY,1,100,-61
1716209196.234382,209001.333,32505,3,MY,1,100,-60
1716209196.274049,209041.000,32505,3,MY,1,100,-60
1716209196.314049,209081.000,32524,2,MY,1,100,-58
1716209196.354050,209121.000,32524,2,MY,1,100,-60
1716209196.394050,209161.000,32540,3,MY,1,100,-59
1716209196.434051,209201.000,32540,3,MY,1,100,-59
1716209196.474051,209241.000,32540,3,MY,1,100,-60
