LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1716209198.666077,211433.000,32896,2,RD,1,100,TL
1716209198.666077,211433.000,32896,2,RD,1,100,TU
1716209201.230607,213997.500,33743,2,RD,1,100,TL
1716209203.795137,216562.000,33743,2,RD,1,100,TU
1716209206.363167,219130.000,34586,2,RD,1,100,TL
1716209208.931197,221698.000,34586,2,RD,1,100,TU
1716209211.485727,224252.500,35405,2,RD,1,100,TL
1716209214.040257,226807.000,35405,2,RD,1,100,TU
1716209216.605286,229372.000,36256,2,RD,1,100,TL
1716209219.170316,231937.000,36256,2,RD,1,100,TU
1716209221.741847,234508.500,37096,2,RD,1,100,TL
1716209224.313376,237080.000,37096,2,RD,1,100,TU
1716209226.875906,239642.500,37947,2,RD,1,100,TL
1716209229.438436,242205.000,37947,2,RD,1,100,TU
1716209232.001466,244768.000,38789,2,RD,1,100,TL
1716209234.564496,247331.000,38789,2,RD,1,100,TU
1716209237.129526,249896.000,39636,2,RD,1,100,TL
1716209239.694556,252461.000,39636,2,RD,1,100,TU
1716209242.252586,255019.000,40473,2,RD,1,100,TL
1716209244.810616,257577.000,40473,2,RD,1,100,TU
1716209247.376146,260142.500,41325,2,RD,1,100,TL
1716209249.941676,262708.000,41325,2,RD,1,100,TU
1716209252.499706,265266.000,42172,2,RD,1,100,TL
1716209255.057736,267824.000,42172,2,RD,1,100,TU
1716209257.625266,270391.500,43019,2,RD,1,100,TL
1716209260.192796,272959.000,43019,2,RD,1,100,TU
1716209262.765326,275531.500,43872,2,RD,1,100,TL
1716209265.337856,278104.000,43872,2,RD,1,100,TU
1716209267.903886,280670.000,44723,2,RD,1,100,TL
1716209270.469916,283236.000,44723,2,RD,1,100,TU
1716209273.037446,285803.500,45558,2,RD,1,100,TL
1716209275.604976,288371.000,45558,2,RD,1,100,TU
1716209278.166506,290932.500,46416,2,RD,1,100,TL
1716209280.728035,293494.000,46416,2,RD,1,100,TU
1716209283.299566,296065.500,47262,2,RD,1,100,TL
1716209285.871096,298637.000,47262,2,RD,1,100,TU
1716209288.436126,301202.000,48114,2,RD,1,100,TL
1716209291.001156,303767.000,48114,2,RD,1,100,TU
1716209293.571686,306337.500,48965,2,RD,1,100,TL
1716209296.142216,308908.000,48965,2,RD,1,100,TU
1716209298.697746,311463.500,49800,2,RD,1,100,TL
1716209301.253275,314019.000,49800,2,RD,1,100,TU
1716209303.819805,316585.500,50655,2,RD,1,100,TL
1716209306.386335,319152.000,50655,2,RD,1,100,TU
1716209308.940365,321706.000,51496,2,RD,1,100,TL
1716209311.494395,324260.000,51496,2,RD,1,100,TU
1716209314.067925,326833.500,52348,2,RD,1,100,TL
1716209316.641455,329407.000,52348,2,RD,1,100,TU
1716209319.204485,331970.000,53201,2,RD,1,100,TL
1716209321.767515,334533.000,53201,2,RD,1,100,TU
1716209324.336545,337102.000,54057,2,RD,1,100,TL
1716209326.905575,339671.000,54057,2,RD,1,100,TU
1716209329.469105,342234.500,54914,2,RD,1,100,TL
1716209332.032635,344798.000,54914,2,RD,1,100,TU
1716209334.597665,347363.000,55769,2,RD,1,100,TL
1716209337.162695,349928.000,55769,2,RD,1,100,TU
1716209339.716725,352482.000,56603,2,RD,1,100,TL
1716209342.270755,355036.000,56603,2,RD,1,100,TU
1716209344.835784,357601.000,57458,2,RD,1,100,TL
1716209347.400815,360166.000,57458,2,RD,1,100,TU
1716209349.960344,362725.500,58315,2,RD,1,100,TL
1716209352.519874,365285.000,58315,2,RD,1,100,TU
1716209355.084904,367850.000,59167,2,RD,1,100,TL
1716209357.649934,370415.000,59167,2,RD,1,100,TU
1716209360.216464,372981.500,60017,2,RD,1,100,TL
1716209362.782994,375548.000,60017,2,RD,1,100,TU
1716209365.350524,378115.500,60871,2,RD,1,100,TL
1716209367.918054,380683.000,60871,2,RD,1,100,TU
1716209370.482584,383247.500,61695,2,RD,1,100,TL
1716209373.047114,385812.000,61695,2,RD,1,100,TU
1716209375.604144,388369.000,62528,2,RD,1,100,TL
1716209378.161174,390926.000,62528,2,RD,1,100,TU
1716209380.748204,393513.000,63282,2,RD,1,100,TL
1716209383.335234,396100.000,63282,2,RD,1,100,TU
1716209385.908264,398673.000,64139,2,RD,1,100,TL
1716209388.481294,401246.000,64139,2,RD,1,100,TU
1716209391.053824,403818.500,64993,2,RD,1,100,TL
1716209393.626354,406391.000,64993,2,RD,1,100,TU
1716209396.191385,408956.000,306,2,RD,1,100,TL
1716209398.756414,411521.000,306,2,RD,1,100,TU
1716209401.311444,414076.000,1132,2,RD,1,100,TL
1716209403.866474,416631.000,1132,2,RD,1,100,TU
1716209406.422004,419186.500,1963,2,RD,1,100,TL
1716209408.977534,421742.000,1963,2,RD,1,100,TU
1716209411.531564,424296.000,2794,2,RD,1,100,TL
1716209414.085593,426850.000,2794,2,RD,1,100,TU
1716209416.639123,429403.500,3584,2,RD,1,100,TL
1716209419.192653,431957.000,3584,2,RD,1,100,TU
1716209421.748683,434513.000,4429,2,RD,1,100,TL
1716209424.304713,437069.000,4429,2,RD,1,100,TU
1716209426.856743,439621.000,5276,2,RD,1,100,TL
1716209429.408772,442173.000,5276,2,RD,1,100,TU
1716209431.972802,444737.000,6127,2,RD,1,100,TL
1716209434.536832,447301.000,6127,2,RD,1,100,TU
1716209437.092362,449856.500,6975,2,RD,1,100,TL
1716209439.647892,452412.000,6975,2,RD,1,100,TU
1716209442.201922,454966.000,7822,2,RD,1,100,TL
