LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1716209195.247037,208014.000,32324,1,SF,1,100,98.7300
1716209195.513040,208280.000,32373,1,SF,1,100,97.5879
1716209195.846044,208613.000,32425,1,SF,1,100,98.5413
1716209196.246049,209013.000,32491,1,SF,1,100,97.4014
1716209196.580053,209347.000,32545,1,SF,1,100,100.4391
1716209196.846056,209613.000,32595,1,SF,1,100,99.2772
1716209197.180059,209947.000,32644,1,SF,1,100,98.1288
1716209197.580064,210347.000,32709,1,SF,1,100,96.9936
1716209197.846067,210613.000,32761,1,SF,1,100,97.9538
1716209198.180071,210947.000,32810,1,SF,1,100,96.8207
1716209198.513075,211280.000,32860,1,SF,1,100,97.7829
1716209198.846079,211613.000,32918,1,SF,1,100,98.7340
1716209199.246084,212013.000,32987,1,SF,1,100,97.5919
1716209199.579087,212346.000,33037,1,SF,1,100,98.5452
1716209199.846091,212613.000,33088,1,SF,1,100,97.4052
1716209200.179095,212946.000,33138,1,SF,1,100,98.3606
1716209200.579099,213346.000,33203,1,SF,1,100,97.2228
1716209200.846102,213613.000,33256,1,SF,1,100,98.1804
1716209201.179106,213946.000,33306,1,SF,1,100,99.1269
1716209201.579111,214346.000,33374,1,SF,1,100,100.0624
1716209201.913115,214680.000,33426,1,SF,1,100,98.9049
1716209202.179118,214946.000,33474,1,SF,1,100,97.7607
1716209202.512122,215279.000,33527,1,SF,1,100,98.7121
1716209202.912127,215679.000,33592,1,SF,1,100,97.5702
1716209203.179130,215946.000,33644,1,SF,1,100,98.5237
1716209203.512134,216279.000,33693,1,SF,1,100,97.3840
1716209203.846138,216613.000,33749,1,SF,1,100,96.2575
1716209204.179141,216946.000,33802,1,SF,1,100,97.2262
1716209204.512145,217279.000,33851,1,SF,1,100,96.1015
1716209204.912150,217679.000,33916,1,SF,1,100,94.9898
1716209205.179153,217946.000,33968,1,SF,1,100,95.9732
1716209205.512157,218279.000,34017,1,SF,1,100,94.8630
1716209205.912162,218679.000,34082,1,SF,1,100,93.7656
1716209206.179165,218946.000,34132,1,SF,1,100,94.7631
1716209206.512169,219279.000,34182,1,SF,1,100,93.6669
1716209206.912173,219679.000,34249,1,SF,1,100,94.6656
1716209207.245177,220012.000,34300,1,SF,1,100,95.6528
1716209207.512180,220279.000,34351,1,SF,1,100,96.6285
1716209207.845184,220612.000,34399,1,SF,1,100,95.5107
1716209208.245189,221012.000,34464,1,SF,1,100,94.4058
1716209208.512192,221279.000,34517,1,SF,1,100,93.3137
1716209208.845196,221612.000,34565,1,SF,1,100,92.2343
1716209209.179200,221946.000,34625,1,SF,1,100,91.1673
1716209209.512204,222279.000,34673,1,SF,1,100,90.1127
1716209209.845207,222612.000,34722,1,SF,1,100,89.0703
1716209210.245212,223012.000,34789,1,SF,1,100,90.1221
1716209210.512215,223279.000,34839,1,SF,1,100,89.0796
1716209210.845219,223612.000,34888,1,SF,1,100,88.0491
1716209211.245224,224012.000,34955,1,SF,1,100,89.1128
1716209211.578228,224345.000,35003,1,SF,1,100,88.0819
1716209211.845231,224612.000,35054,1,SF,1,100,87.0630
1716209212.178235,224945.000,35104,1,SF,1,100,88.1381
1716209212.578239,225345.000,35169,1,SF,1,100,87.1185
