LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1716209198.664077,211431.000,32894,1,TL,1,100,2024-05-20_15-46-33-618788
1716209198.676077,211443.000,32897,1,TL,1,100,2024-05-20_15-46-38-671002
1716209203.789137,216556.000,33741,1,TL,1,100,2024-05-20_15-46-38-842014
1716209203.802137,216569.000,33744,1,TL,1,100,2024-05-20_15-46-43-798637
1716209208.929197,221696.000,34584,1,TL,1,100,2024-05-20_15-46-43-958676
1716209208.981197,221748.000,34587,1,TL,1,100,2024-05-20_15-46-48-934756
1716209214.038256,226805.000,35403,1,TL,1,100,2024-05-20_15-46-49-082782
1716209214.048257,226815.000,35406,1,TL,1,100,2024-05-20_15-46-54-044974
1716209219.168316,231935.000,36254,1,TL,1,100,2024-05-20_15-46-54-205017
1716209219.181317,231948.000,36257,1,TL,1,100,2024-05-20_15-46-59-173551
1716209224.307376,237074.000,37094,1,TL,1,100,2024-05-20_15-46-59-331558
1716209224.346377,237113.000,37097,1,TL,1,100,2024-05-20_15-47-04-343053
1716209229.436436,242203.000,37945,1,TL,1,100,2024-05-20_15-47-04-453072
1716209229.468437,242235.000,37948,1,TL,1,100,2024-05-20_15-47-09-464460
1716209234.559496,247326.000,38787,1,TL,1,100,2024-05-20_15-47-09-572448
1716209234.588496,247355.000,38790,1,TL,1,100,2024-05-20_15-47-14-584446
1716209239.692556,252459.000,39634,1,TL,1,100,2024-05-20_15-47-14-702566
1716209239.706556,252473.000,39637,1,TL,1,100,2024-05-20_15-47-19-702449
1716209244.809616,257576.000,40471,1,TL,1,100,2024-05-20_15-47-19-836481
1716209244.832616,257599.000,40474,1,TL,1,100,2024-05-20_15-47-24-826294
1716209249.939676,262706.000,41323,1,TL,1,100,2024-05-20_15-47-24-939835
1716209249.951676,262718.000,41326,1,TL,1,100,2024-05-20_15-47-29-944928
1716209255.051736,267818.000,42170,1,TL,1,100,2024-05-20_15-47-30-082965
1716209255.070736,267837.000,42173,1,TL,1,100,2024-05-20_15-47-35-064542
1716209260.190796,272957.000,43017,1,TL,1,100,2024-05-20_15-47-35-196614
1716209260.203796,272970.000,43020,1,TL,1,100,2024-05-20_15-47-40-196482
1716209265.334856,278101.000,43870,1,TL,1,100,2024-05-20_15-47-40-332535
1716209265.344856,278111.000,43873,1,TL,1,100,2024-05-20_15-47-45-341624
1716209270.464916,283231.000,44721,1,TL,1,100,2024-05-20_15-47-45-505620
1716209270.476916,283243.000,44724,1,TL,1,100,2024-05-20_15-47-50-472774
1716209275.602976,288369.000,45556,1,TL,1,100,2024-05-20_15-47-50-636878
1716209275.649976,288416.000,45559,1,TL,1,100,2024-05-20_15-47-55-643461
1716209280.727036,293493.000,46414,1,TL,1,100,2024-05-20_15-47-55-745458
1716209280.766036,293532.000,46417,1,TL,1,100,2024-05-20_15-48-00-762952
1716209285.869096,298635.000,47260,1,TL,1,100,2024-05-20_15-48-00-866995
1716209285.889096,298655.000,47263,1,TL,1,100,2024-05-20_15-48-05-885943
1716209290.996156,303762.000,48112,1,TL,1,100,2024-05-20_15-48-06-005999
1716209291.009156,303775.000,48115,1,TL,1,100,2024-05-20_15-48-11-006011
1716209296.140216,308906.000,48963,1,TL,1,100,2024-05-20_15-48-11-146068
1716209296.151216,308917.000,48966,1,TL,1,100,2024-05-20_15-48-16-146612
1716209301.248275,314014.000,49798,1,TL,1,100,2024-05-20_15-48-16-276697
1716209301.266275,314032.000,49801,1,TL,1,100,2024-05-20_15-48-21-262238
1716209306.381335,319147.000,50653,1,TL,1,100,2024-05-20_15-48-21-397255
1716209306.393335,319159.000,50656,1,TL,1,100,2024-05-20_15-48-26-389948
1716209311.492395,324258.000,51494,1,TL,1,100,2024-05-20_15-48-26-523943
1716209311.506395,324272.000,51497,1,TL,1,100,2024-05-20_15-48-31-500358
1716209316.639455,329405.000,52346,1,TL,1,100,2024-05-20_15-48-31-628434
1716209316.651455,329417.000,52349,1,TL,1,100,2024-05-20_15-48-36-645903
